reality,predict,mape,accurary
832.77,982.772522,0.18,0.82
790.68,953.7379761,0.21,0.79
792.68,972.4987183,0.23,0.77
778.7,913.0709229,0.17,0.83
777.6,913.0709229,0.17,0.83
716.87,898.5368042,0.25,0.75
1030.5,890.9212036,0.14,0.86
1071.45,976.8221436,0.09,0.91
1120.13,1055.381592,0.06,0.94
1134.11,1119.545532,0.01,0.99
1213.98,1151.994141,0.05,0.95
1293.84,1196.962402,0.07,0.93
1315.89,1228.191162,0.07,0.93
1319.8,1259.561279,0.05,0.95
1317.8,1224.731934,0.07,0.93
1312.1,1237.139893,0.06,0.94
1323.79,1219.199829,0.08,0.92
1323.79,1079.921265,0.18,0.82
1377.7,1032.499023,0.25,0.75
1377.7,983.928894,0.29,0.71
1373.71,983.928894,0.28,0.72
1341.86,978.1793823,0.27,0.73
1271.88,972.4987183,0.24,0.76
1104.38,962.9425659,0.13,0.87
1014.31,972.4987183,0.04,0.96
962.4,972.4987183,0.01,0.99
964.39,927.7226563,0.04,0.96
952.41,913.0709229,0.04,0.96
926.46,913.0709229,0.01,0.99
968.39,873.9585571,0.1,0.9
1006.4,918.397644,0.09,0.91
1182.03,962.9425659,0.19,0.81
1320.08,1055.381592,0.2,0.8
1317.8,1141.855957,0.13,0.87
1381.7,1221.523682,0.12,0.88
1358.59,1276.291992,0.06,0.94
1377.7,1276.291992,0.07,0.93
1401.66,1319.880615,0.06,0.94
1333.28,1276.291992,0.04,0.96
1351.75,1272.651611,0.06,0.94
1377.7,1272.651611,0.08,0.92
1433.61,1230.005615,0.14,0.86
1425.62,1230.005615,0.14,0.86
1399.67,1112.463013,0.21,0.79
1345.76,1080.365845,0.2,0.8
1198.1,1011.482422,0.16,0.84
1074.21,1011.482422,0.06,0.94
864.72,985.7809448,0.14,0.86
830.62,940.6257324,0.13,0.87
796.67,927.7226563,0.16,0.84
818.64,927.7226563,0.13,0.87
802.66,913.0709229,0.14,0.86
928.45,913.0709229,0.02,0.98
958.4,927.7226563,0.03,0.97
1008.39,927.7226563,0.08,0.92
1168.29,972.4987183,0.17,0.83
1307.82,1069.481812,0.18,0.82
1311.81,1136.392944,0.13,0.87
1363.73,1227.364624,0.1,0.9
1409.65,1261.518433,0.11,0.89
1453.58,1239.741699,0.15,0.85
1415.64,1312.291016,0.07,0.93
1375.71,1328.763428,0.03,0.97
1359.82,1328.763428,0.02,0.98
1389.98,1307.191895,0.06,0.94
1471.45,1247.793213,0.15,0.85
1451.58,1179.729736,0.19,0.81
1441.6,1146.775635,0.2,0.8
1415.29,1108.098511,0.22,0.78
1293.94,1059.108032,0.18,0.82
1180.27,1011.482422,0.14,0.86
1122.13,1016.443787,0.09,0.91
1044.26,1001.06189,0.04,0.96
990.35,1001.06189,0.01,0.99
978.37,935.0487671,0.04,0.96
940.43,922.2875366,0.02,0.98
948.42,922.2875366,0.03,0.97
974.45,878.7128296,0.1,0.9
1102.4,907.803894,0.18,0.82
1267.89,972.4987183,0.23,0.77
1313.81,1050.296875,0.2,0.8
1329.78,1115.294556,0.16,0.84
1415.64,1144.354614,0.19,0.81
1399.67,1260.560547,0.1,0.9
1433.61,1299.862915,0.09,0.91
1445.59,1353.728271,0.06,0.94
1381.7,1296.147705,0.06,0.94
1317.89,1334.749146,0.01,0.99
1411.65,1296.147705,0.08,0.92
1459.88,1307.31189,0.1,0.9
1411.65,1233.569824,0.13,0.87
1423.63,1146.775635,0.19,0.81
1351.75,1108.098511,0.18,0.82
1359.73,1064.283447,0.22,0.78
1225.96,1011.482422,0.17,0.83
1042.75,985.4926758,0.05,0.95
976.75,964.022522,0.01,0.99
942.43,957.4111938,0.02,0.98
738.77,927.7226563,0.26,0.74
541.39,922.2875366,0.7,0.3
1036.27,878.7128296,0.15,0.85
976.44,878.7128296,0.1,0.9
1038.27,878.7128296,0.15,0.85
1229.95,922.2875366,0.25,0.75
1292.12,982.772522,0.24,0.76
1345.76,1065.590088,0.21,0.79
1435.61,1147.625244,0.2,0.8
1401.66,1272.651611,0.09,0.91
1427.72,1249.669678,0.12,0.88
1371.71,1288.715088,0.06,0.94
1369.72,1288.71814,0.06,0.94
1343.76,1283.77478,0.04,0.96
1411.65,1280.073975,0.09,0.91
1431.61,1170.616211,0.18,0.82
1417.93,1099.404297,0.22,0.78
1431.61,1087.858032,0.24,0.76
1399.77,997.0923462,0.29,0.71
1363.73,1007.297729,0.26,0.74
1299.83,960.6170044,0.26,0.74
1110.15,964.5245361,0.13,0.87
1012.31,934.0952759,0.08,0.92
988.35,905.3278198,0.08,0.92
940.43,891.0917969,0.05,0.95
928.45,905.3278198,0.02,0.98
948.68,905.3278198,0.05,0.95
970.38,864.0219116,0.11,0.89
1138.97,864.0219116,0.24,0.76
1209.98,891.0917969,0.26,0.74
1301.83,997.0923462,0.23,0.77
1311.81,1087.858032,0.17,0.83
1377.43,1102.6604,0.2,0.8
1375.71,1150.109619,0.16,0.84
1357.74,1185.354126,0.13,0.87
1211.98,1191.796875,0.02,0.98
1164.06,1198.906494,0.03,0.97
1182.03,1188.424683,0.01,0.99
1178.04,1193.185303,0.01,0.99
1196.01,1118.927246,0.06,0.94
1200.09,1075.059326,0.1,0.9
1215.97,1042.49292,0.14,0.86
