reality,le_predict,mape,accurary
832.77,858.8436337,0.031309526,0.97
790.68,831.81495,0.052024776,0.95
792.68,818.1873991,0.032178684,0.97
778.7,777.8359902,0.001109554,1
777.6,777.8359902,0.000303485,1
716.87,775.2484047,0.081435134,0.92
1030.5,754.6978774,0.267639129,0.73
1071.45,816.5974271,0.237857644,0.76
1120.13,854.8423835,0.236836453,0.76
1134.11,918.3136438,0.190278153,0.81
1213.98,948.1529836,0.218971496,0.78
1293.84,1028.089073,0.205397056,0.79
1315.89,1100.637054,0.163579741,0.84
1319.8,1176.345057,0.108694456,0.89
1317.8,1132.190468,0.140848029,0.86
1312.1,990.7917847,0.24488089,0.76
1323.79,954.4189785,0.27902539,0.72
1323.79,816.7707942,0.383005768,0.62
1377.7,787.12351,0.428668426,0.57
1377.7,778.0901481,0.435225268,0.56
1373.71,778.0901481,0.433584856,0.57
1341.86,795.3850471,0.407251839,0.59
1271.88,818.1873991,0.356710225,0.64
1104.38,793.5380954,0.281462816,0.72
1014.31,818.1873991,0.193355681,0.81
962.4,818.1873991,0.149846842,0.85
964.39,779.6463954,0.191565243,0.81
952.41,777.8359902,0.18329712,0.82
926.46,777.8359902,0.1604214,0.84
968.39,731.9429044,0.244165156,0.76
1006.4,760.9226789,0.243916257,0.76
1182.03,793.5380954,0.328665012,0.67
1320.08,854.8423835,0.35243138,0.65
1317.8,897.6132261,0.318854738,0.68
1381.7,989.2573886,0.284028813,0.72
1358.59,1026.518117,0.244423912,0.76
1377.7,1026.518117,0.254904466,0.75
1401.66,1119.731489,0.201139014,0.8
1333.28,1026.518117,0.230080615,0.77
1351.75,1046.044583,0.226155293,0.77
1377.7,1046.044583,0.240731231,0.76
1433.61,1032.080277,0.280082954,0.72
1425.62,1032.080277,0.276048122,0.72
1399.67,909.5014629,0.350202931,0.65
1345.76,876.4882251,0.348703911,0.65
1198.1,862.1778005,0.2803791,0.72
1074.21,862.1778005,0.19738431,0.8
864.72,819.4564556,0.052344741,0.95
830.62,780.8556726,0.059912267,0.94
796.67,779.6463954,0.021368452,0.98
818.64,779.6463954,0.047632176,0.95
802.66,777.8359902,0.030927179,0.97
928.45,777.8359902,0.162220916,0.84
958.4,779.6463954,0.186512526,0.81
1008.39,779.6463954,0.226840414,0.77
1168.29,818.1873991,0.299670973,0.7
1307.82,856.168294,0.345346994,0.65
1311.81,920.4510093,0.298335118,0.7
1363.73,961.687427,0.294810977,0.71
1409.65,1001.865615,0.289280591,0.71
1453.58,1020.727521,0.297783733,0.7
1415.64,1056.550034,0.253659098,0.75
1375.71,1058.188805,0.230805326,0.77
1359.82,1058.188805,0.221817002,0.78
1389.98,1049.210743,0.245161266,0.75
1471.45,1033.600994,0.297562952,0.7
1451.58,976.0511709,0.327593952,0.67
1441.6,942.3696228,0.346302981,0.65
1415.29,929.7172901,0.34309061,0.66
1293.94,900.2891393,0.304226518,0.7
1180.27,862.1778005,0.269507994,0.73
1122.13,843.430556,0.24836645,0.75
1044.26,820.6638825,0.214119202,0.79
990.35,820.6638825,0.171339544,0.83
978.37,803.2414918,0.179000284,0.82
940.43,801.9975467,0.147201231,0.85
948.42,801.9975467,0.154385666,0.85
974.45,764.2191717,0.215743064,0.78
1102.4,800.1352402,0.274187917,0.73
1267.89,818.1873991,0.354685817,0.65
1313.81,873.843283,0.334878496,0.67
1329.78,938.7253425,0.294074702,0.71
1415.64,993.8877934,0.297923347,0.7
1399.67,1138.613394,0.186512968,0.81
1433.61,1150.048515,0.197795415,0.8
1445.59,1227.57728,0.150812277,0.85
1381.7,1183.018473,0.143794982,0.86
1317.89,1224.726741,0.070691225,0.93
1411.65,1183.018473,0.161960491,0.84
1459.88,1090.258201,0.253186426,0.75
1411.65,1012.814482,0.282531448,0.72
1423.63,942.3696228,0.338051584,0.66
1351.75,929.7172901,0.312212103,0.69
1359.73,875.198665,0.356343785,0.64
1225.96,862.1778005,0.296732519,0.7
1042.75,928.2352298,0.109819967,0.89
976.75,852.283084,0.127429655,0.87
942.43,816.2874984,0.133848139,0.87
738.77,779.6463954,0.05533034,0.94
541.39,801.9975467,0.481367492,0.52
1036.27,764.2191717,0.262528905,0.74
976.44,764.2191717,0.217341391,0.78
1038.27,764.2191717,0.263949482,0.74
1229.95,801.9975467,0.347942968,0.65
1292.12,858.8436337,0.33532208,0.66
1345.76,904.6513314,0.327776623,0.67
1435.61,972.2766391,0.322743197,0.68
1401.66,1046.044583,0.253710184,0.75
1427.72,1076.911085,0.245712685,0.75
1371.71,1087.726529,0.207028797,0.79
1369.72,1047.667059,0.235123194,0.76
1343.76,1081.091824,0.195472537,0.8
1411.65,1108.597814,0.214679408,0.79
1431.61,1032.816853,0.2785627,0.72
1417.93,980.7034593,0.308355519,0.69
1431.61,917.0216159,0.359447324,0.64
1399.77,836.2745818,0.402562863,0.6
1363.73,855.9233572,0.372365969,0.63
1299.83,820.7438277,0.368576023,0.63
1110.15,805.4230403,0.274491699,0.73
1012.31,768.3164004,0.241026563,0.76
988.35,766.5323044,0.224432332,0.78
940.43,765.4045203,0.186112182,0.81
928.45,766.5323044,0.174395709,0.83
948.68,766.5323044,0.192001197,0.81
970.38,741.3164607,0.236055503,0.76
1138.97,741.3164607,0.34913434,0.65
1209.98,765.4045203,0.367423825,0.63
1301.83,836.2745818,0.357616139,0.64
1311.81,917.0216159,0.300949363,0.7
1377.43,959.3789859,0.303500733,0.7
1375.71,1024.054056,0.255617786,0.74
1357.74,1050.708879,0.226133959,0.77
1211.98,1141.51873,0.058137321,0.94
1164.06,1078.778575,0.073262053,0.93
1182.03,997.8313827,0.155832439,0.84
1178.04,970.0224694,0.176579344,0.82
1196.01,960.5692438,0.196855174,0.8
1200.09,901.6156689,0.248709956,0.75
1215.97,864.5194159,0.289028993,0.71
1172.28,822.5739692,0.298312716,0.7
1154.08,782.0062232,0.3223986,0.68
946.42,782.9764227,0.172696665,0.83
822.63,782.0062232,0.049382805,0.95
790.68,782.0062232,0.010970022,0.99
762.79,779.6463954,0.022098343,0.98
760.73,779.6463954,0.024866109,0.98
762.73,779.6463954,0.022178747,0.98
782.7,779.6463954,0.003901373,1
998.55,779.6463954,0.219221476,0.78
978.37,779.6463954,0.203117026,0.8
1042.26,796.6187358,0.23568137,0.76
1114.14,821.2299911,0.262902336,0.74
1066.22,876.4882251,0.177948055,0.82
1156.07,909.5014629,0.213281667,0.79
1254,909.5014629,0.274719727,0.73
1241.93,944.9290337,0.239144691,0.76
