le_accurary,le_accurary_frequency,le_frequency_probability,le_probability_log,le_self_entrocy,gru_accurary,gru_accurary_frequency,gru_frequency_probability,gru_probability_log,gru_self_entrocy,mul_accurary_multiply,mul_accurary_division,multiply_add_division,mul_frequency,mul_probability,mul_division_single,mul_division_single_log,mutual_information
0.74,5,0.0002477455158061639,-11.978853434681609,0.0014838536114708167,0.82,21,0.0010330578512396695,-9.918863237274595,0.005123379771319522,0.6068,0.9024390243902439,1.509239024390244,1,0.0003160556257901391,0.06118836915297093,-4.03059874208556,0.001273893407738799
0.65,4,0.00019819641264493112,-12.30078152956897,0.002437970771889599,0.73,4,0.0001967729240456513,-12.311180660053354,0.001211253508466485,0.4745,0.8904109589041096,1.3649109589041095,1,0.0003160556257901391,0.4015486725663717,-1.316353224419437,0.00041604084210475253
0.64,4,0.00019819641264493112,-12.30078152956897,0.002437970771889599,0.69,4,0.0001967729240456513,-12.311180660053354,0.00242250701693297,0.4416,0.9275362318840581,1.369136231884058,1,0.0003160556257901391,0.4015486725663717,-1.316353224419437,0.00041604084210475253
0.58,1,4.954910316123278e-05,-14.30078152956897,0.0007085908992948653,0.66,7,0.0003443526170798898,-11.50382573799575,0.003961372499309832,0.3828,0.8787878787878787,1.2615878787878787,1,0.0003160556257901391,0.9178255372945638,-0.12370814647704112,3.909865565013942e-05
0.68,8,0.00039639282528986224,-11.30078152956897,0.004479548718489336,0.74,11,0.0005411255411255411,-10.851749041416058,0.002936079286097418,0.5032,0.918918918918919,1.422118918918919,1,0.0003160556257901391,0.07300884955752213,-3.775784843056734,0.0011933580414212183
0.82,14,0.0006936874442572589,-10.493426607511367,0.0036395791424328394,0.87,26,0.0012790240062967337,-9.610740941912262,0.006146184191502332,0.7133999999999999,0.9425287356321839,1.655928735632184,1,0.0003160556257901391,0.017650491101818537,-5.8241478646181335,0.0018407546980461864
0.59,2,9.909820632246556e-05,-13.30078152956897,0.001318083592267265,0.56,1,4.919323101141283e-05,-14.311180660053354,0.0007040132162560681,0.3304,1.0535714285714284,1.3839714285714284,1,0.0003160556257901391,3.212389380530974,1.683646775580563,-0.0005321260352656647
0.55,1,4.954910316123278e-05,-14.30078152956897,0.0007085908992948653,0.53,1,4.919323101141283e-05,-14.311180660053354,0.0007040132162560681,0.29150000000000004,1.0377358490566038,1.3292358490566039,1,0.0003160556257901391,6.424778761061948,2.6836467755805633,-0.0008481816610558039
0.54,2,9.909820632246556e-05,-13.30078152956897,0.001318083592267265,0.52,1,4.919323101141283e-05,-14.311180660053354,0.0007040132162560681,0.28080000000000005,1.0384615384615385,1.3192615384615385,1,0.0003160556257901391,3.212389380530974,1.683646775580563,-0.0005321260352656647
0.87,28,0.0013873748885145178,-9.493426607511367,0.00658547084060842,0.84,15,0.0007378984651711924,-10.404290064444837,0.003838654834874866,0.7308,1.0357142857142858,1.766514285714286,2,0.0006321112515802782,0.030594184576485463,-5.03059874208556,0.003179898067057876
0.64,4,0.00019819641264493112,-12.30078152956897,0.002437970771889599,0.64,5,0.00024596615505706416,-11.989252565165993,0.002948950355461923,0.4096,1.0,1.4096,1,0.0003160556257901391,0.32123893805309733,-1.6382813193067993,0.0005177880275938051
0.56,1,4.954910316123278e-05,-14.30078152956897,0.0007085908992948653,0.54,1,4.919323101141283e-05,-14.311180660053354,0.0007040132162560681,0.30240000000000006,1.037037037037037,1.339437037037037,1,0.0003160556257901391,6.424778761061948,2.6836467755805633,-0.0008481816610558039
0.66,5,0.0002477455158061639,-11.978853434681609,0.0029677072229416335,0.63,1,4.919323101141283e-05,-14.311180660053354,0.0007040132162560681,0.4158,1.0476190476190477,1.4634190476190476,1,0.0003160556257901391,1.2849557522123898,0.36171868069320107,-0.00011432322398647316
0.77,8,0.00039639282528986224,-11.30078152956897,0.002239774359244668,0.76,7,0.0003443526170798898,-11.50382573799575,0.001980686249654916,0.5852,1.013157894736842,1.598357894736842,1,0.0003160556257901391,0.11472819216182048,-3.1237081464770413,0.0009872655330205567
0.88,28,0.0013873748885145178,-9.493426607511367,0.00658547084060842,0.89,31,0.0015249901613537977,-9.35698434966648,0.007134654536591422,0.7832,0.9887640449438202,1.7719640449438203,1,0.0003160556257901391,0.007401818849149709,-7.077904456863916,0.0022370115223969396
0.73,11,0.0005450401347735606,-10.841349910931672,0.002954485408290764,0.77,10,0.0004919323101141283,-10.989252565165993,0.002702984200404859,0.5621,0.948051948051948,1.510151948051948,1,0.0003160556257901391,0.0584070796460177,-4.097712937944097,0.001295105226910271
0.87,28,0.0013873748885145178,-9.493426607511367,0.00658547084060842,0.82,21,0.0010330578512396695,-9.918863237274595,0.005123379771319522,0.7133999999999999,1.0609756097560976,1.7743756097560976,8,0.0025284450063211127,0.08741195593281562,-3.516025569255801,0.008890077292682179
0.68,8,0.00039639282528986224,-11.30078152956897,0.004479548718489336,0.64,5,0.00024596615505706416,-11.989252565165993,0.002948950355461923,0.43520000000000003,1.0625,1.4977,3,0.0009481668773704172,0.481858407079646,-1.0533188185856432,0.0009987220150938464
0.7,6,0.0002972946189673967,-11.715819028847815,0.0017415249770361433,0.66,7,0.0003443526170798898,-11.50382573799575,0.003961372499309832,0.46199999999999997,1.0606060606060606,1.5226060606060605,1,0.0003160556257901391,0.1529709228824273,-2.7086706471981974,0.0008560905964596073
0.73,11,0.0005450401347735606,-10.841349910931672,0.002954485408290764,0.68,8,0.0003935458480913026,-11.311180660053354,0.004451468185774637,0.4964,1.0735294117647058,1.5699294117647058,1,0.0003160556257901391,0.07300884955752213,-3.775784843056734,0.0011933580414212183
0.94,41,0.002031513229610544,-8.943229524950887,0.009084144547690675,0.98,45,0.0022136953955135775,-8.81932756372368,0.009761652409670545,0.9211999999999999,0.9591836734693877,1.8803836734693875,7,0.0022123893805309734,0.024375854378012804,-5.358403403309591,0.011854874786083165
0.97,43,0.0021306114359330094,-8.874516774866873,0.009454073464455344,0.97,36,0.0017709563164108619,-9.141255658611042,0.00809438222427188,0.9409,1.0,1.9409,4,0.0012642225031605564,0.016601495506620018,-5.912542980563847,0.007474769886932803
0.68,8,0.00039639282528986224,-11.30078152956897,0.004479548718489336,0.64,5,0.00024596615505706416,-11.989252565165993,0.002948950355461923,0.43520000000000003,1.0625,1.4977,3,0.0009481668773704172,0.481858407079646,-1.0533188185856432,0.0009987220150938464
0.72,10,0.0004954910316123278,-10.978853434681609,0.0027199617071354694,0.68,8,0.0003935458480913026,-11.311180660053354,0.004451468185774637,0.48960000000000004,1.0588235294117645,1.5484235294117645,3,0.0009481668773704172,0.24092920353982303,-2.0533188185856432,0.0019468888924642634
0.84,19,0.0009414329600634228,-10.052854016125385,0.004732044056743195,0.8,15,0.0007378984651711924,-10.404290064444837,0.003838654834874866,0.672,1.0499999999999998,1.722,1,0.0003160556257901391,0.022543083372147187,-5.471171333471541,0.0017291944796054178
0.7,6,0.0002972946189673967,-11.715819028847815,0.0017415249770361433,0.71,8,0.0003935458480913026,-11.311180660053354,0.0022257340928873185,0.49699999999999994,0.9859154929577465,1.4829154929577464,1,0.0003160556257901391,0.1338495575221239,-2.901315725140593,0.0009169771571240814
0.64,4,0.00019819641264493112,-12.30078152956897,0.002437970771889599,0.65,4,0.0001967729240456513,-12.311180660053354,0.00242250701693297,0.41600000000000004,0.9846153846153846,1.4006153846153846,1,0.0003160556257901391,0.4015486725663717,-1.316353224419437,0.00041604084210475253
0.72,10,0.0004954910316123278,-10.978853434681609,0.0027199617071354694,0.47,1,4.919323101141283e-05,-14.311180660053354,0.0007040132162560681,0.3384,1.5319148936170213,1.8703148936170213,1,0.0003160556257901391,0.6424778761061949,-0.6382813193067989,0.0002017324018036659
0.81,16,0.0007927856505797245,-10.30078152956897,0.004083155893199473,0.57,5,0.00024596615505706416,-11.989252565165993,0.002948950355461923,0.4617,1.4210526315789476,1.8827526315789476,1,0.0003160556257901391,0.08030973451327433,-3.6382813193067993,0.0011498992791740834
0.66,5,0.0002477455158061639,-11.978853434681609,0.0029677072229416335,0.66,7,0.0003443526170798898,-11.50382573799575,0.003961372499309832,0.43560000000000004,1.0,1.4356,1,0.0003160556257901391,0.18356510745891277,-2.4456362413644035,0.0007729570927194702
0.72,10,0.0004954910316123278,-10.978853434681609,0.0027199617071354694,0.71,8,0.0003935458480913026,-11.311180660053354,0.0022257340928873185,0.5112,1.0140845070422535,1.5252845070422536,1,0.0003160556257901391,0.08030973451327436,-3.638281319306799,0.0011498992791740832
0.71,8,0.00039639282528986224,-11.30078152956897,0.002239774359244668,0.7,9,0.00044273907910271547,-11.141255658611042,0.0024663346351706853,0.49699999999999994,1.0142857142857142,1.5112857142857141,2,0.0006321112515802782,0.1784660766961652,-2.4862782258617493,0.0015716044411262639
0.71,8,0.00039639282528986224,-11.30078152956897,0.002239774359244668,0.71,8,0.0003935458480913026,-11.311180660053354,0.0022257340928873185,0.5041,1.0,1.5041,1,0.0003160556257901391,0.10038716814159293,-3.3163532244194367,0.0010481520936850305
0.85,21,0.0010405311663858885,-9.90846410679021,0.005155032857065565,0.85,21,0.0010330578512396695,-9.918863237274595,0.005123379771319522,0.7224999999999999,1.0,1.7225,1,0.0003160556257901391,0.014568659322135935,-6.100988069976958,0.0019282516023947402
0.88,28,0.0013873748885145178,-9.493426607511367,0.00658547084060842,0.85,21,0.0010330578512396695,-9.918863237274595,0.005123379771319522,0.748,1.035294117647059,1.783294117647059,3,0.0009481668773704172,0.03277948347480585,-4.9310630685346455,0.0046754706718090825
0.73,11,0.0005450401347735606,-10.841349910931672,0.002954485408290764,0.74,11,0.0005411255411255411,-10.851749041416058,0.002936079286097418,0.5402,0.9864864864864865,1.5266864864864864,2,0.0006321112515802782,0.10619469026548674,-3.2352164616940313,0.0020450167267345334
0.76,9,0.000445941928451095,-11.130856528126658,0.0024818578127326313,0.77,10,0.0004919323101141283,-10.989252565165993,0.002702984200404859,0.5852,0.987012987012987,1.572212987012987,1,0.0003160556257901391,0.07138643067846608,-3.808206320749112,0.0012036050318423237
0.89,25,0.0012387275790308196,-9.656925339794245,0.005981149873522351,0.88,27,0.0013282172373081465,-9.556293157889886,0.006346416648539624,0.7832,1.0113636363636365,1.7945636363636366,2,0.0006321112515802782,0.019036381514257624,-5.71509691635763,0.0036125770647014097
0.95,42,0.002081062332771777,-8.90846410679021,0.009269534547745241,0.98,45,0.0022136953955135775,-8.81932756372368,0.009761652409670545,0.9309999999999999,0.9693877551020408,1.9003877551020407,8,0.0025284450063211127,0.027194830734653744,-5.200523743527872,0.013149238289577427
0.92,45,0.0022297096422554752,-8.808928433239295,0.009820676332766036,0.95,38,0.0018693427784336875,-9.06325314660977,0.008471163409365684,0.874,0.9684210526315791,1.842421052631579,1,0.0003160556257901391,0.0037571805620245312,-8.056133834192696,0.0025461864204148854
0.94,41,0.002031513229610544,-8.943229524950887,0.009084144547690675,0.97,36,0.0017709563164108619,-9.141255658611042,0.00809438222427188,0.9117999999999999,0.9690721649484536,1.8808721649484537,1,0.0003160556257901391,0.004352831138930859,-7.843830230479833,0.0024790866720859144
