reality,predict,mape
557.07,575.8912963867188,0.03
507.15,575.784423828125,0.14
485.25,575.8896484375,0.19
485.19,575.7939453125,0.19
487.19,575.7088623046875,0.18
543.09,575.7088623046875,0.06
1018.3,575.7433471679688,0.43
1004.52,575.4915771484375,0.43
1021.18,575.4915771484375,0.44
681.69,575.5839233398438,0.16
936.44,575.83056640625,0.39
1166.15,575.9193115234375,0.51
1106.16,576.3379516601562,0.48
991.44,577.1572875976562,0.42
676.87,577.1533813476562,0.15
676.87,577.4886474609375,0.15
1005.46,576.8903198242188,0.43
1281.95,576.8903198242188,0.55
1194.01,576.5924682617188,0.52
1064.23,576.0169677734375,0.46
712.81,575.9109497070312,0.19
708.93,575.9660034179688,0.19
1098.17,575.9561767578125,0.48
956.41,575.784423828125,0.4
790.68,575.8896484375,0.27
483.19,575.9852294921875,0.19
461.29,575.9852294921875,0.25
399.33,576.28466796875,0.44
429.28,576.28466796875,0.34
946.62,575.9852294921875,0.39
880.53,575.9916381835938,0.35
944.43,576.296630859375,0.39
972.38,576.6005859375,0.41
656.91,577.1533813476562,0.12
952.41,577.1874389648438,0.39
1114.23,577.7676391601562,0.48
1064.23,577.744873046875,0.46
770.72,577.9827270507812,0.25
816.79,577.4886474609375,0.29
838.6,577.7135620117188,0.31
858.57,577.7135620117188,0.33
892.51,577.4886474609375,0.35
910.48,576.5800170898438,0.37
889.1,576.3423461914062,0.35
882.69,576.181884765625,0.35
858.65,576.2914428710938,0.33
818.64,576.3379516601562,0.3
761.66,576.3430786132812,0.24
726.79,576.0736083984375,0.21
708.82,576.0736083984375,0.19
708.82,576.0736083984375,0.19
686.86,576.0427856445312,0.16
700.89,576.0736083984375,0.18
728.92,576.2927856445312,0.21
766.72,576.0736083984375,0.25
776.71,576.3379516601562,0.26
822.63,576.8761596679688,0.3
866.56,576.8722534179688,0.33
876.54,576.9268798828125,0.34
896.51,576.8780517578125,0.36
892.51,576.8780517578125,0.35
880.78,576.8780517578125,0.35
834.61,576.44482421875,0.31
822.63,576.7938232421875,0.3
852.58,576.3896484375,0.32
850.58,576.3896484375,0.32
890.52,576.3319702148438,0.35
890.52,576.3319702148438,0.35
852.58,576.181884765625,0.32
864.71,576.2914428710938,0.33
780.77,576.2914428710938,0.26
740.77,576.1187744140625,0.22
728.79,576.1478271484375,0.21
708.82,576.3430786132812,0.19
704.36,576.3430786132812,0.18
686.99,575.9191284179688,0.16
686.86,575.9191284179688,0.16
720.8,575.9191284179688,0.2
730.2,576.0728149414062,0.21
776.71,575.8896484375,0.26
804.66,575.9193115234375,0.28
796.67,575.9193115234375,0.28
832.61,575.9561767578125,0.31
852.74,576.1189575195312,0.32
840.6,576.2470703125,0.31
816.64,576.1319580078125,0.29
790.76,576.2470703125,0.27
808.65,576.132080078125,0.29
824.63,576.132080078125,0.3
832.61,575.9789428710938,0.31
858.57,575.9789428710938,0.33
890.68,575.8297729492188,0.35
858.57,575.8297729492188,0.33
828.62,575.6110229492188,0.31
792.68,575.7063598632812,0.27
740.83,575.816650390625,0.22
716.81,575.970458984375,0.2
686.86,575.7989501953125,0.16
664.89,575.858642578125,0.13
666.89,575.858642578125,0.14
675.01,575.83056640625,0.15
702.83,575.7350463867188,0.18
714.81,575.7633666992188,0.19
772.79,575.94775390625,0.25
606.99,575.845458984375,0.05
545.8,575.845458984375,0.06
559.15,576.1594848632812,0.03
549.08,575.9326171875,0.05
659.09,576.1105346679688,0.13
824.7,576.1189575195312,0.3
786.69,576.223876953125,0.27
790.68,576.1594848632812,0.27
828.62,576.1189575195312,0.3
850.58,575.9937744140625,0.32
585.11,575.7633666992188,0.02
581.03,575.7050170898438,0.01
624.96,575.6110229492188,0.08
579.03,575.6110229492188,0.01
513.22,575.7861328125,0.12
720.8,575.5283813476562,0.2
680.87,575.35498046875,0.15
465.22,575.4710693359375,0.24
421.3,575.5620727539062,0.37
379.42,575.4710693359375,0.52
379.37,575.4710693359375,0.52
595.01,575.4586181640625,0.03
722.8,575.4915771484375,0.2
758.8,575.5174560546875,0.24
547.09,575.7063598632812,0.05
