reality,predict,mape,accurary
557.07,446.1083165,0.199188044,0.8
507.15,458.0705362,0.096775044,0.9
485.25,475.7779166,0.019520007,0.98
485.19,451.43017,0.069580639,0.93
487.19,421.0272567,0.135804806,0.86
543.09,421.0272567,0.224756013,0.78
1018.3,286.1045818,0.71903704,0.28
1004.52,315.5920744,0.685827983,0.31
1021.18,315.5920744,0.69095353,0.31
681.69,388.0999779,0.430679667,0.57
936.44,458.9456169,0.509903873,0.49
1166.15,482.7764289,0.586008293,0.41
1106.16,556.2201388,0.497161226,0.5
991.44,646.1980933,0.348222693,0.65
676.87,659.544588,0.025596366,0.97
676.87,694.6401885,0.026253473,0.97
1005.46,622.3733685,0.381006337,0.62
1281.95,622.3733685,0.514510419,0.49
1194.01,588.518974,0.507107165,0.49
1064.23,512.4749187,0.518454734,0.48
712.81,477.4762713,0.330149309,0.67
708.93,497.4914371,0.298250269,0.7
1098.17,484.4997657,0.558811691,0.44
956.41,458.0705362,0.521052126,0.48
790.68,475.7779166,0.39826742,0.6
483.19,502.9647644,0.040925442,0.96
461.29,502.9647644,0.090343958,0.91
399.33,625.3963551,0.566114129,0.43
429.28,625.3963551,0.456849504,0.54
946.62,502.9647644,0.468673,0.53
880.53,495.6735942,0.437073587,0.56
944.43,538.330561,0.429994218,0.57
972.38,588.003607,0.395294425,0.6
656.91,659.544588,0.004010577,1
952.41,662.6801241,0.304207091,0.7
1114.23,734.3332395,0.340950038,0.66
1064.23,754.9923733,0.290574055,0.71
770.72,773.0497163,0.003022779,1
816.79,694.6401885,0.149548613,0.85
838.6,711.2540731,0.151855386,0.85
858.57,711.2540731,0.171582896,0.83
892.51,694.6401885,0.221700386,0.78
910.48,606.1204852,0.334284679,0.67
889.1,584.9879488,0.342044822,0.66
882.69,549.9268501,0.376987561,0.62
858.65,564.6729231,0.342371254,0.66
818.64,556.2201388,0.320555875,0.68
761.66,546.5584032,0.282411571,0.72
726.79,516.7226895,0.289034399,0.71
708.82,516.7226895,0.271010003,0.73
708.82,516.7226895,0.271010003,0.73
686.86,509.2320792,0.258608626,0.74
700.89,516.7226895,0.262762075,0.74
728.92,546.2491989,0.250604732,0.75
766.72,516.7226895,0.326060766,0.67
776.71,556.2201388,0.283876687,0.72
822.63,637.7104687,0.224790649,0.78
866.56,638.0166654,0.263736307,0.74
876.54,685.6621615,0.217762839,0.78
896.51,698.8025715,0.220530087,0.78
892.51,698.8025715,0.217036704,0.78
880.78,698.8025715,0.206609401,0.79
834.61,657.9364752,0.21168393,0.79
822.63,651.3222962,0.20824393,0.79
852.58,610.4900995,0.283949777,0.72
850.58,610.4900995,0.282266101,0.72
890.52,574.7587086,0.354580797,0.65
890.52,574.7587086,0.354580797,0.65
852.58,549.9268501,0.354985045,0.65
864.71,564.6729231,0.346980001,0.65
780.77,564.6729231,0.276774309,0.72
740.77,526.2167329,0.28963547,0.71
728.79,535.5188805,0.265194527,0.73
708.82,546.5584032,0.228917915,0.77
704.36,546.5584032,0.224035432,0.78
686.99,483.1723291,0.296682151,0.7
686.86,483.1723291,0.296549036,0.7
720.8,483.1723291,0.329672129,0.67
730.2,469.5010215,0.357024074,0.64
776.71,475.7779166,0.387444585,0.61
804.66,482.7764289,0.400024322,0.6
796.67,482.7764289,0.394007018,0.61
832.61,484.4997657,0.418095188,0.58
852.74,502.5138264,0.410706867,0.59
840.6,521.9592971,0.379063411,0.62
816.64,524.3436461,0.35792559,0.64
790.76,521.9592971,0.339927036,0.66
808.65,477.103384,0.410000143,0.59
824.63,477.103384,0.42143339,0.58
832.61,439.8982613,0.47166349,0.53
858.57,439.8982613,0.487638444,0.51
890.68,448.3114762,0.496663812,0.5
858.57,448.3114762,0.477839342,0.52
828.62,393.808781,0.5247414,0.48
792.68,416.3117578,0.474804766,0.53
740.83,517.6502895,0.301256308,0.7
716.81,579.056297,0.192176034,0.81
686.86,424.1288366,0.382510502,0.62
664.89,465.6965325,0.299588605,0.7
666.89,465.6965325,0.301689135,0.7
675.01,458.9456169,0.32009064,0.68
702.83,434.1381443,0.382299924,0.62
714.81,440.5241513,0.383718539,0.62
772.79,491.3106645,0.364237808,0.64
606.99,464.8085797,0.234240136,0.77
545.8,464.8085797,0.14839029,0.85
559.15,493.7267486,0.117004831,0.88
549.08,452.6704003,0.175583885,0.82
659.09,484.4426215,0.264982595,0.74
824.7,502.5138264,0.390670757,0.61
786.69,540.1358645,0.313406978,0.69
790.68,493.7267486,0.375566919,0.62
828.62,502.5138264,0.393553346,0.61
850.58,460.6724394,0.458401985,0.54
585.11,440.5241513,0.247108832,0.75
581.03,379.1521069,0.347448313,0.65
624.96,393.808781,0.369865622,0.63
579.03,393.808781,0.319881904,0.68
513.22,300.264442,0.4149401,0.59
720.8,177.3561904,0.753945352,0.25
680.87,184.7727212,0.728622613,0.27
465.22,174.785167,0.624295673,0.38
421.3,320.2343138,0.239890069,0.76
379.42,174.785167,0.539335915,0.46
379.37,174.785167,0.539275201,0.46
595.01,229.7500632,0.61387193,0.39
722.8,315.5920744,0.563375658,0.44
758.8,333.625601,0.560324722,0.44
547.09,416.3117578,0.239043379,0.76
565.06,417.9805023,0.260290054,0.74
636.94,434.1381443,0.318400251,0.68
906.49,407.0652082,0.55094352,0.45
890.69,413.0042652,0.536309754,0.46
868.55,363.2491515,0.581775198,0.42
840.6,383.7873654,0.543436396,0.46
850.74,163.8855313,0.807361202,0.19
890.52,160.6729401,0.819574024,0.18
910.57,165.7917095,0.817925355,0.18
916.64,166.2962251,0.818580659,0.18
925.17,166.2962251,0.820253332,0.18
924.46,166.2962251,0.820115283,0.18
910.48,163.8855313,0.820000954,0.18
830.62,161.0197894,0.806145061,0.19
