reality,predict,mape
467.22,572.2800903320312,0.22
463.23,572.2800903320312,0.24
457.24,527.951904296875,0.15
433.28,513.33837890625,0.18
441.26,527.951904296875,0.2
802.73,527.951904296875,0.34
826.62,500.3514099121094,0.39
547.09,575.5404663085938,0.05
591.11,635.7686767578125,0.08
589.02,707.5733642578125,0.2
804.66,745.0098266601562,0.07
1056.24,779.8956298828125,0.26
1036.27,851.5515747070312,0.18
667.07,851.5515747070312,0.28
523.2,851.5515747070312,0.63
579.03,851.5515747070312,0.47
842.6,851.5515747070312,0.01
1060.45,817.4549560546875,0.23
1014.31,793.8763427734375,0.22
632.95,752.8353271484375,0.19
639.33,729.23876953125,0.14
610.98,688.637939453125,0.13
557.07,686.9117431640625,0.23
788.84,686.9117431640625,0.13
764.73,655.629638671875,0.14
427.34,655.629638671875,0.53
451.25,655.629638671875,0.45
419.3,643.8464965820312,0.54
443.26,645.3706665039062,0.46
453.24,645.3706665039062,0.42
587.02,661.9561767578125,0.13
900.68,645.3706665039062,0.28
603.0,646.8809814453125,0.07
567.05,649.8939819335938,0.15
832.61,678.5756225585938,0.19
1118.22,692.8504638671875,0.38
948.42,663.3243408203125,0.3
632.95,678.5756225585938,0.07
549.08,663.3243408203125,0.21
682.86,728.1065673828125,0.07
1040.48,728.1065673828125,0.3
1074.21,728.1065673828125,0.32
882.53,740.8367919921875,0.16
646.92,695.602783203125,0.08
666.74,680.2532348632812,0.02
589.02,707.7609252929688,0.2
1010.32,702.4127197265625,0.3
932.45,692.8504638671875,0.26
499.24,718.6553344726562,0.44
483.19,670.300048828125,0.39
471.21,670.300048828125,0.42
453.43,631.3535766601562,0.39
493.18,615.1712646484375,0.25
545.16,588.45556640625,0.08
950.61,599.3087768554688,0.37
774.71,599.3087768554688,0.23
591.01,599.3087768554688,0.01
606.99,649.8364868164062,0.07
636.94,650.3141479492188,0.02
1058.24,678.4165649414062,0.36
914.48,657.457275390625,0.28
626.96,688.7455444335938,0.1
559.07,704.581787109375,0.26
511.22,672.3231811523438,0.32
545.09,621.545654296875,0.14
698.92,618.0850219726562,0.12
1024.29,596.4050903320312,0.42
714.81,549.768798828125,0.23
638.94,529.9764404296875,0.17
579.03,495.7084655761719,0.14
722.8,493.5425109863281,0.32
856.74,489.0630798339844,0.43
493.18,466.0152282714844,0.06
467.22,489.2856750488281,0.05
426.7,482.4623718261719,0.13
413.31,482.4623718261719,0.17
435.27,466.2375183105469,0.07
513.14,473.1417236328125,0.08
958.4,476.7591247558594,0.5
816.79,497.7725524902344,0.39
595.01,532.7688598632812,0.1
610.64,594.9973754882812,0.03
824.7,684.7544555664062,0.17
1072.21,707.419921875,0.34
972.38,667.249755859375,0.31
688.96,667.249755859375,0.03
585.02,681.2396850585938,0.16
535.11,624.3856201171875,0.17
826.62,617.4763793945312,0.25
1059.96,586.1171264648438,0.45
818.72,606.1516723632812,0.26
682.86,570.0732421875,0.17
666.89,572.74072265625,0.14
657.09,565.5553588867188,0.14
