reality,predict,mape,accurary
467.22,733.4899105,0.569902638,0.43
463.23,733.4899105,0.583424887,0.42
457.24,702.6032653,0.536618111,0.46
433.28,663.0971813,0.530412623,0.47
441.26,702.6032653,0.592265932,0.41
802.73,702.6032653,0.124732768,0.88
826.62,610.3138716,0.261675411,0.74
547.09,713.5359068,0.30423862,0.7
591.11,729.4046778,0.233957601,0.77
589.02,841.140338,0.428033578,0.57
804.66,882.3627861,0.096565986,0.9
1056.24,947.7188724,0.102742869,0.9
1036.27,984.6508691,0.049812434,0.95
667.07,984.6508691,0.476083273,0.52
523.2,984.6508691,0.881977961,0.12
579.03,984.6508691,0.700517882,0.3
842.6,984.6508691,0.168586363,0.83
1060.45,913.1428765,0.138910013,0.86
1014.31,948.8474569,0.06453899,0.94
632.95,915.3026897,0.446090038,0.55
639.33,875.2671939,0.369038202,0.63
610.98,841.0035018,0.376482867,0.62
557.07,788.6820148,0.415768242,0.58
788.84,788.6820148,0.000200275,1
764.73,731.3830698,0.043606149,0.96
427.34,731.3830698,0.711478143,0.29
451.25,731.3830698,0.620793506,0.38
419.3,690.2587506,0.646216911,0.35
443.26,668.8402831,0.508911887,0.49
453.24,668.8402831,0.475686795,0.52
587.02,638.7048208,0.088046099,0.91
900.68,668.8402831,0.257405202,0.74
603,650.6450205,0.079013301,0.92
567.05,550.2279156,0.029665963,0.97
832.61,675.06536,0.189217809,0.81
1118.22,715.2844856,0.36033653,0.64
948.42,621.3293693,0.344879516,0.66
632.95,675.06536,0.06653821,0.93
549.08,621.3293693,0.131582591,0.87
682.86,683.4556821,0.000872334,1
1040.48,683.4556821,0.343134244,0.66
1074.21,683.4556821,0.36375971,0.64
882.53,724.1746873,0.179433348,0.82
646.92,695.8257458,0.075597826,0.92
666.74,656.7007492,0.01505722,0.98
589.02,723.1956664,0.227794755,0.77
1010.32,743.419805,0.26417392,0.74
932.45,715.2844856,0.232897758,0.77
499.24,750.1936268,0.502671314,0.5
483.19,736.5644014,0.524378405,0.48
471.21,736.5644014,0.563134062,0.44
453.43,752.3546537,0.659252043,0.34
493.18,747.8683528,0.516420684,0.48
545.16,718.5908039,0.318128263,0.68
950.61,745.416858,0.21585418,0.78
774.71,745.416858,0.037811751,0.96
591.01,745.416858,0.261259298,0.74
606.99,803.2613069,0.323351796,0.68
636.94,859.931587,0.350098262,0.65
1058.24,945.9064424,0.106151306,0.89
914.48,916.0666178,0.001734995,1
626.96,1135.217343,0.810669489,0.19
559.07,1185.731169,1.120899295,0
511.22,1376.978625,1.693514778,0
545.09,1270.444242,1.330705465,0
698.92,1337.214401,0.913258171,0.09
1024.29,1167.937621,0.140241163,0.86
714.81,821.0209515,0.14858627,0.85
638.94,863.1527434,0.350913612,0.65
579.03,673.9077823,0.163856419,0.84
722.8,698.0277563,0.034272612,0.97
