le_accurary,le_accurary_frequency,le_frequency_probability,le_probability_log,le_self_entrocy,gru_accurary,gru_accurary_frequency,gru_frequency_probability,gru_probability_log,gru_self_entrocy,mul_accurary_multiply,mul_accurary_division,multiply_add_division,mul_frequency,mul_probability,mul_division_single,mul_division_single_log,mutual_information
0.91,82,0.0006244288760280231,-10.64517512484226,0.003360920935109017,0.73,35,0.0002579446966570367,-11.920650594563984,0.00152015975807922,0.6643,0.8021978021978021,1.4664978021978021,2,0.00024789291026276647,0.01171989310374016,-6.414896778667061,0.0015902074314990235
0.81,44,0.0003350593968930856,-11.543295510823047,0.001955573409445803,0.62,25,0.00018424621189788338,-12.406077421734226,0.002285772769466391,0.5022,0.7654320987654321,1.2676320987654321,1,0.00012394645513138323,0.015289133276242844,-6.031349565516033,0.0007475643983039207
0.87,55,0.000418824246116357,-11.221367415935683,0.002376293636818272,0.67,23,0.00016950651494605272,-12.526371655451937,0.002123301604234675,0.5829000000000001,0.7701149425287357,1.3530149425287359,1,0.00012394645513138323,0.013294898501080732,-6.232983426685684,0.0007725562006303525
0.92,65,0.0004949741090466037,-10.980359316431889,0.0027480304565709007,0.67,23,0.00016950651494605272,-12.526371655451937,0.002123301604234675,0.6164000000000001,0.7282608695652174,1.3446608695652174,1,0.00012394645513138323,0.011249529500914467,-6.4739915261894785,0.0008024283002217995
0.98,81,0.0006168138897349985,-10.662877126575719,0.003325454856510428,0.79,42,0.00030953363598844406,-11.65761618873019,0.001783940116153233,0.7742,0.8061224489795918,1.580322448979592,2,0.00024789291026276647,0.009887152618381616,-6.660229182767396,0.0016510235951332165
0.99,86,0.0006548888212001219,-10.576462374758245,0.0035021158872840345,0.79,42,0.00030953363598844406,-11.65761618873019,0.001783940116153233,0.7821,0.797979797979798,1.580079797979798,2,0.00024789291026276647,0.009312318163824544,-6.74664393458487,0.0016724451994508847
0.99,86,0.0006548888212001219,-10.576462374758245,0.0035021158872840345,0.79,42,0.00030953363598844406,-11.65761618873019,0.001783940116153233,0.7821,0.797979797979798,1.580079797979798,2,0.00024789291026276647,0.009312318163824544,-6.74664393458487,0.0016724451994508847
0.91,82,0.0006244288760280231,-10.64517512484226,0.003360920935109017,0.88,86,0.0006338069689287188,-10.623668856806853,0.003328849839433122,0.8008000000000001,0.967032967032967,1.767832967032967,8,0.0009915716410510659,0.019078895750274678,-5.711878516424193,0.005663736754015064
0.92,65,0.0004949741090466037,-10.980359316431889,0.0027480304565709007,0.93,84,0.0006190672719768881,-10.65761618873019,0.003261824502340364,0.8556,1.0108695652173914,1.8664695652173915,9,0.0011155180961824492,0.027722054841539227,-5.172821991468913,0.005770376539814107
0.91,82,0.0006244288760280231,-10.64517512484226,0.003360920935109017,0.99,82,0.0006043275750250575,-10.692381606890867,0.0031945488325880334,0.9009,1.0879120879120878,1.9888120879120879,7,0.0008676251859196827,0.017508376892782555,-5.835810844282574,0.005063296468762768
