reality,predict,mape
381.42,523.9334716796875,0.37
379.37,523.9334716796875,0.38
381.36,524.855712890625,0.38
373.38,523.2884521484375,0.4
373.38,524.3002319335938,0.4
417.36,523.9334716796875,0.26
417.3,523.9334716796875,0.26
483.19,524.99169921875,0.09
533.19,527.921630859375,0.01
551.08,540.469970703125,0.02
589.02,549.6692504882812,0.07
706.82,557.041748046875,0.21
910.48,564.4320068359375,0.38
519.13,577.068603515625,0.11
479.27,584.0213623046875,0.22
491.18,573.198974609375,0.17
868.72,566.5201416015625,0.35
782.7,562.48681640625,0.28
896.51,550.6590576171875,0.39
894.51,541.2609252929688,0.39
684.86,531.3435668945312,0.22
650.92,533.0452880859375,0.18
555.07,533.0452880859375,0.04
505.23,533.0452880859375,0.06
391.4,531.3435668945312,0.36
367.79,533.0452880859375,0.45
355.41,533.4309692382812,0.5
369.38,531.7296142578125,0.44
377.37,531.7296142578125,0.41
383.77,531.7296142578125,0.39
411.43,535.3784790039062,0.3
445.26,542.0765991210938,0.22
455.24,548.8828125,0.21
493.18,554.9290161132812,0.13
529.12,557.7197875976562,0.05
525.12,542.8349609375,0.03
503.16,534.2625732421875,0.06
519.21,536.133056640625,0.03
529.12,542.4976806640625,0.03
543.09,542.8349609375,0.0
880.61,542.8349609375,0.38
1014.31,542.8349609375,0.46
692.85,538.4254150390625,0.22
1016.31,536.5040893554688,0.47
1086.19,536.5040893554688,0.51
686.86,541.7559814453125,0.21
543.17,532.11328125,0.02
481.2,528.9231567382812,0.1
407.32,529.8658447265625,0.3
425.35,526.7144165039062,0.24
387.35,526.7144165039062,0.36
648.92,525.702880859375,0.19
499.17,525.702880859375,0.05
503.16,526.7144165039062,0.05
413.36,525.702880859375,0.27
448.92,526.9010009765625,0.17
461.3,527.9152221679688,0.14
491.18,530.718017578125,0.08
505.16,542.0860595703125,0.07
531.11,539.4971923828125,0.02
514.56,548.7026977539062,0.07
483.19,557.041748046875,0.15
457.24,562.48681640625,0.23
469.22,566.5201416015625,0.21
493.18,567.2008666992188,0.15
501.16,563.1724853515625,0.12
515.22,552.0072021484375,0.07
543.09,543.0869140625,0.0
525.19,528.208251953125,0.01
537.1,529.95263671875,0.01
738.77,528.59130859375,0.28
417.3,528.59130859375,0.27
399.33,526.2991333007812,0.32
397.34,524.384521484375,0.32
363.39,523.5828247070312,0.44
369.44,523.5828247070312,0.42
397.39,522.98681640625,0.32
437.27,523.6166381835938,0.2
419.3,524.125244140625,0.25
475.21,526.2847900390625,0.11
493.18,531.5009155273438,0.08
537.1,551.1910400390625,0.03
606.99,566.5201416015625,0.07
1044.26,573.3148193359375,0.45
822.78,578.6083984375,0.3
535.18,575.78515625,0.08
493.47,574.2216796875,0.16
473.21,567.705810546875,0.2
511.15,563.996337890625,0.1
545.09,556.0178833007812,0.02
832.61,539.2020874023438,0.35
812.52,531.2521362304688,0.35
610.98,530.7415771484375,0.13
601.0,527.9077758789062,0.12
495.17,529.4405517578125,0.07
583.03,526.8829956054688,0.1
597.0,523.6261596679688,0.12
441.26,520.9535522460938,0.18
443.26,518.53076171875,0.17
445.32,517.6442260742188,0.16
451.3,517.6442260742188,0.15
463.23,518.53076171875,0.12
429.28,518.53076171875,0.21
477.2,523.689453125,0.1
503.16,532.6009521484375,0.06
505.16,544.2487182617188,0.08
533.11,550.3396606445312,0.03
537.1,555.79931640625,0.03
570.17,560.2403564453125,0.02
