reality,predict,mape,accurary
381.42,423.7178032,0.110895609,0.89
379.37,423.7178032,0.116898551,0.88
381.36,436.3667082,0.144238274,0.86
373.38,432.3045268,0.157813827,0.84
373.38,445.2097643,0.192377107,0.81
417.36,423.7178032,0.015233379,0.98
417.3,423.7178032,0.015379351,0.98
483.19,467.5331271,0.032403139,0.97
533.19,532.9338573,0.000480397,1
551.08,640.0750077,0.161491993,0.84
589.02,700.4954459,0.189255791,0.81
706.82,745.4060627,0.054591074,0.95
910.48,808.9055308,0.11156145,0.89
519.13,874.6486529,0.6848355,0.32
479.27,957.4900683,0.997809311,0
491.18,845.8492925,0.722076006,0.28
868.72,804.5126697,0.073910271,0.93
782.7,771.4307882,0.014397869,0.99
896.51,695.7070637,0.22398293,0.78
894.51,638.6299978,0.286056055,0.71
684.86,543.7996385,0.205969631,0.79
650.92,552.3981217,0.151357891,0.85
555.07,552.3981217,0.004813588,1
505.23,552.3981217,0.093359701,0.91
391.4,543.7996385,0.389370563,0.61
367.79,552.3981217,0.501938937,0.5
355.41,542.5133494,0.526443683,0.47
369.38,534.06873,0.445851779,0.55
377.37,534.06873,0.41523897,0.58
383.77,534.06873,0.391637517,0.61
411.43,581.8647842,0.414249773,0.59
445.26,625.7186001,0.405288146,0.59
455.24,668.344334,0.468114256,0.53
493.18,697.5222334,0.41433601,0.59
529.12,720.8247734,0.362308689,0.64
525.12,620.2264619,0.181113768,0.82
503.16,556.3797323,0.105770992,0.89
519.21,572.9888865,0.103578295,0.9
529.12,614.2052802,0.160805262,0.84
543.09,620.2264619,0.142032558,0.86
880.61,620.2264619,0.29568542,0.7
1014.31,620.2264619,0.388523763,0.61
692.85,584.8197757,0.155921519,0.84
1016.31,551.7481766,0.457106418,0.54
1086.19,551.7481766,0.49203346,0.51
686.86,585.4217843,0.147683976,0.85
543.17,525.5653121,0.032411009,0.97
481.2,482.5153395,0.002733457,1
407.32,498.0751334,0.222810403,0.78
425.35,453.3764695,0.065890371,0.93
387.35,453.3764695,0.170456872,0.83
648.92,445.008399,0.314232264,0.69
499.17,445.008399,0.108503318,0.89
503.16,453.3764695,0.098941749,0.9
413.36,445.008399,0.076563768,0.92
448.92,491.0253163,0.093792471,0.91
461.3,500.2587026,0.084454157,0.92
491.18,563.7965872,0.147841091,0.85
505.16,651.5719587,0.289832842,0.71
531.11,639.5457499,0.204168157,0.8
514.56,697.3565723,0.355248314,0.64
483.19,745.4060627,0.542676924,0.46
457.24,771.4307882,0.687146331,0.31
469.22,804.5126697,0.714574549,0.29
493.18,824.1164314,0.671025653,0.33
501.16,788.6446219,0.573638403,0.43
515.22,714.3678723,0.386529778,0.61
543.09,659.1826493,0.213763187,0.79
525.19,529.784905,0.008749034,0.99
537.1,543.8007589,0.012475813,0.99
738.77,521.349694,0.294300399,0.71
417.3,521.349694,0.249340268,0.75
399.33,487.2433988,0.220152252,0.78
397.34,359.5329434,0.095150392,0.9
363.39,413.0107408,0.13654955,0.86
369.44,413.0107408,0.117937259,0.88
397.39,324.1763715,0.184236213,0.82
437.27,399.7565319,0.085790171,0.91
419.3,406.4348027,0.03068256,0.97
475.21,442.6968771,0.068418432,0.93
493.18,560.8455685,0.13720258,0.86
537.1,698.7752854,0.30101524,0.7
606.99,804.5126697,0.325413384,0.67
1044.26,865.9175502,0.170783569,0.83
822.78,973.0324192,0.182615546,0.82
535.18,994.4815558,0.858218834,0.14
493.47,1128.824982,1.287525041,0
473.21,1027.765145,1.171900731,0
511.15,1147.20814,1.244366898,0
545.09,1552.767518,1.848644294,0
832.61,757.8541069,0.089785005,0.91
812.52,626.6899288,0.228708304,0.77
610.98,668.5455709,0.094218421,0.91
601,650.2597613,0.081962997,0.92
495.17,707.6562138,0.429117705,0.57
583.03,669.0855532,0.147600558,0.85
597,593.5874334,0.005716192,0.99
441.26,532.5893604,0.20697403,0.79
443.26,414.6472145,0.064550795,0.94
445.32,309.6930271,0.304560704,0.7
451.3,309.6930271,0.313775699,0.69
463.23,414.6472145,0.104878323,0.9
429.28,414.6472145,0.034086809,0.97
477.2,569.115594,0.192614405,0.81
503.16,789.6770319,0.569435233,0.43
505.16,936.7343412,0.854331976,0.15
533.11,1041.510829,0.953650896,0.05
537.1,1003.157882,0.867730184,0.13
570.17,1032.14603,0.810242612,0.19
513.22,1181.88399,1.302879837,0
504.97,1258.293181,1.491817694,0
481.2,1833.965274,2.811232905,0
521.13,1636.610413,2.140503162,0
537.1,1590.645692,1.961544763,0
525.12,1153.198264,1.196066164,0
527.35,936.7343412,0.776304809,0.22
570.9,772.1050213,0.352434789,0.65
579.11,638.3971688,0.102376351,0.9
531.11,604.7357733,0.138626223,0.86
493.18,598.4290281,0.213408954,0.79
796.74,598.4290281,0.248902995,0.75
543.09,542.8367477,0.000466317,1
451.25,518.5918043,0.149233915,0.85
405.32,508.2911848,0.254049109,0.75
451.25,508.2911848,0.126407058,0.87
461.23,493.5574144,0.070089574,0.93
461.23,485.6990159,0.053051657,0.95
529.12,537.5925599,0.016012549,0.98
551.08,585.7039766,0.062829311,0.94
555.15,594.4443438,0.070781489,0.93
577.04,678.4202092,0.175690089,0.82
644.93,804.9614192,0.248137657,0.75
816.64,785.8133095,0.037748201,0.96
569.05,749.1269705,0.31645193,0.68
527.12,817.9178953,0.551673045,0.45
525.12,796.8612672,0.517484132,0.48
581.03,789.6636001,0.359075435,0.64
628.95,745.4060627,0.185159492,0.81
912.48,714.3678723,0.21711394,0.78
694.84,672.236928,0.032529895,0.97
583.19,651.1984846,0.116614627,0.88
573.04,639.5457499,0.116057779,0.88
511.15,580.6283471,0.135925554,0.86
437.27,508.2257324,0.162269839,0.84
399.33,508.2257324,0.272696097,0.73
367.39,439.3277445,0.195807574,0.8
375.37,467.5331271,0.245526087,0.75
367.85,406.2244185,0.104320833,0.9
369.38,294.9770954,0.201426457,0.8
419.35,375.8099584,0.103827451,0.9
435.27,439.3277445,0.009322362,0.99
499.17,508.2257324,0.01814158,0.98
928.82,596.8525452,0.357407738,0.64
770.72,627.361407,0.186006063,0.81
587.87,697.0431456,0.185709673,0.81
668.89,705.1078652,0.05414622,0.95
652.91,798.4200776,0.222863913,0.78
622.96,838.5182305,0.346022587,0.65
591.01,862.7488034,0.45978715,0.54
613.07,873.3962619,0.424627305,0.58
608.99,845.8492925,0.388937901,0.61
878.54,789.6636001,0.101163749,0.9
976.46,765.4492222,0.216097718,0.78
678.87,782.2169231,0.152233746,0.85
670.88,764.3390026,0.139308077,0.86
555.07,713.0478492,0.284608877,0.72
962.4,696.0861438,0.276718471,0.72
537.18,603.1885238,0.122879712,0.88
505.16,542.6440881,0.074202407,0.93
411.31,553.390468,0.345434023,0.65
405.32,526.9145346,0.299996385,0.7
405.32,542.6440881,0.338804125,0.66
419.36,542.6440881,0.293981515,0.71
427.29,526.9145346,0.233154379,0.77
421.3,542.6440881,0.288022996,0.71
517.14,651.1984846,0.259230546,0.74
571.12,710.0626392,0.24328099,0.76
745.26,865.9175502,0.161899941,0.84
988.35,889.3560592,0.100160814,0.9
656.99,970.7242895,0.477532823,0.52
714.81,887.01758,0.240913781,0.76
682.86,824.2331976,0.207031013,0.79
670.75,819.0278134,0.221062711,0.78
676.87,772.9508807,0.141948795,0.86
694.84,740.6370653,0.065910232,0.93
626.96,603.2614888,0.03779908,0.96
1010.32,543.7996385,0.461755049,0.54
820.63,524.2113044,0.3612087,0.64
642.93,471.9263367,0.265975555,0.73
654.99,450.9504869,0.311515463,0.69
575.12,464.4123472,0.192494876,0.81
447.25,478.5245241,0.06992627,0.93
413.31,478.5245241,0.157785982,0.84
407.32,478.5245241,0.174812246,0.83
379.37,478.5245241,0.261366276,0.74
373.38,499.1313936,0.336791991,0.66
393.34,478.5245241,0.216567153,0.78
399.33,491.1842465,0.230020901,0.77
429.28,505.8471726,0.178361844,0.82
471.35,499.1313936,0.058940052,0.94
471.21,514.0315595,0.090875744,0.91
