le_accurary,le_accurary_frequency,le_frequency_probability,le_probability_log,le_self_entrocy,gru_accurary,gru_accurary_frequency,gru_frequency_probability,gru_probability_log,gru_self_entrocy,mul_accurary_multiply,mul_accurary_division,multiply_add_division,mul_frequency,mul_probability,mul_division_single,mul_division_single_log,mutual_information
0.83,53,0.00034817111624973725,-11.487915855399255,0.001976566890313471,0.63,38,0.0002359222698205749,-12.049400771725471,0.0028427219800432604,0.5229,1.3174603174603174,1.8403603174603176,2,0.0002754062241806665,0.022025660639910603,-5.5046708976379355,0.001516020627275664
0.87,73,0.0004795564431364305,-11.026011751082438,0.0026129777510878562,0.59,28,0.0001738374619730552,-12.489973363111451,0.002171225269554359,0.5133,1.4745762711864407,1.9878762711864408,1,0.00013770311209033325,0.010851193867118383,-6.526002410568773,0.0008986508414443367
0.87,73,0.0004795564431364305,-11.026011751082438,0.0026129777510878562,0.52,19,0.00011796113491028745,-13.049400771725471,0.0015393221249319175,0.4524,1.673076923076923,2.125476923076923,1,0.00013770311209033325,0.015991233067332355,-5.966575001954753,0.0008216159462895558
0.94,86,0.0005649569056127812,-10.789571555260357,0.0030122918828073414,0.48,20,0.00012416961569503942,-12.975400190281693,0.0016111504551166193,0.45119999999999993,1.9583333333333333,2.409533333333333,1,0.00013770311209033325,0.01289525596766859,-6.277015779220611,0.0008643646074388063
0.81,57,0.0003744481816270759,-11.382946295797712,0.0021063180200048704,0.53,30,0.00018625442354255913,-12.390437689560537,0.002307773829309096,0.42930000000000007,1.528301886792453,1.957601886792453,1,0.00013770311209033325,0.012970666821280688,-6.2686035394044115,0.0008632062158364654
0.83,53,0.00034817111624973725,-11.487915855399255,0.001976566890313471,0.59,28,0.0001738374619730552,-12.489973363111451,0.002171225269554359,0.48969999999999997,1.4067796610169492,1.8964796610169492,1,0.00013770311209033325,0.014945984005653622,-6.064098306251954,0.0008350452087926128
0.76,61,0.00040072524700441453,-11.285098972399568,0.002234753406667248,0.63,38,0.0002359222698205749,-12.049400771725471,0.0028427219800432604,0.4788,1.2063492063492063,1.6851492063492062,1,0.00013770311209033325,0.00956852470422346,-6.7074877806376225,0.0009236419417016831
0.62,32,0.00021021652301870928,-12.215836309962455,0.002567970634846007,0.78,48,0.0002980070776680946,-11.7123657844479,0.0017655282129767325,0.48360000000000003,0.7948717948717948,1.2784717948717947,2,0.0002754062241806665,0.028880000344257785,-5.113785430352307,0.0014083683366434335
0.72,59,0.0003875867143157452,-11.333193260600613,0.0021706945058879877,0.76,43,0.00026696467374433475,-11.871063530466959,0.0016030493123185827,0.5472,0.9473684210526315,1.4945684210526315,1,0.00013770311209033325,0.008742546418758367,-6.83773073369509,0.0009415768016655317
0.66,31,0.0002036472566743746,-12.261639999575578,0.0024970493482423463,0.81,44,0.0002731731545290867,-11.837896666531758,0.001635746570823654,0.5346000000000001,0.8148148148148148,1.3494148148148148,1,0.00013770311209033325,0.01626087995923019,-5.942450858655323,0.000818293976680711
