reality,predict,mape
368.53,568.2479858398438,0.54
354.89,540.3643798828125,0.52
357.96,503.8797912597656,0.41
328.38,500.96807861328125,0.53
337.78,478.1257629394531,0.42
376.83,478.1257629394531,0.27
387.35,478.1257629394531,0.23
446.34,558.8871459960938,0.25
493.32,643.7042236328125,0.3
606.02,709.5949096679688,0.17
762.46,702.9752197265625,0.08
895.69,762.4978637695312,0.15
897.37,796.6678466796875,0.11
867.1,778.1666259765625,0.1
788.67,778.1666259765625,0.01
497.74,785.079345703125,0.58
510.58,721.66064453125,0.41
546.13,662.7156982421875,0.21
587.48,575.4979248046875,0.02
513.52,490.7737121582031,0.04
537.76,501.69219970703125,0.07
813.09,490.7737121582031,0.4
560.11,483.02752685546875,0.14
505.41,477.8432312011719,0.05
419.52,485.9451599121094,0.16
395.62,480.462158203125,0.21
395.62,480.462158203125,0.21
402.65,480.462158203125,0.19
384.76,499.7398986816406,0.3
429.14,499.7398986816406,0.16
482.99,503.95184326171875,0.04
572.02,509.01788330078125,0.11
655.05,575.4979248046875,0.12
575.37,662.7156982421875,0.15
630.08,745.1222534179688,0.18
893.18,809.4159545898438,0.09
883.68,858.0029907226562,0.03
858.4,908.6798706054688,0.06
867.8,935.9968872070312,0.08
858.11,935.9968872070312,0.09
809.45,908.6798706054688,0.12
889.82,833.9297485351562,0.06
721.4,643.7042236328125,0.11
635.52,607.6829223632812,0.04
609.61,559.1304321289062,0.08
609.61,545.3870239257812,0.11
534.48,489.1839294433594,0.08
453.6,479.4870910644531,0.06
399.4,485.9451599121094,0.22
389.41,475.2964172363281,0.22
390.78,471.8534851074219,0.21
397.82,469.57562255859375,0.18
399.34,467.7036437988281,0.17
436.42,478.07110595703125,0.1
467.26,475.20697021484375,0.02
487.72,472.4580078125,0.03
473.07,482.508544921875,0.02
473.06,477.96075439453125,0.01
731.92,486.0617980957031,0.34
760.11,492.8549499511719,0.35
542.58,492.8549499511719,0.09
610.72,487.7283020019531,0.2
521.29,499.1028747558594,0.04
527.45,493.99810791015625,0.06
518.16,489.4915771484375,0.06
527.55,489.4915771484375,0.07
592.49,484.3020935058594,0.18
574.54,485.2023010253906,0.16
552.88,479.9934387207031,0.13
523.5,485.2023010253906,0.07
496.4,479.9934387207031,0.03
446.28,478.9164123535156,0.07
422.32,483.46148681640625,0.14
414.41,483.46148681640625,0.17
381.05,474.28338623046875,0.24
387.86,474.28338623046875,0.22
388.99,476.58953857421875,0.23
417.23,469.77581787109375,0.13
425.22,476.58953857421875,0.12
481.04,468.7886047363281,0.03
481.04,467.1832580566406,0.03
455.67,470.6659851074219,0.03
489.03,469.57562255859375,0.04
226.35,487.4760437011719,1.15
490.44,487.979736328125,0.01
491.54,480.617919921875,0.02
491.93,475.5266418457031,0.03
454.26,491.4864807128906,0.08
456.29,491.4864807128906,0.08
500.64,491.4864807128906,0.02
543.83,502.0690612792969,0.08
508.76,487.979736328125,0.04
468.82,477.7087097167969,0.02
426.07,482.7716369628906,0.13
399.38,477.7523498535156,0.2
401.04,467.7036437988281,0.17
356.57,467.7036437988281,0.31
348.01,468.4143371582031,0.35
338.62,467.7036437988281,0.38
356.49,468.4143371582031,0.31
357.41,465.50811767578125,0.3
392.48,466.3887023925781,0.19
368.23,466.40966796875,0.27
400.77,468.53350830078125,0.17
417.94,470.6659851074219,0.13
429.36,465.8168640136719,0.08
483.56,468.53350830078125,0.03
464.95,468.4143371582031,0.01
437.75,473.9847412109375,0.08
446.41,473.9847412109375,0.06
407.9,470.6659851074219,0.15
427.87,475.5546875,0.11
417.88,480.8135070800781,0.15
499.18,477.96075439453125,0.04
481.21,476.58953857421875,0.01
470.23,467.4078063964844,0.01
463.66,467.4078063964844,0.01
454.35,468.3693542480469,0.03
428.39,465.6280517578125,0.09
395.62,464.47119140625,0.17
370.25,464.0086975097656,0.25
368.84,465.1211242675781,0.26
368.77,465.1211242675781,0.26
349.97,464.0086975097656,0.33
411.51,466.16204833984375,0.13
386.15,465.6280517578125,0.21
393.32,466.5856018066406,0.19
428.98,465.1211242675781,0.08
426.16,466.5856018066406,0.09
454.06,466.5856018066406,0.03
463.46,468.3693542480469,0.01
471.07,479.7770690917969,0.02
472.01,471.6266784667969,0.0
496.01,479.27423095703125,0.03
435.27,470.1799011230469,0.08
436.11,473.4604187011719,0.09
427.55,468.3693542480469,0.1
454.06,470.8148193359375,0.04
464.95,468.99017333984375,0.01
464.95,467.00372314453125,0.0
479.09,467.00372314453125,0.03
465.02,467.00372314453125,0.0
455.03,473.30242919921875,0.04
402.25,466.527099609375,0.16
375.09,468.9919128417969,0.25
367.34,465.60955810546875,0.27
343.4,464.672119140625,0.35
351.38,469.6585388183594,0.34
360.78,470.384765625,0.3
386.22,470.384765625,0.22
395.62,474.13995361328125,0.2
460.93,470.6777648925781,0.02
463.75,474.13995361328125,0.02
482.54,478.2587890625,0.01
