reality,predict,mape,accurary
368.53,585.6509475,0.589154065,0.41
354.89,575.9004804,0.625694109,0.37
357.96,558.998521,0.562280835,0.44
328.38,559.5288524,0.711029258,0.29
337.78,543.6226351,0.613257329,0.39
376.83,543.6226351,0.445210984,0.55
387.35,543.6226351,0.402498545,0.6
446.34,631.1438256,0.415572113,0.58
493.32,678.5120289,0.376993099,0.62
606.02,717.4685328,0.180253316,0.82
762.46,716.5943275,0.063391691,0.94
895.69,732.8505446,0.183769276,0.82
897.37,753.8158404,0.160418651,0.84
867.1,757.7051888,0.130385808,0.87
788.67,757.7051888,0.038927685,0.96
497.74,758.8351131,0.524679938,0.48
510.58,716.4658282,0.397004852,0.6
546.13,700.5730596,0.286465656,0.71
587.48,668.1483293,0.132593571,0.87
513.52,606.5791685,0.182741742,0.82
537.76,625.0096353,0.159242838,0.84
813.09,606.5791685,0.253354482,0.75
560.11,599.0707139,0.067564242,0.93
505.41,589.4152513,0.160824985,0.84
419.52,596.2925249,0.420105778,0.58
395.62,581.1887184,0.469725312,0.53
395.62,581.1887184,0.469725312,0.53
402.65,581.1887184,0.440622801,0.56
384.76,610.0942943,0.589808432,0.41
429.14,610.0942943,0.424204662,0.58
482.99,609.5160359,0.261958979,0.74
572.02,620.0307984,0.083037021,0.92
655.05,668.1483293,0.024813043,0.98
575.37,700.5730596,0.211547729,0.79
630.08,750.9704168,0.186925392,0.81
893.18,766.7874112,0.137388106,0.86
883.68,785.5989552,0.107343627,0.89
858.4,814.6354999,0.055650762,0.94
867.8,823.6187353,0.054737183,0.95
858.11,823.6187353,0.035641608,0.96
809.45,814.6354999,0.002744533,1
889.82,787.8877006,0.113650939,0.89
721.4,678.5120289,0.058327559,0.94
635.52,670.5956363,0.059891269,0.94
609.61,631.7426025,0.03923206,0.96
609.61,651.1800383,0.071207118,0.93
534.48,611.3352672,0.145275853,0.85
453.6,596.9390977,0.312344319,0.69
399.4,596.2925249,0.492916158,0.51
389.41,575.5352704,0.484830334,0.52
390.78,565.7750832,0.445126151,0.55
397.82,542.6656377,0.358652448,0.64
399.34,528.9201748,0.324238427,0.68
436.42,551.4292371,0.261767506,0.74
467.26,532.7196903,0.136547748,0.86
487.72,516.4506977,0.058634457,0.94
473.07,537.7877075,0.135943845,0.86
473.06,528.6676605,0.116679996,0.88
731.92,540.9774663,0.264071546,0.74
760.11,546.153343,0.278988517,0.72
542.58,546.153343,0.002903993,1
610.72,537.3507709,0.116044816,0.88
521.29,545.487878,0.042561414,0.96
527.45,536.6960315,0.015551571,0.98
518.16,527.5944977,0.01849698,0.98
527.55,527.5944977,0.001670611,1
592.49,514.2307796,0.1283156,0.87
574.54,506.0445626,0.116068109,0.88
552.88,493.2266942,0.112219815,0.89
523.5,506.0445626,0.032824457,0.97
496.4,493.2266942,0.008990448,0.99
446.28,506.6619089,0.13637564,0.86
422.32,515.4023346,0.215247583,0.78
414.41,515.4023346,0.239797212,0.76
381.05,507.0738914,0.334633517,0.67
387.86,507.0738914,0.308206003,0.69
388.99,524.9108968,0.354223907,0.65
417.23,507.6924934,0.221251236,0.78
425.22,524.9108968,0.23766746,0.76
481.04,517.0106963,0.070433347,0.93
481.04,508.2429953,0.052280454,0.95
455.67,539.0276248,0.185028496,0.81
489.03,542.6656377,0.112370542,0.89
226.35,584.3297577,1.586913528,-0.59
490.44,578.0868505,0.173187165,0.83
491.54,578.7920844,0.174618388,0.83
491.93,564.1315557,0.144865862,0.86
454.26,595.7273481,0.309680341,0.69
456.29,595.7273481,0.309680341,0.69
500.64,595.7273481,0.185047778,0.81
543.83,605.3478501,0.111603149,0.89
508.76,578.0868505,0.138514244,0.86
468.82,543.1007838,0.158695621,0.84
426.07,563.4441851,0.328523637,0.67
399.38,565.1622655,0.414976447,0.59
401.04,528.9201748,0.324238427,0.68
356.57,528.9201748,0.478218316,0.52
348.01,509.2710644,0.46664931,0.53
338.62,528.9201748,0.569626232,0.43
356.49,509.2710644,0.423303272,0.58
357.41,483.0822307,0.350111105,0.65
392.48,509.8232781,0.302211733,0.7
368.23,530.3892633,0.438514805,0.56
400.77,529.8865508,0.326657908,0.67
417.94,539.0276248,0.283726045,0.72
429.36,497.8175871,0.162105817,0.84
483.56,529.8865508,0.097091875,0.9
464.95,509.2710644,0.097440245,0.9
437.75,542.0778509,0.240369883,0.76
446.41,542.0778509,0.215808913,0.78
407.9,539.0276248,0.322821323,0.68
427.87,538.4437786,0.256943635,0.74
417.88,541.4173518,0.28941732,0.71
499.18,528.6676605,0.06221887,0.94
481.21,524.9108968,0.086790142,0.91
470.23,492.9475097,0.051694526,0.95
463.66,492.9475097,0.062264231,0.94
454.35,486.3183031,0.069149373,0.93
428.39,470.3658343,0.098022421,0.9
395.62,470.8120784,0.190601963,0.81
370.25,458.886632,0.244586306,0.76
368.84,478.9340586,0.298958674,0.7
368.77,478.9340586,0.298958674,0.7
349.97,458.886632,0.308397611,0.69
411.51,486.7796816,0.182713792,0.82
386.15,470.3658343,0.213502447,0.79
393.32,478.4801163,0.222153731,0.78
428.98,478.9340586,0.118024091,0.88
426.16,478.4801163,0.128190087,0.87
454.06,478.4801163,0.051917465,0.95
463.46,486.3183031,0.047978797,0.95
471.07,498.4161943,0.052781237,0.95
472.01,485.7915488,0.026114788,0.97
496.01,499.8701979,0.004357929,1
435.27,492.413575,0.126729246,0.87
436.11,500.4800118,0.145186678,0.85
427.55,486.3183031,0.135261878,0.86
454.06,493.0183866,0.083879212,0.92
464.95,477.9618519,0.029971283,0.97
464.95,460.929397,0.006732356,0.99
479.09,460.929397,0.036087851,0.96
465.02,460.929397,0.006732356,0.99
455.03,466.7103329,0.026042114,0.97
402.25,444.6839313,0.102261263,0.9
375.09,444.2022731,0.180903743,0.82
367.34,418.965124,0.136311715,0.86
343.4,412.2124953,0.199061277,0.8
351.38,424.2772192,0.209717741,0.79
360.78,418.0013846,0.15660009,0.84
386.22,418.0013846,0.078406776,0.92
395.62,417.5486276,0.055907948,0.94
460.93,410.8188292,0.105819558,0.89
463.75,417.5486276,0.100214601,0.9
482.54,423.3012605,0.123585279,0.88
565.87,453.7132838,0.199512639,0.8
572.18,448.8604065,0.21595437,0.78
539.47,436.0375639,0.191254991,0.81
521.51,418.0013846,0.201096611,0.8
483.93,418.0013846,0.13455829,0.87
475.37,418.0013846,0.117075208,0.88
516.43,392.1228487,0.243024825,0.76
532.06,398.5463803,0.253362974,0.75
543.48,371.0484248,0.318642005,0.68
551.83,381.1555729,0.307046499,0.69
545.4,352.1063658,0.353425398,0.65
514.86,359.3149093,0.29938784,0.7
494.89,350.2136333,0.289265723,0.71
466.37,340.5563875,0.266126997,0.73
413.6,346.4313265,0.158286339,0.84
386.5,340.5563875,0.121394499,0.88
396.48,340.5563875,0.138792053,0.86
376.58,331.930256,0.117569393,0.88
337.78,340.5563875,0.010636888,0.99
376.83,358.8770992,0.045931696,0.95
440.01,358.8770992,0.18699662,0.81
505.19,385.0555282,0.234030132,0.77
520.13,391.698122,0.24384474,0.76
518.72,450.9275018,0.129505139,0.87
545.5,450.3780656,0.172968607,0.83
529.13,474.028501,0.103029721,0.9
538.83,465.484976,0.136637111,0.86
518.63,479.6893929,0.073981627,0.93
501.88,510.9531763,0.016411162,0.98
509.32,489.5654798,0.035824337,0.96
527.55,466.7796737,0.116746159,0.88
529.23,465.9897115,0.118240948,0.88
544.67,465.484976,0.145227715,0.85
538.63,441.6620871,0.180822851,0.82
529.13,442.3207136,0.163028103,0.84
519.83,427.7149778,0.174315852,0.83
483.09,401.3398696,0.169054755,0.83
447.18,378.127916,0.151909103,0.85
426.53,378.127916,0.117297857,0.88
434.25,378.589211,0.125014758,0.87
397.91,378.589211,0.052139803,0.95
387.93,342.7773395,0.115664638,0.88
397.91,319.4732402,0.200146334,0.8
426.35,319.4732402,0.254221385,0.75
425.01,319.4732402,0.246726185,0.75
489.27,381.2173794,0.218570417,0.78
530.07,415.9455129,0.212936011,0.79
537.78,466.7796737,0.134235757,0.87
630.08,487.1719243,0.230013974,0.77
893.18,508.3435389,0.428129392,0.57
552.4,522.3691799,0.050315468,0.95
544.41,502.6909702,0.07690617,0.92
528.99,543.7296932,0.028860867,0.97
507.15,522.3691799,0.028780972,0.97
541.1,523.8200729,0.028439509,0.97
559.14,523.1109511,0.06779862,0.93
569.05,504.8805157,0.109238177,0.89
579.12,469.6974796,0.187720814,0.81
551.08,469.6974796,0.14607437,0.85
569.05,452.125949,0.202313177,0.8
577.04,452.125949,0.218108434,0.78
531.11,452.7388444,0.143314618,0.86
463.23,453.2911607,0.023192172,0.98
471.21,337.7983348,0.286484362,0.71
423.29,417.2485778,0.016185431,0.98
419.35,417.3565709,0.006040739,0.99
429.35,417.3565709,0.025722451,0.97
457.24,417.8657227,0.090481424,0.91
469.22,417.8657227,0.108491098,0.89
559.07,453.8441507,0.191234397,0.81
581.03,453.8441507,0.215137033,0.78
581.03,524.9228938,0.092215821,0.91
577.04,537.8353943,0.069885373,0.93
565.06,560.207665,0.011624363,0.99
559.14,572.2432195,0.019756741,0.98
543.09,558.2777161,0.025168037,0.97
531.19,571.3137359,0.070299492,0.93
525.12,552.9664555,0.056854814,0.94
561.06,570.0767725,0.01589606,0.98
553.08,557.8600227,0.004116525,1
583.03,546.4469589,0.064395798,0.94
543.09,513.5902106,0.056891843,0.94
535.98,492.092132,0.078114308,0.92
567.05,469.6974796,0.171311686,0.83
525.19,467.9192589,0.105691283,0.89
461.23,439.4515251,0.043498177,0.96
435.27,439.4515251,0.00554272,0.99
419.3,417.3565709,0.006040739,0.99
401.33,402.7013792,0.008228966,0.99
407.32,380.2854462,0.066745981,0.93
427.35,380.2854462,0.112261317,0.89
443.26,291.7250656,0.339123436,0.66
451.25,291.7250656,0.352209668,0.65
497.17,417.7575978,0.160625784,0.84
525.2,469.0935982,0.103446832,0.9
521.13,521.5207058,0.003245743,1
543.09,579.9111681,0.064893648,0.94
493.18,595.5061834,0.208538493,0.79
463.23,599.5253821,0.291931406,0.71
443.33,609.8677958,0.381599941,0.62
435.88,602.2930872,0.37815298,0.62
451.64,618.6575912,0.373760617,0.63
452.81,602.2930872,0.324114829,0.68
467.22,598.2553339,0.276366849,0.72
465.28,571.3137359,0.231137463,0.77
472.53,558.7676181,0.18025873,0.82
463.23,536.4528566,0.156014931,0.84
473.21,526.9516459,0.113055338,0.89
407.39,514.7743384,0.26330162,0.74
366.11,493.2266942,0.351167312,0.65
342.68,506.0445626,0.472003994,0.53
341.43,493.2266942,0.449137996,0.55
324.92,506.0445626,0.563027638,0.44
320.23,493.2266942,0.538747685,0.46
343.48,504.8805157,0.468617965,0.53
357.4,505.4279686,0.412562644,0.59
369.38,493.2266942,0.337722972,0.66
407.32,506.6619089,0.243393002,0.76
417.3,540.3183079,0.299732436,0.7
457.24,562.7938601,0.224966401,0.78
483.19,561.0069766,0.161524471,0.84
445.26,604.581965,0.355997373,0.64
417.42,631.9784643,0.520220391,0.48
417.3,639.2657586,0.537749933,0.46
389.35,638.6598511,0.647686196,0.35
403.33,632.4220563,0.567617549,0.43
411.31,600.0078801,0.457820903,0.54
459.23,582.9509299,0.268839895,0.73
471.21,603.0278513,0.273747552,0.73
473.21,572.7861165,0.209869348,0.79
463.3,546.5358874,0.177743092,0.82
