reality,predict,mape
370.18,457.1387023925781,0.23
343.4,461.1075439453125,0.34
354.27,457.1387023925781,0.29
354.27,456.60400390625,0.29
389.04,456.60400390625,0.17
389.04,458.1151123046875,0.18
389.04,458.1151123046875,0.18
415.82,455.4737548828125,0.1
444.55,460.2150573730469,0.04
470.83,464.0196228027344,0.01
472.74,473.0096130371094,0.0
473.06,469.4310607910156,0.01
480.68,475.7512512207031,0.01
465.07,471.65765380859375,0.01
462.09,473.3804931640625,0.02
455.23,473.7225036621094,0.04
464.11,469.18212890625,0.01
494.84,469.18212890625,0.05
536.17,460.80889892578125,0.14
536.86,459.71966552734375,0.14
503.14,454.1994934082031,0.1
487.17,454.1994934082031,0.07
441.89,454.1368713378906,0.03
405.02,453.635009765625,0.12
373.06,453.8324890136719,0.22
338.3,453.8324890136719,0.34
355.68,453.7754821777344,0.28
355.68,453.7140197753906,0.28
374.41,453.89752197265625,0.21
382.4,454.02325439453125,0.19
398.37,453.7381286621094,0.14
443.94,454.02325439453125,0.02
488.18,454.0296630859375,0.07
486.77,458.25970458984375,0.06
478.78,459.4058837890625,0.04
467.98,486.3648986816406,0.04
467.98,484.63458251953125,0.04
457.17,489.8887634277344,0.07
463.19,491.5737609863281,0.06
431.33,484.3199768066406,0.12
440.73,481.7530212402344,0.09
457.17,479.6907043457031,0.05
517.31,481.2953186035156,0.07
503.06,463.8360900878906,0.08
506.1,468.6389465332031,0.07
467.78,473.8939208984375,0.01
436.31,460.673095703125,0.06
430.39,456.3191223144531,0.06
380.98,454.6654357910156,0.19
373.0,454.0649108886719,0.22
363.54,454.0649108886719,0.25
355.62,453.5461120605469,0.28
355.68,453.72100830078125,0.28
391.86,453.72100830078125,0.16
397.03,453.72100830078125,0.14
457.17,454.28326416015625,0.01
485.36,454.0199279785156,0.06
485.36,455.5523376464844,0.06
467.89,464.5863342285156,0.01
502.66,477.33685302734375,0.05
477.29,482.6952209472656,0.01
459.91,494.3539733886719,0.07
450.59,493.7024230957031,0.1
433.21,498.8875732421875,0.15
430.32,495.72088623046875,0.15
506.43,490.4818420410156,0.03
525.22,493.0959777832031,0.06
515.9,489.6993103027344,0.05
499.93,482.7008972167969,0.03
489.47,478.162841796875,0.02
462.25,475.59442138671875,0.03
444.4,459.67022705078125,0.03
386.97,472.9743957519531,0.22
361.88,467.7799377441406,0.29
