reality,predict,mape,accurary
370.18,223.1378013,0.397218107,0.6
343.4,222.3175498,0.352598865,0.65
354.27,223.1378013,0.370147624,0.63
354.27,172.8655306,0.512051456,0.49
389.04,172.8655306,0.555661293,0.44
389.04,173.0329008,0.55523108,0.44
389.04,173.0329008,0.55523108,0.44
415.82,173.8228163,0.581975816,0.42
444.55,223.5700991,0.497086719,0.5
470.83,266.266411,0.434474415,0.57
472.74,290.9178026,0.384613524,0.62
473.06,327.5859732,0.307517074,0.69
480.68,350.3255077,0.271187676,0.73
465.07,382.0842252,0.17843717,0.82
462.09,413.3161736,0.105550491,0.89
455.23,382.4541631,0.159866083,0.84
464.11,384.6838922,0.171136385,0.83
494.84,384.6838922,0.222609546,0.78
536.17,353.6341337,0.340444013,0.66
536.86,331.3204824,0.382854967,0.62
503.14,338.098172,0.328023667,0.67
487.17,338.098172,0.305995501,0.69
441.89,301.3611231,0.31801778,0.68
405.02,329.7757103,0.185779195,0.81
373.06,306.9302859,0.177262945,0.82
338.3,306.9302859,0.092727503,0.91
355.68,279.6186553,0.213847685,0.79
355.68,234.7812863,0.339908664,0.66
374.41,178.4319522,0.52343166,0.48
382.4,178.5855081,0.532987688,0.47
398.37,181.8857737,0.543425023,0.46
443.94,178.5855081,0.597726026,0.4
488.18,301.1019992,0.383215209,0.62
486.77,331.0000048,0.320007386,0.68
478.78,387.3025399,0.191063662,0.81
467.98,427.2646779,0.08700227,0.91
467.98,430.5556932,0.079969885,0.92
457.17,428.1845154,0.063401983,0.94
463.19,454.5461942,0.018661469,0.98
431.33,426.8055005,0.010489647,0.99
440.73,426.3009752,0.032738921,0.97
457.17,425.8886254,0.068423944,0.93
517.31,405.4949724,0.216147045,0.78
503.06,381.0584963,0.242518792,0.76
506.1,409.332899,0.191201543,0.81
467.78,407.0786005,0.129764846,0.87
436.31,380.6899084,0.127478379,0.87
430.39,382.5389737,0.111180618,0.89
380.98,352.0028254,0.076059569,0.92
373,355.0856019,0.048027877,0.95
363.54,355.0856019,0.023255758,0.98
355.62,366.1959107,0.029739359,0.97
355.68,359.55139,0.010884475,0.99
391.86,359.55139,0.08244937,0.92
397.03,359.55139,0.094397426,0.91
457.17,351.7001574,0.230701583,0.77
485.36,385.2258556,0.206309017,0.79
485.36,410.1727634,0.154910245,0.85
467.89,452.8562312,0.03213099,0.97
502.66,476.3696505,0.05230245,0.95
477.29,474.159436,0.00655904,0.99
459.91,488.7693783,0.062750056,0.94
450.59,473.1996772,0.050177938,0.95
433.21,489.7689602,0.130557836,0.87
430.32,473.657834,0.100710713,0.9
506.43,475.589164,0.060898517,0.94
525.22,343.0714811,0.346804232,0.65
515.9,322.6720248,0.374545406,0.63
499.93,288.8115367,0.422296048,0.58
489.47,289.7364084,0.408060947,0.59
462.25,291.1994722,0.370039,0.63
444.4,267.7409272,0.397522666,0.6
386.97,292.8401061,0.243248556,0.76
361.88,294.4617807,0.186299932,0.81
358.58,268.4904975,0.251239619,0.75
349.88,267.0118533,0.236847338,0.76
364.68,226.7518628,0.378216895,0.62
395.77,225.4375492,0.430382421,0.57
421.25,225.4375492,0.464836678,0.54
457.4,177.0704711,0.612876102,0.39
480.16,270.0558121,0.437571201,0.56
529.43,296.8161378,0.439366606,0.56
489.84,295.0957133,0.397567138,0.6
486.77,294.8102749,0.394354059,0.61
488.18,331.104586,0.321757167,0.68
486.77,331.104586,0.319792539,0.68
467.98,295.0957133,0.369426656,0.63
458.5,297.1354666,0.351940095,0.65
494.67,295.0957133,0.403449343,0.6
518.63,295.4131911,0.430397025,0.57
567.95,268.8082548,0.526704367,0.47
510.73,267.3278606,0.476576938,0.52
545.5,268.8082548,0.507225931,0.49
491.94,268.8082548,0.453575121,0.55
474.56,270.375422,0.430260827,0.57
411.6,227.0202226,0.448444552,0.55
395.56,227.0202226,0.42607892,0.57
386.15,225.4375492,0.416191767,0.58
352.8,226.7518628,0.3572793,0.64
358.22,226.7518628,0.3670039,0.63
