le_accurary,le_accurary_frequency,le_frequency_probability,le_probability_log,le_self_entrocy,gru_accurary,gru_accurary_frequency,gru_frequency_probability,gru_probability_log,gru_self_entrocy,mul_accurary_multiply,mul_accurary_division,multiply_add_division,mul_frequency,mul_probability,mul_division_single,mul_division_single_log,mutual_information
0.48,26,6.688102893890676e-05,-13.86804343153896,0.000927509014070773,-0.48,1,2.370623236848968e-06,-18.6863021758087,4.429818214875353e-05,-0.2304,-1.0,-1.2304,1,6.13195977434388e-05,0.9948633044659532,-0.007429783820941044,4.555913552208145e-07
0.39,14,3.60128617363344e-05,-14.761128227622448,0.0005315904699336702,-0.59,1,2.370623236848968e-06,-18.6863021758087,4.429818214875353e-05,-0.2301,-1.5128205128205128,-1.7429205128205127,1,6.13195977434388e-05,1.8476032797224848,0.8856550122625473,-5.4308009091399755e-05
0.29,5,1.2861736334405144e-05,-16.24655505479269,0.0002089589074571407,-0.75,1,2.370623236848968e-06,-18.6863021758087,4.429818214875353e-05,-0.21749999999999997,-2.586206896551724,-2.803706896551724,1,6.13195977434388e-05,5.173289183222957,2.371081839432789,-0.00014539378461079155
0.35,7,1.80064308681672e-05,-15.761128227622448,0.0002838016658350023,-0.73,1,2.370623236848968e-06,-18.6863021758087,4.429818214875353e-05,-0.2555,-2.085714285714286,-2.341214285714286,1,6.13195977434388e-05,3.6952065594449697,1.8856550122625473,-0.00011562760683483856
0.48,26,6.688102893890676e-05,-13.86804343153896,0.000927509014070773,-0.5,1,2.370623236848968e-06,-18.6863021758087,4.429818214875353e-05,-0.24,-1.0416666666666667,-1.2816666666666667,1,6.13195977434388e-05,0.9948633044659532,-0.007429783820941044,4.555913552208145e-07
0.89,111,0.00028553054662379423,-11.774067283329947,0.001713272908969853,0.29,8,1.8964985894791742e-05,-15.686302175808699,0.000297490499505653,0.2581,0.32584269662921345,0.5839426966292134,1,6.13195977434388e-05,0.029128880536165296,-5.101405932029955,0.0003128161596780693
0.81,117,0.0003009646302250804,-11.698118430096647,0.0017942333762944328,0.69,53,0.00012564303155299529,-12.9583817212455,0.0016281303634782056,0.5589,0.8518518518518517,1.4107518518518516,1,6.13195977434388e-05,0.00417133460992014,-7.9052752398264525,0.0004847482977573247
0.78,126,0.0003241157556270096,-11.591203226180136,0.0019145914759212065,0.75,76,0.00018016736600052154,-12.438374662365113,0.001098933669753801,0.585,0.9615384615384615,1.5465384615384614,6,0.0003679175864606328,0.016207046313355133,-5.947235001902194,0.0021880923480140525
0.78,126,0.0003241157556270096,-11.591203226180136,0.0019145914759212065,0.75,76,0.00018016736600052154,-12.438374662365113,0.001098933669753801,0.585,0.9615384615384615,1.5465384615384614,6,0.0003679175864606328,0.016207046313355133,-5.947235001902194,0.0021880923480140525
0.78,126,0.0003241157556270096,-11.591203226180136,0.0019145914759212065,0.7,52,0.0001232724083161463,-12.985862457667606,0.0007849977202243093,0.5459999999999999,0.8974358974358974,1.4434358974358972,2,0.0001226391954868776,0.00789574051163455,-6.9847097073208575,0.0008565991792152143
0.79,116,0.0002983922829581994,-11.71050215455248,0.001780781204407723,0.63,31,7.3489320342318e-05,-13.732105865421824,0.0010091631269186082,0.49770000000000003,0.7974683544303797,1.2951683544303796,3,0.0001839587932303164,0.02157934865081879,-5.53420487047314,0.0010180656494615783
0.77,119,0.0003061093247588424,-11.67366538637211,0.0018210893625847109,0.64,46,0.00010904866889505251,-13.162740219751687,0.0014353792999752923,0.4928,0.8311688311688311,1.3239688311688311,2,0.0001226391954868776,0.00945065616226335,-6.725369785044805,0.0008247939397896497
0.68,60,0.00015434083601286174,-12.661592554071534,0.0019542007800496257,0.78,101,0.00023943294692174572,-12.028090693056905,0.0014122523986722548,0.5304000000000001,1.1470588235294117,1.677458823529412,2,0.0001226391954868776,0.00853678083040092,-6.872092144040161,0.0008427878518567772
0.67,59,0.0001517684887459807,-12.685840100318211,0.0019253107804984553,0.8,97,0.00022995045397434984,-12.086389333621572,0.001362895530614167,0.536,1.1940298507462686,1.7300298507462686,2,0.0001226391954868776,0.009039470877551909,-6.7895459572288175,0.0008326644539157244
0.69,82,0.00021093247588424438,-12.210931145061968,0.0025756819392799522,0.84,132,0.00031292226726406373,-11.641908056450246,0.0017864561043536135,0.5795999999999999,1.2173913043478262,1.796991304347826,4,0.0002452783909737552,0.009558923102777084,-6.708936189656385,0.0016455570737445144
0.69,82,0.00021093247588424438,-12.210931145061968,0.0025756819392799522,0.86,141,0.00033425787639570446,-11.546750823409905,0.0018926624233012504,0.5933999999999999,1.2463768115942029,1.8397768115942028,2,0.0001226391954868776,0.004474389537470124,-7.8040934226967265,0.0009570877388639595
