power,temperature,humidity,speed
832.77,0.87 ,0.61 ,0.23 
790.68,0.85 ,0.66 ,0.23 
792.68,0.85 ,0.70 ,0.31 
778.7,0.82 ,0.76 ,0.23 
777.6,0.82 ,0.76 ,0.23 
716.87,0.82 ,0.76 ,0.15 
1030.5,0.82 ,0.82 ,0.08 
1071.45,0.87 ,0.71 ,0.15 
1120.13,0.90 ,0.66 ,0.31 
1134.11,0.95 ,0.57 ,0.23 
1213.98,0.97 ,0.53 ,0.23 
1293.84,1.00 ,0.43 ,0.23 
1315.89,1.03 ,0.36 ,0.15 
1319.8,1.05 ,0.30 ,0.15 
1317.8,1.03 ,0.33 ,0.15 
1312.1,1.00 ,0.49 ,0.38 
1323.79,0.97 ,0.53 ,0.54 
1323.79,0.90 ,0.76 ,0.38 
1377.7,0.87 ,0.82 ,0.38 
1377.7,0.85 ,0.82 ,0.31 
1373.71,0.85 ,0.82 ,0.31 
1341.86,0.85 ,0.76 ,0.31 
1271.88,0.85 ,0.70 ,0.31 
1104.38,0.85 ,0.76 ,0.23 
1014.31,0.85 ,0.70 ,0.31 
962.4,0.85 ,0.70 ,0.31 
964.39,0.82 ,0.76 ,0.31 
952.41,0.82 ,0.76 ,0.23 
926.46,0.82 ,0.76 ,0.23 
968.39,0.79 ,0.87 ,0.23 
1006.4,0.82 ,0.82 ,0.23 
1182.03,0.85 ,0.76 ,0.23 
1320.08,0.90 ,0.66 ,0.31 
1317.8,0.95 ,0.62 ,0.31 
1381.7,1.00 ,0.49 ,0.31 
1358.59,1.03 ,0.46 ,0.31 
1377.7,1.03 ,0.46 ,0.31 
1401.66,1.05 ,0.36 ,0.38 
1333.28,1.03 ,0.46 ,0.31 
1351.75,1.03 ,0.43 ,0.31 
1377.7,1.03 ,0.43 ,0.31 
1433.61,1.00 ,0.43 ,0.38 
1425.62,1.00 ,0.43 ,0.38 
1399.67,0.92 ,0.57 ,0.46 
1345.76,0.90 ,0.61 ,0.46 
1198.1,0.87 ,0.61 ,0.38 
1074.21,0.87 ,0.61 ,0.38 
864.72,0.85 ,0.70 ,0.38 
830.62,0.82 ,0.76 ,0.38 
796.67,0.82 ,0.76 ,0.31 
818.64,0.82 ,0.76 ,0.31 
802.66,0.82 ,0.76 ,0.23 
928.45,0.82 ,0.76 ,0.23 
958.4,0.82 ,0.76 ,0.31 
1008.39,0.82 ,0.76 ,0.31 
1168.29,0.85 ,0.70 ,0.31 
1307.82,0.90 ,0.66 ,0.38 
1311.81,0.95 ,0.57 ,0.31 
1363.73,1.00 ,0.54 ,0.31 
1409.65,1.03 ,0.49 ,0.23 
1453.58,1.03 ,0.46 ,0.15 
1415.64,1.05 ,0.43 ,0.31 
1375.71,1.05 ,0.43 ,0.38 
1359.82,1.05 ,0.43 ,0.38 
1389.98,1.03 ,0.43 ,0.46 
1471.45,1.00 ,0.43 ,0.46 
1451.58,0.97 ,0.49 ,0.38 
1441.6,0.95 ,0.53 ,0.38 
1415.29,0.92 ,0.53 ,0.46 
1293.94,0.90 ,0.56 ,0.38 
1180.27,0.87 ,0.61 ,0.38 
1122.13,0.87 ,0.66 ,0.38 
1044.26,0.85 ,0.70 ,0.46 
990.35,0.85 ,0.70 ,0.46 
978.37,0.82 ,0.70 ,0.38 
940.43,0.82 ,0.70 ,0.31 
948.42,0.82 ,0.70 ,0.31 
974.45,0.79 ,0.76 ,0.31 
1102.4,0.82 ,0.70 ,0.23 
1267.89,0.85 ,0.70 ,0.31 
1313.81,0.90 ,0.61 ,0.31 
1329.78,0.95 ,0.53 ,0.23 
1415.64,0.97 ,0.46 ,0.23 
1399.67,1.03 ,0.33 ,0.31 
1433.61,1.05 ,0.33 ,0.31 
1445.59,1.08 ,0.28 ,0.31 
1381.7,1.05 ,0.30 ,0.31 
