power,temperature,humidity,speed
557.07,0.19 ,0.81 ,0.31 
507.15,0.19 ,0.81 ,0.23 
485.25,0.19 ,0.81 ,0.15 
485.19,0.19 ,0.90 ,0.23 
487.19,0.14 ,1.00 ,0.15 
543.09,0.14 ,1.00 ,0.15 
1018.3,0.05 ,1.00 ,0.38 
1004.52,0.05 ,0.90 ,0.15 
1021.18,0.05 ,0.90 ,0.15 
681.69,0.10 ,0.90 ,0.15 
936.44,0.14 ,0.81 ,0.08 
1166.15,0.19 ,0.73 ,0.15 
1106.16,0.29 ,0.65 ,0.15 
991.44,0.38 ,0.59 ,0.08 
676.87,0.38 ,0.51 ,0.08 
676.87,0.48 ,0.40 ,0.15 
1005.46,0.43 ,0.52 ,0.23 
1281.95,0.43 ,0.52 ,0.23 
1194.01,0.38 ,0.59 ,0.23 
1064.23,0.29 ,0.73 ,0.31 
712.81,0.24 ,0.81 ,0.31 
708.93,0.24 ,0.73 ,0.23 
1098.17,0.24 ,0.73 ,0.31 
956.41,0.19 ,0.81 ,0.23 
790.68,0.19 ,0.81 ,0.15 
483.19,0.19 ,0.81 ,0.08 
461.29,0.19 ,0.81 ,0.08 
399.33,0.19 ,0.81 ,0.00 
429.28,0.19 ,0.81 ,0.00 
946.62,0.19 ,0.81 ,0.08 
880.53,0.19 ,0.90 ,0.08 
944.43,0.24 ,0.81 ,0.08 
972.38,0.29 ,0.65 ,0.08 
656.91,0.38 ,0.51 ,0.08 
952.41,0.43 ,0.44 ,0.15 
1114.23,0.48 ,0.40 ,0.08 
1064.23,0.48 ,0.33 ,0.08 
770.72,0.52 ,0.33 ,0.08 
816.79,0.48 ,0.40 ,0.15 
838.6,0.52 ,0.40 ,0.15 
858.57,0.52 ,0.40 ,0.15 
892.51,0.48 ,0.40 ,0.15 
910.48,0.43 ,0.52 ,0.31 
889.1,0.38 ,0.51 ,0.31 
882.69,0.33 ,0.59 ,0.31 
858.65,0.33 ,0.59 ,0.23 
818.64,0.29 ,0.65 ,0.15 
761.66,0.29 ,0.73 ,0.15 
726.79,0.24 ,0.73 ,0.15 
708.82,0.24 ,0.73 ,0.15 
708.82,0.24 ,0.73 ,0.15 
686.86,0.24 ,0.81 ,0.15 
700.89,0.24 ,0.73 ,0.15 
728.92,0.24 ,0.73 ,0.08 
766.72,0.24 ,0.73 ,0.15 
776.71,0.29 ,0.65 ,0.15 
822.63,0.38 ,0.44 ,0.15 
866.56,0.43 ,0.44 ,0.23 
876.54,0.52 ,0.33 ,0.31 
896.51,0.52 ,0.29 ,0.31 
892.51,0.52 ,0.29 ,0.31 
880.78,0.52 ,0.29 ,0.31 
834.61,0.48 ,0.33 ,0.38 
822.63,0.48 ,0.40 ,0.31 
852.58,0.43 ,0.44 ,0.38 
850.58,0.43 ,0.44 ,0.38 
890.52,0.38 ,0.51 ,0.38 
890.52,0.38 ,0.51 ,0.38 
852.58,0.33 ,0.59 ,0.31 
864.71,0.33 ,0.59 ,0.23 
780.77,0.33 ,0.59 ,0.23 
740.77,0.29 ,0.73 ,0.23 
728.79,0.29 ,0.65 ,0.23 
708.82,0.29 ,0.73 ,0.15 
704.36,0.29 ,0.73 ,0.15 
686.99,0.24 ,0.90 ,0.23 
686.86,0.24 ,0.90 ,0.23 
720.8,0.24 ,0.90 ,0.23 
730.2,0.19 ,0.57 ,0.31 
776.71,0.19 ,0.81 ,0.15 
804.66,0.19 ,0.73 ,0.15 
796.67,0.19 ,0.73 ,0.15 
832.61,0.24 ,0.73 ,0.31 
852.74,0.24 ,0.57 ,0.31 
840.6,0.24 ,0.44 ,0.31 
816.64,0.24 ,0.51 ,0.23 
790.76,0.24 ,0.44 ,0.31 
808.65,0.19 ,0.51 ,0.31 
824.63,0.19 ,0.51 ,0.31 
832.61,0.14 ,0.57 ,0.23 
858.57,0.14 ,0.57 ,0.23 
890.68,0.14 ,0.65 ,0.15 
858.57,0.14 ,0.65 ,0.15 
828.62,0.10 ,0.81 ,0.15 
792.68,0.10 ,0.81 ,0.08 
740.83,0.10 ,0.81 ,0.00 
716.81,0.14 ,0.73 ,0.00 
686.86,0.14 ,0.73 ,0.23 
664.89,0.14 ,0.73 ,0.08 
666.89,0.14 ,0.73 ,0.08 
675.01,0.14 ,0.81 ,0.08 
702.83,0.14 ,0.81 ,0.15 
714.81,0.14 ,0.73 ,0.15 
772.79,0.19 ,0.65 ,0.15 
606.99,0.19 ,0.73 ,0.23 
545.8,0.19 ,0.73 ,0.23 
559.15,0.24 ,0.57 ,0.38 
549.08,0.19 ,0.73 ,0.31 
659.09,0.24 ,0.65 ,0.38 
824.7,0.24 ,0.57 ,0.31 
786.69,0.29 ,0.51 ,0.31 
790.68,0.24 ,0.57 ,0.38 
828.62,0.24 ,0.57 ,0.31 
850.58,0.19 ,0.65 ,0.31 
585.11,0.14 ,0.73 ,0.15 
581.03,0.10 ,0.81 ,0.23 
624.96,0.10 ,0.81 ,0.15 
579.03,0.10 ,0.81 ,0.15 
513.22,0.05 ,0.81 ,0.31 
720.8,0.00 ,0.81 ,0.15 
680.87,0.00 ,0.90 ,0.08 
465.22,0.00 ,0.90 ,0.15 
421.3,0.05 ,0.81 ,0.15 
379.42,0.00 ,0.90 ,0.15 
379.37,0.00 ,0.90 ,0.15 
595.01,0.00 ,0.90 ,0.00 
722.8,0.05 ,0.90 ,0.15 
758.8,0.05 ,0.90 ,0.08 
547.09,0.10 ,0.81 ,0.08 
565.06,0.14 ,0.81 ,0.23 
636.94,0.14 ,0.81 ,0.15 
906.49,0.14 ,0.81 ,0.31 
890.69,0.14 ,0.65 ,0.38 
868.55,0.10 ,0.65 ,0.54 
840.6,0.10 ,0.49 ,0.46 
850.74,0.00 ,0.90 ,0.31 
890.52,0.00 ,0.81 ,0.46 
910.57,0.00 ,0.73 ,0.38 
916.64,0.00 ,0.81 ,0.31 
925.17,0.00 ,0.81 ,0.31 
924.46,0.00 ,0.81 ,0.31 
910.48,0.00 ,0.90 ,0.31 
830.62,0.00 ,0.90 ,0.38 
758.81,0.05 ,0.81 ,0.38 
672.88,0.00 ,0.90 ,0.31 
652.91,0.05 ,0.90 ,0.31 
652.91,0.05 ,0.90 ,0.38 
647.04,0.05 ,0.90 ,0.38 
668.89,0.05 ,0.90 ,0.38 
690.85,0.05 ,0.90 ,0.38 
754.74,0.05 ,0.90 ,0.46 
758.74,0.05 ,1.00 ,0.38 
812.72,0.10 ,0.90 ,0.46 
660.9,0.14 ,0.81 ,0.31 
682.86,0.19 ,0.73 ,0.46 
690.85,0.19 ,0.73 ,0.54 
834.76,0.19 ,0.73 ,0.54 
912.48,0.19 ,0.73 ,0.46 
786.69,0.24 ,0.65 ,0.54 
664.89,0.24 ,0.65 ,0.38 
810.65,0.19 ,0.73 ,0.31 
972.38,0.19 ,0.81 ,0.31 
950.51,0.14 ,0.90 ,0.31 
814.64,0.14 ,0.81 ,0.23 
720.8,0.14 ,0.90 ,0.31 
806.78,0.14 ,0.90 ,0.23 
931.03,0.14 ,0.90 ,0.15 
698.84,0.14 ,0.90 ,0.15 
525.12,0.14 ,0.90 ,0.15 
477.2,0.14 ,0.90 ,0.15 
