power,temperature,humidity,speed,,
796.67 ,0.70 ,0.80 ,0.25 ,,
758.81 ,0.70 ,0.80 ,0.25 ,,
720.80 ,0.70 ,0.80 ,0.25 ,,
708.82 ,0.70 ,0.80 ,0.17 ,,
726.79 ,0.68 ,0.80 ,0.17 ,,
758.74 ,0.68 ,0.87 ,0.17 ,,
780.70 ,0.68 ,0.87 ,0.17 ,,
830.77 ,0.70 ,0.80 ,0.17 ,,
872.55 ,0.75 ,0.70 ,0.25 ,,
864.56 ,0.78 ,0.66 ,0.33 ,,
900.58 ,0.83 ,0.56 ,0.25 ,,
968.39 ,0.83 ,0.52 ,0.25 ,,
1136.11 ,0.85 ,0.48 ,0.08 ,,
1100.17 ,0.85 ,0.52 ,0.17 ,,
1006.32 ,0.85 ,0.48 ,0.33 ,,
1052.25 ,0.85 ,0.52 ,0.50 ,,
892.68 ,0.83 ,0.52 ,0.50 ,,
892.51 ,0.83 ,0.52 ,0.42 ,,
911.87 ,0.80 ,0.56 ,0.33 ,,
903.33 ,0.78 ,0.66 ,0.33 ,,
926.55 ,0.75 ,0.70 ,0.33 ,,
890.52 ,0.75 ,0.70 ,0.25 ,,
822.63 ,0.73 ,0.80 ,0.17 ,,
768.72 ,0.73 ,0.80 ,0.25 ,,
750.75 ,0.73 ,0.80 ,0.25 ,,
716.94 ,0.73 ,0.87 ,0.17 ,,
712.77 ,0.73 ,0.87 ,0.17 ,,
684.86 ,0.73 ,0.80 ,0.17 ,,
728.79 ,0.73 ,0.80 ,0.17 ,,
742.81 ,0.70 ,0.87 ,0.08 ,,
758.74 ,0.73 ,0.80 ,0.00 ,,
816.79 ,0.73 ,0.87 ,0.25 ,,
884.53 ,0.73 ,0.87 ,0.25 ,,
954.41 ,0.78 ,0.76 ,0.25 ,,
962.40 ,0.80 ,0.70 ,0.17 ,,
1160.14 ,0.85 ,0.61 ,0.25 ,,
1190.02 ,0.85 ,0.56 ,0.42 ,,
1198.00 ,0.88 ,0.48 ,0.50 ,,
1164.06 ,0.88 ,0.48 ,0.42 ,,
1100.17 ,0.85 ,0.48 ,0.25 ,,
946.61 ,0.85 ,0.45 ,0.25 ,,
958.40 ,0.80 ,0.61 ,0.33 ,,
972.38 ,0.78 ,0.66 ,0.33 ,,
920.47 ,0.78 ,0.66 ,0.17 ,,
898.59 ,0.78 ,0.66 ,0.17 ,,
854.58 ,0.75 ,0.76 ,0.17 ,,
796.67 ,0.75 ,0.76 ,0.17 ,,
750.75 ,0.73 ,0.80 ,0.17 ,,
764.47 ,0.70 ,0.55 ,0.42 ,,
724.85 ,0.70 ,0.55 ,0.50 ,,
724.85 ,0.70 ,0.55 ,0.42 ,,
732.78 ,0.70 ,0.55 ,0.50 ,,
724.79 ,0.68 ,0.55 ,0.42 ,,
750.90 ,0.68 ,0.60 ,0.33 ,,
784.75 ,0.68 ,0.60 ,0.42 ,,
864.56 ,0.70 ,0.60 ,0.50 ,,
887.35 ,0.75 ,0.47 ,0.75 ,,
937.36 ,0.75 ,0.47 ,0.67 ,,
954.41 ,0.78 ,0.40 ,0.67 ,,
886.08 ,0.80 ,0.31 ,0.83 ,,
886.16 ,0.80 ,0.31 ,0.75 ,,
882.53 ,0.83 ,0.28 ,0.67 ,,
848.07 ,0.80 ,0.31 ,0.67 ,,
830.25 ,0.80 ,0.31 ,0.67 ,,
866.56 ,0.78 ,0.33 ,0.58 ,,
872.55 ,0.75 ,0.30 ,0.75 ,,
896.58 ,0.73 ,0.33 ,0.67 ,,
752.75 ,0.70 ,0.43 ,0.67 ,,
577.04 ,0.70 ,0.47 ,0.58 ,,
577.62 ,0.68 ,0.51 ,0.42 ,,
555.42 ,0.68 ,0.46 ,0.33 ,,
531.80 ,0.65 ,0.46 ,0.42 ,,
833.96 ,0.65 ,0.51 ,0.42 ,,
498.52 ,0.63 ,0.54 ,0.33 ,,
428.32 ,0.63 ,0.59 ,0.25 ,,
444.29 ,0.60 ,0.63 ,0.25 ,,
604.99 ,0.60 ,0.63 ,0.25 ,,
842.66 ,0.60 ,0.63 ,0.25 ,,
830.52 ,0.60 ,0.63 ,0.25 ,,
831.62 ,0.65 ,0.55 ,0.25 ,,
882.66 ,0.68 ,0.51 ,0.25 ,,
919.71 ,0.75 ,0.30 ,0.50 ,,
910.48 ,0.73 ,0.33 ,0.58 ,,
916.42 ,0.78 ,0.30 ,0.58 ,,
900.67 ,0.78 ,0.25 ,0.50 ,,
927.77 ,0.78 ,0.22 ,0.50 ,,
924.54 ,0.80 ,0.23 ,0.50 ,,
881.46 ,0.78 ,0.25 ,0.42 ,,
849.51 ,0.78 ,0.25 ,0.42 ,,
862.12 ,0.75 ,0.24 ,0.50 ,,
836.48 ,0.73 ,0.22 ,0.42 ,,
606.99 ,0.70 ,0.30 ,0.42 ,,
590.66 ,0.70 ,0.30 ,0.42 ,,
764.68 ,0.70 ,0.36 ,0.25 ,,
971.92 ,0.70 ,0.39 ,0.33 ,,
805.02 ,0.70 ,0.39 ,0.33 ,,
640.66 ,0.70 ,0.43 ,0.17 ,,
435.88 ,0.68 ,0.51 ,0.25 ,,
437.56 ,0.68 ,0.51 ,0.17 ,,
427.26 ,0.68 ,0.51 ,0.08 ,,
443.86 ,0.68 ,0.51 ,0.08 ,,
615.49 ,0.65 ,0.60 ,0.08 ,,
864.29 ,0.65 ,0.60 ,0.00 ,,
837.15 ,0.68 ,0.60 ,0.25 ,,
880.64 ,0.70 ,0.51 ,0.25 ,,
899.06 ,0.70 ,0.51 ,0.17 ,,
878.67 ,0.70 ,0.47 ,0.08 ,,
863.98 ,0.70 ,0.51 ,0.25 ,,
822.39 ,0.68 ,0.60 ,0.25 ,,
566.19 ,0.65 ,0.75 ,0.33 ,,
532.56 ,0.68 ,0.69 ,0.33 ,,
856.90 ,0.68 ,0.69 ,0.33 ,,
908.49 ,0.65 ,0.75 ,0.42 ,,
852.58 ,0.65 ,0.75 ,0.50 ,,
565.14 ,0.63 ,0.80 ,0.42 ,,
591.01 ,0.63 ,0.80 ,0.33 ,,
577.54 ,0.65 ,0.75 ,0.42 ,,
561.06 ,0.65 ,0.75 ,0.33 ,,
824.63 ,0.63 ,0.75 ,0.50 ,,
746.76 ,0.58 ,0.86 ,0.42 ,,
438.05 ,0.58 ,0.86 ,0.50 ,,
421.35 ,0.58 ,0.86 ,0.25 ,,
425.38 ,0.58 ,0.86 ,0.25 ,,
405.32 ,0.58 ,0.93 ,0.17 ,,
437.34 ,0.58 ,0.86 ,0.25 ,,
679.27 ,0.58 ,0.93 ,0.25 ,,
787.72 ,0.58 ,0.93 ,0.25 ,,
509.40 ,0.58 ,0.93 ,0.33 ,,
517.09 ,0.58 ,0.93 ,0.33 ,,
560.38 ,0.60 ,0.86 ,0.33 ,,
911.80 ,0.60 ,0.80 ,0.33 ,,
965.95 ,0.60 ,0.86 ,0.33 ,,
927.69 ,0.60 ,0.86 ,0.33 ,,
911.90 ,0.63 ,0.80 ,0.25 ,,
873.47 ,0.63 ,0.80 ,0.33 ,,
751.56 ,0.63 ,0.80 ,0.17 ,,
554.00 ,0.63 ,0.80 ,0.25 ,,
495.25 ,0.63 ,0.80 ,0.17 ,,
725.91 ,0.60 ,0.86 ,0.33 ,,
879.64 ,0.60 ,0.86 ,0.25 ,,
780.18 ,0.60 ,0.86 ,0.25 ,,
822.11 ,0.60 ,0.86 ,0.08 ,,
748.96 ,0.60 ,0.86 ,0.17 ,,
690.85 ,0.60 ,0.86 ,0.17 ,,
439.27 ,0.60 ,0.86 ,0.25 ,,
419.30 ,0.60 ,0.86 ,0.17 ,,
395.39 ,0.60 ,0.86 ,0.17 ,,
387.35 ,0.60 ,0.86 ,0.17 ,,
409.38 ,0.60 ,0.86 ,0.17 ,,
407.32 ,0.60 ,0.86 ,0.17 ,,
746.53 ,0.60 ,0.93 ,0.17 ,,
779.73 ,0.60 ,0.86 ,0.17 ,,
555.76 ,0.60 ,0.93 ,0.25 ,,
525.49 ,0.63 ,0.80 ,0.25 ,,
565.42 ,0.65 ,0.75 ,0.25 ,,
619.58 ,0.65 ,0.75 ,0.25 ,,
940.92 ,0.70 ,0.64 ,0.25 ,,
899.11 ,0.68 ,0.69 ,0.33 ,,
828.91 ,0.70 ,0.60 ,0.17 ,,
814.62 ,0.70 ,0.55 ,0.33 ,,
838.65 ,0.70 ,0.60 ,0.25 ,,
914.74 ,0.68 ,0.64 ,0.42 ,,
629.32 ,0.68 ,0.64 ,0.25 ,,
580.13 ,0.65 ,0.69 ,0.17 ,,
594.84 ,0.65 ,0.69 ,0.17 ,,
554.87 ,0.65 ,0.69 ,0.17 ,,
693.52 ,0.65 ,0.69 ,0.08 ,,
834.33 ,0.63 ,0.75 ,0.17 ,,
618.04 ,0.65 ,0.75 ,0.17 ,,
416.23 ,0.65 ,0.75 ,0.00 ,,
410.31 ,0.65 ,0.75 ,0.00 ,,
398.33 ,0.65 ,0.75 ,0.17 ,,
427.13 ,0.63 ,0.80 ,0.08 ,,
535.11 ,0.63 ,0.80 ,0.17 ,,
870.55 ,0.65 ,0.80 ,0.17 ,,
762.14 ,0.68 ,0.75 ,0.00 ,,
786.10 ,0.70 ,0.70 ,0.25 ,,
856.24 ,0.73 ,0.64 ,0.17 ,,
868.85 ,0.75 ,0.55 ,0.17 ,,
892.69 ,0.80 ,0.48 ,0.33 ,,
884.53 ,0.78 ,0.47 ,0.25 ,,
886.52 ,0.75 ,0.55 ,0.33 ,,
884.82 ,0.75 ,0.55 ,0.25 ,,
976.37 ,0.73 ,0.64 ,0.33 ,,
972.38 ,0.73 ,0.64 ,0.33 ,,
999.24 ,0.73 ,0.64 ,0.33 ,,
959.64 ,0.73 ,0.60 ,0.25 ,,
1012.18 ,0.70 ,0.64 ,0.25 ,,
980.43 ,0.70 ,0.64 ,0.25 ,,
903.31 ,0.70 ,0.64 ,0.25 ,,
612.85 ,0.70 ,0.64 ,0.25 ,,
525.49 ,0.70 ,0.64 ,0.17 ,,
682.28 ,0.70 ,0.64 ,0.25 ,,
824.77 ,0.68 ,0.69 ,0.17 ,,
452.70 ,0.68 ,0.75 ,0.25 ,,
435.05 ,0.68 ,0.75 ,0.17 ,,
443.10 ,0.68 ,0.75 ,0.17 ,,
523.29 ,0.68 ,0.75 ,0.17 ,,
883.56 ,0.68 ,0.75 ,0.17 ,,
870.14 ,0.70 ,0.75 ,0.25 ,,
895.29 ,0.73 ,0.64 ,0.25 ,,
950.46 ,0.78 ,0.61 ,0.25 ,,
967.48 ,0.80 ,0.52 ,0.17 ,,
1003.53 ,0.85 ,0.48 ,0.17 ,,
984.36 ,0.85 ,0.48 ,0.17 ,,
982.36 ,0.85 ,0.45 ,0.17 ,,
942.43 ,0.85 ,0.45 ,0.25 ,,
583.03 ,0.83 ,0.52 ,0.25 ,,
714.03 ,0.83 ,0.56 ,0.33 ,,
1032.28 ,0.80 ,0.61 ,0.33 ,,
1070.61 ,0.78 ,0.61 ,0.33 ,,
993.04 ,0.75 ,0.66 ,0.33 ,,
970.38 ,0.73 ,0.70 ,0.42 ,,
976.37 ,0.73 ,0.70 ,0.33 ,,
948.42 ,0.73 ,0.70 ,0.42 ,,
878.54 ,0.70 ,0.80 ,0.33 ,,
712.88 ,0.70 ,0.80 ,0.42 ,,
469.22 ,0.70 ,0.80 ,0.33 ,,
415.71 ,0.70 ,0.75 ,0.33 ,,
398.11 ,0.70 ,0.75 ,0.25 ,,
655.31 ,0.70 ,0.80 ,0.25 ,,
907.88 ,0.70 ,0.80 ,0.25 ,,
