power,temperature,humidity,speed
557.07,0.64 ,0.86 ,0.31 
507.15,0.64 ,0.86 ,0.23 
485.25,0.64 ,0.86 ,0.15 
485.19,0.64 ,0.93 ,0.23 
487.19,0.62 ,1.00 ,0.15 
543.09,0.62 ,1.00 ,0.15 
1018.3,0.56 ,1.00 ,0.38 
1004.52,0.56 ,0.93 ,0.15 
1021.18,0.56 ,0.93 ,0.15 
681.69,0.59 ,0.93 ,0.15 
936.44,0.62 ,0.86 ,0.08 
1166.15,0.64 ,0.80 ,0.15 
1106.16,0.69 ,0.75 ,0.15 
991.44,0.74 ,0.70 ,0.08 
676.87,0.74 ,0.64 ,0.08 
676.87,0.79 ,0.56 ,0.15 
1005.46,0.77 ,0.66 ,0.23 
1281.95,0.77 ,0.66 ,0.23 
1194.01,0.74 ,0.70 ,0.23 
1064.23,0.69 ,0.80 ,0.31 
712.81,0.67 ,0.86 ,0.31 
708.93,0.67 ,0.80 ,0.23 
1098.17,0.67 ,0.80 ,0.31 
956.41,0.64 ,0.86 ,0.23 
790.68,0.64 ,0.86 ,0.15 
483.19,0.64 ,0.86 ,0.08 
461.29,0.64 ,0.86 ,0.08 
399.33,0.64 ,0.86 ,0.00 
429.28,0.64 ,0.86 ,0.00 
946.62,0.64 ,0.86 ,0.08 
880.53,0.64 ,0.93 ,0.08 
944.43,0.67 ,0.86 ,0.08 
972.38,0.69 ,0.75 ,0.08 
656.91,0.74 ,0.64 ,0.08 
952.41,0.77 ,0.60 ,0.15 
1114.23,0.79 ,0.56 ,0.08 
1064.23,0.79 ,0.52 ,0.08 
770.72,0.82 ,0.52 ,0.08 
816.79,0.79 ,0.56 ,0.15 
838.6,0.82 ,0.56 ,0.15 
858.57,0.82 ,0.56 ,0.15 
892.51,0.79 ,0.56 ,0.15 
910.48,0.77 ,0.66 ,0.31 
889.1,0.74 ,0.64 ,0.31 
882.69,0.72 ,0.70 ,0.31 
858.65,0.72 ,0.70 ,0.23 
818.64,0.69 ,0.75 ,0.15 
761.66,0.69 ,0.80 ,0.15 
726.79,0.67 ,0.80 ,0.15 
708.82,0.67 ,0.80 ,0.15 
708.82,0.67 ,0.80 ,0.15 
686.86,0.67 ,0.86 ,0.15 
700.89,0.67 ,0.80 ,0.15 
728.92,0.67 ,0.80 ,0.08 
766.72,0.67 ,0.80 ,0.15 
776.71,0.69 ,0.75 ,0.15 
822.63,0.74 ,0.60 ,0.15 
866.56,0.77 ,0.60 ,0.23 
876.54,0.82 ,0.52 ,0.31 
896.51,0.82 ,0.48 ,0.31 
892.51,0.82 ,0.48 ,0.31 
880.78,0.82 ,0.48 ,0.31 
834.61,0.79 ,0.52 ,0.38 
822.63,0.79 ,0.56 ,0.31 
852.58,0.77 ,0.60 ,0.38 
850.58,0.77 ,0.60 ,0.38 
890.52,0.74 ,0.64 ,0.38 
890.52,0.74 ,0.64 ,0.38 
852.58,0.72 ,0.70 ,0.31 
864.71,0.72 ,0.70 ,0.23 
780.77,0.72 ,0.70 ,0.23 
740.77,0.69 ,0.80 ,0.23 
728.79,0.69 ,0.75 ,0.23 
708.82,0.69 ,0.80 ,0.15 
704.36,0.69 ,0.80 ,0.15 
686.99,0.67 ,0.93 ,0.23 
686.86,0.67 ,0.93 ,0.23 
720.8,0.67 ,0.93 ,0.23 
730.2,0.64 ,0.69 ,0.31 
776.71,0.64 ,0.86 ,0.15 
804.66,0.64 ,0.80 ,0.15 
796.67,0.64 ,0.80 ,0.15 
832.61,0.67 ,0.80 ,0.31 
852.74,0.67 ,0.69 ,0.31 
840.6,0.67 ,0.60 ,0.31 
816.64,0.67 ,0.64 ,0.23 
790.76,0.67 ,0.60 ,0.31 
808.65,0.64 ,0.64 ,0.31 
824.63,0.64 ,0.64 ,0.31 
832.61,0.62 ,0.69 ,0.23 
858.57,0.62 ,0.69 ,0.23 
890.68,0.62 ,0.75 ,0.15 
858.57,0.62 ,0.75 ,0.15 
828.62,0.59 ,0.86 ,0.15 
792.68,0.59 ,0.86 ,0.08 
740.83,0.59 ,0.86 ,0.00 
716.81,0.62 ,0.80 ,0.00 
686.86,0.62 ,0.80 ,0.23 
664.89,0.62 ,0.80 ,0.08 
666.89,0.62 ,0.80 ,0.08 
675.01,0.62 ,0.86 ,0.08 
702.83,0.62 ,0.86 ,0.15 
714.81,0.62 ,0.80 ,0.15 
772.79,0.64 ,0.75 ,0.15 
606.99,0.64 ,0.80 ,0.23 
545.8,0.64 ,0.80 ,0.23 
559.15,0.67 ,0.69 ,0.38 
549.08,0.64 ,0.80 ,0.31 
659.09,0.67 ,0.75 ,0.38 
824.7,0.67 ,0.69 ,0.31 
786.69,0.69 ,0.64 ,0.31 
790.68,0.67 ,0.69 ,0.38 
828.62,0.67 ,0.69 ,0.31 
850.58,0.64 ,0.75 ,0.31 
585.11,0.62 ,0.80 ,0.15 
581.03,0.59 ,0.86 ,0.23 
624.96,0.59 ,0.86 ,0.15 
579.03,0.59 ,0.86 ,0.15 
513.22,0.56 ,0.86 ,0.31 
720.8,0.54 ,0.86 ,0.15 
680.87,0.54 ,0.93 ,0.08 
465.22,0.54 ,0.93 ,0.15 
421.3,0.56 ,0.86 ,0.15 
379.42,0.54 ,0.93 ,0.15 
379.37,0.54 ,0.93 ,0.15 
595.01,0.54 ,0.93 ,0.00 
722.8,0.56 ,0.93 ,0.15 
758.8,0.56 ,0.93 ,0.08 
547.09,0.59 ,0.86 ,0.08 
565.06,0.62 ,0.86 ,0.23 
636.94,0.62 ,0.86 ,0.15 
906.49,0.62 ,0.86 ,0.31 
890.69,0.62 ,0.75 ,0.38 
868.55,0.59 ,0.75 ,0.54 
840.6,0.59 ,0.63 ,0.46 
850.74,0.54 ,0.93 ,0.31 
890.52,0.54 ,0.86 ,0.46 
910.57,0.54 ,0.80 ,0.38 
916.64,0.54 ,0.86 ,0.31 
925.17,0.54 ,0.86 ,0.31 
924.46,0.54 ,0.86 ,0.31 
910.48,0.54 ,0.93 ,0.31 
830.62,0.54 ,0.93 ,0.38 
758.81,0.56 ,0.86 ,0.38 
