power,temperature,humidity,speed
381.42,0.13 ,0.85 ,0.25 
379.37,0.13 ,0.85 ,0.25 
381.36,0.13 ,0.85 ,0.33 
373.38,0.13 ,0.77 ,0.25 
373.38,0.13 ,0.77 ,0.33 
417.36,0.13 ,0.85 ,0.25 
417.3,0.13 ,0.85 ,0.25 
483.19,0.17 ,0.77 ,0.25 
533.19,0.22 ,0.71 ,0.33 
551.08,0.35 ,0.59 ,0.25 
589.02,0.39 ,0.54 ,0.33 
706.82,0.43 ,0.50 ,0.42 
910.48,0.48 ,0.40 ,0.42 
519.13,0.57 ,0.37 ,0.42 
479.27,0.57 ,0.28 ,0.58 
491.18,0.52 ,0.41 ,0.50 
868.72,0.48 ,0.45 ,0.50 
782.7,0.43 ,0.50 ,0.58 
896.51,0.35 ,0.59 ,0.58 
894.51,0.30 ,0.65 ,0.50 
684.86,0.22 ,0.78 ,0.50 
650.92,0.22 ,0.78 ,0.58 
555.07,0.22 ,0.78 ,0.58 
505.23,0.22 ,0.78 ,0.58 
391.4,0.22 ,0.78 ,0.50 
367.79,0.22 ,0.78 ,0.58 
355.41,0.22 ,0.85 ,0.58 
369.38,0.22 ,0.85 ,0.50 
377.37,0.22 ,0.85 ,0.50 
383.77,0.22 ,0.85 ,0.50 
411.43,0.26 ,0.78 ,0.50 
445.26,0.30 ,0.78 ,0.58 
455.24,0.35 ,0.72 ,0.58 
493.18,0.39 ,0.72 ,0.58 
529.12,0.43 ,0.65 ,0.50 
525.12,0.39 ,0.85 ,0.25 
503.16,0.30 ,0.92 ,0.25 
519.21,0.30 ,0.92 ,0.33 
529.12,0.35 ,0.92 ,0.42 
543.09,0.39 ,0.85 ,0.25 
880.61,0.39 ,0.85 ,0.25 
1014.31,0.39 ,0.85 ,0.25 
692.85,0.35 ,0.92 ,0.25 
1016.31,0.35 ,1.00 ,0.17 
1086.19,0.35 ,1.00 ,0.17 
686.86,0.26 ,0.92 ,0.75 
543.17,0.22 ,0.92 ,0.50 
481.2,0.17 ,0.92 ,0.50 
407.32,0.17 ,0.85 ,0.58 
425.35,0.13 ,0.85 ,0.50 
387.35,0.13 ,0.85 ,0.50 
648.92,0.13 ,0.85 ,0.42 
499.17,0.13 ,0.85 ,0.42 
503.16,0.13 ,0.85 ,0.50 
413.36,0.13 ,0.85 ,0.42 
448.92,0.17 ,0.77 ,0.42 
461.3,0.17 ,0.77 ,0.50 
491.18,0.22 ,0.65 ,0.50 
505.16,0.30 ,0.59 ,0.50 
531.11,0.30 ,0.59 ,0.42 
514.56,0.35 ,0.54 ,0.50 
483.19,0.43 ,0.50 ,0.42 
457.24,0.43 ,0.50 ,0.58 
469.22,0.48 ,0.45 ,0.50 
493.18,0.48 ,0.40 ,0.50 
501.16,0.43 ,0.45 ,0.58 
