power,temperature,humidity,speed
370.18,0.18,0.85,0.46
343.4,0.18,0.78,0.54
354.27,0.18,0.85,0.46
354.27,0.15,0.85,0.46
389.04,0.15,0.85,0.46
389.04,0.15,0.78,0.46
389.04,0.15,0.78,0.46
415.82,0.15,0.85,0.38
444.55,0.18,0.71,0.46
470.83,0.21,0.66,0.46
472.74,0.23,0.61,0.54
473.06,0.26,0.61,0.46
480.68,0.28,0.51,0.46
465.07,0.31,0.52,0.38
462.09,0.33,0.43,0.31
455.23,0.31,0.47,0.38
464.11,0.31,0.47,0.31
494.84,0.31,0.47,0.31
536.17,0.28,0.61,0.31
536.86,0.26,0.61,0.31
503.14,0.26,0.67,0.15
487.17,0.26,0.67,0.15
441.89,0.23,0.72,0.15
405.02,0.23,0.72,0
373.06,0.23,0.72,0.08
338.3,0.23,0.72,0.08
355.68,0.21,0.78,0.08
355.68,0.18,0.85,0.08
374.41,0.15,0.92,0.15
382.4,0.15,0.85,0.15
398.37,0.15,0.85,0.08
443.94,0.15,0.85,0.15
488.18,0.23,0.78,0.15
486.77,0.26,0.67,0.31
478.78,0.31,0.56,0.23
467.98,0.36,0.39,0.46
467.98,0.36,0.32,0.38
457.17,0.36,0.32,0.46
463.19,0.38,0.32,0.46
431.33,0.36,0.43,0.46
440.73,0.36,0.47,0.46
457.17,0.36,0.52,0.46
517.31,0.33,0.56,0.54
503.06,0.31,0.67,0.38
506.1,0.33,0.61,0.38
467.78,0.33,0.61,0.46
436.31,0.31,0.72,0.38
430.39,0.31,0.79,0.31
380.98,0.28,0.92,0.31
373,0.28,0.92,0.23
363.54,0.28,0.92,0.23
355.62,0.28,0.92,0.08
355.68,0.28,0.92,0.15
391.86,0.28,0.92,0.15
397.03,0.28,0.92,0.15
457.17,0.28,1,0.31
485.36,0.31,0.92,0.23
485.36,0.33,0.85,0.31
467.89,0.38,0.74,0.38
502.66,0.41,0.62,0.46
477.29,0.41,0.62,0.54
459.91,0.44,0.53,0.62
450.59,0.41,0.52,0.62
433.21,0.44,0.44,0.62
430.32,0.41,0.47,0.62
506.43,0.41,0.47,0.54
525.22,0.28,0.67,0.85
515.9,0.26,0.61,0.77
499.93,0.23,0.61,0.69
489.47,0.23,0.61,0.62
462.25,0.23,0.55,0.54
444.4,0.21,0.66,0.38
386.97,0.23,0.51,0.46
361.88,0.23,0.51,0.38
358.58,0.21,0.51,0.38
349.88,0.21,0.51,0.46
364.68,0.18,0.55,0.31
395.77,0.18,0.55,0.38
421.25,0.18,0.55,0.38
457.4,0.15,0.6,0.23
480.16,0.21,0.51,0.31
529.43,0.23,0.41,0.31
489.84,0.23,0.41,0.38
486.77,0.23,0.46,0.38
488.18,0.26,0.38,0.38
486.77,0.26,0.38,0.38
467.98,0.23,0.41,0.38
458.5,0.23,0.38,0.31
494.67,0.23,0.41,0.38
518.63,0.23,0.38,0.38
567.95,0.21,0.46,0.38
510.73,0.21,0.46,0.46
545.5,0.21,0.46,0.38
491.94,0.21,0.46,0.38
474.56,0.21,0.46,0.31
411.6,0.18,0.49,0.31
395.56,0.18,0.49,0.31
386.15,0.18,0.55,0.38
352.8,0.18,0.55,0.31
358.22,0.18,0.55,0.31
375.1,0.18,0.55,0.31
392.05,0.18,0.55,0.23
389.98,0.18,0.55,0.31
446.44,0.18,0.6,0.23
483.38,0.21,0.51,0.38
465.89,0.23,0.51,0.38
496.08,0.23,0.51,0.23
488.1,0.18,0.71,0.23
505.76,0.18,0.78,0.08
478.78,0.18,0.78,0.08
477.37,0.21,0.72,0.08
466.57,0.18,0.85,0.31
467.98,0.18,0.78,0.31
524.99,0.18,0.78,0.38
528.02,0.18,0.71,0.38
518.63,0.18,0.71,0.31
502.66,0.18,0.78,0.38
526.61,0.18,0.78,0.31
481.04,0.18,0.78,0.23
430.39,0.18,0.78,0.23
387.63,0.18,0.78,0.23
379.64,0.18,0.78,0.23
381.05,0.18,0.85,0.23
362.26,0.18,0.85,0.31
363.67,0.18,0.85,0.23
391.79,0.18,0.85,0.15
425.14,0.18,0.85,0.15
459.91,0.18,0.85,0.23
488.18,0.23,0.72,0.23
504.4,0.23,0.66,0.23
514.96,0.26,0.61,0.23
515.9,0.28,0.56,0.23
528.02,0.28,0.51,0.23
497.74,0.31,0.47,0.15
490.78,0.28,0.51,0.23
463.3,0.31,0.47,0.23
464.24,0.28,0.51,0.15
505.84,0.28,0.56,0.23
521.88,0.28,0.56,0.23
521.88,0.26,0.61,0.23
483.95,0.26,0.67,0.31
475.96,0.26,0.61,0.15
467.89,0.26,0.61,0.15
424.94,0.26,0.61,0.15
391.79,0.26,0.61,0.15
347.63,0.23,0.66,0.08
357.03,0.23,0.66,0.08
357.09,0.23,0.66,0
365.08,0.23,0.66,0
401.25,0.23,0.66,0
425.22,0.23,0.72,0
441.19,0.23,0.72,0.08
444.01,0.26,0.61,0.08
472.13,0.26,0.61,0.15
505.48,0.28,0.56,0.15
451.92,0.31,0.47,0.23
474.47,0.38,0.44,0.15
434.54,0.36,0.43,0.23
449.18,0.36,0.39,0.15
433.21,0.38,0.36,0.23
433.32,0.38,0.36,0.23
467.01,0.33,0.39,0.31
498.86,0.31,0.47,0.31
488.01,0.28,0.56,0.38
455.29,0.26,0.61,0.31
446.44,0.26,0.72,0.31
445.1,0.26,0.72,0.23
358.58,0.23,0.78,0.08
353.24,0.26,0.72,0.23
349.76,0.26,0.72,0.23
332.01,0.28,0.72,0.15
334.73,0.28,0.72,0.15
343.61,0.28,0.78,0.23
351.08,0.28,0.78,0.23
379.74,0.31,0.79,0.31
398.37,0.31,0.85,0.38
425.22,0.33,0.79,0.31
470.79,0.33,0.79,0.38
488.18,0.33,0.85,0.31
450.59,0.33,0.93,0.15
486.77,0.33,0.93,0.31
502.74,0.33,0.93,0.31
521.45,0.36,0.86,0.31
496.08,0.33,0.93,0.31
486.69,0.33,0.93,0.23
537.42,0.33,0.93,0.23
564.2,0.33,0.93,0.23
548.86,0.31,1,0.23
548.02,0.31,0.92,0.31
578.86,0.31,0.92,0.38
494.16,0.31,0.92,0.38
405.02,0.31,0.92,0.46
373.06,0.31,0.92,0.46
338.3,0.31,1,0.54
355.68,0.31,0.92,0.46
355.68,0.31,0.92,0.46
374.41,0.28,0.92,0.31
382.4,0.28,0.92,0.23
398.37,0.28,0.85,0.38
443.94,0.28,0.85,0.31
488.18,0.28,0.85,0.31
486.77,0.31,0.79,0.46
478.78,0.31,0.79,0.46
513.46,0.31,0.79,0.62
496.08,0.36,0.62,0.46
493.35,0.38,0.56,0.46
467.98,0.38,0.52,0.54
485.36,0.36,0.62,0.54
501.34,0.33,0.61,0.62
544.09,0.31,0.61,0.62
578.86,0.26,0.78,0.69
596.25,0.26,0.72,0.54
569.36,0.26,0.61,0.62
533.19,0.23,0.66,0.54
489.03,0.23,0.61,0.54
438.29,0.21,0.6,0.54
388.97,0.18,0.6,0.54
389.04,0.18,0.6,0.54
373.06,0.15,0.6,0.62
371.66,0.15,0.6,0.54
409.24,0.15,0.6,0.54
390.08,0.13,0.6,0.54
470.61,0.1,0.6,0.54
493.26,0.1,0.6,0.38
498.72,0.15,0.49,0.46
493.64,0.18,0.45,0.46
524.54,0.18,0.41,0.23
533.41,0.21,0.41,0.23
531.16,0.23,0.38,0.31
553.63,0.23,0.33,0.31
480.16,0.26,0.3,0.38
488.95,0.26,0.3,0.31
488.87,0.26,0.3,0.31
521.57,0.23,0.3,0.15
573.16,0.21,0.37,0.23
588.26,0.21,0.37,0.31
562.89,0.21,0.41,0.31
584.87,0.18,0.45,0.15
561.48,0.18,0.45,0.08
463.75,0.18,0.55,0.23
438.38,0.18,0.55,0.15
412.93,0.18,0.49,0.15
387.56,0.15,0.6,0.15
380.98,0.15,0.6,0.15
380.92,0.13,0.66,0.15
415.75,0.13,0.66,0.08
431.72,0.1,0.71,0.15
502.74,0.15,0.6,0.15
504.4,0.21,0.41,0.15
528.12,0.26,0.38,0.15
512.12,0.26,0.38,0.23
529.53,0.28,0.34,0.15
487.71,0.31,0.31,0.23
470.83,0.33,0.25,0.15
472.09,0.33,0.25,0.15
455.16,0.36,0.23,0.23
480.97,0.36,0.29,0.23
520.26,0.33,0.28,0.23
534.7,0.31,0.47,0.23
518.72,0.28,0.51,0.31
507.92,0.26,0.51,0.31
498.52,0.26,0.51,0.23
487.64,0.23,0.55,0.15
478.32,0.23,0.61,0.08
394.21,0.23,0.61,0.08
405.02,0.21,0.66,0.08
378.24,0.21,0.66,0
378.24,0.18,0.71,0
379.57,0.18,0.78,0.08
431.72,0.18,0.71,0
447.69,0.15,0.78,0.08
525.2,0.21,0.78,0.15
513.46,0.28,0.72,0.15
505.48,0.33,0.56,0.23
514.96,0.38,0.36,0.23
513.55,0.44,0.26,0.31
496.16,0.44,0.29,0.38
494.76,0.46,0.26,0.31
502.74,0.49,0.18,0.31
504.06,0.49,0.16,0.23
530.07,0.49,0.18,0.31
548.32,0.44,0.26,0.46
558.91,0.38,0.29,0.38
553.33,0.36,0.36,0.38
491.38,0.33,0.47,0.46
518.04,0.33,0.52,0.38
483.86,0.31,0.61,0.31
436.23,0.31,0.67,0.31
411.76,0.31,0.67,0.31
386.03,0.31,0.67,0.23
369.17,0.31,0.67,0.23
361.23,0.28,0.72,0.15
386.97,0.26,0.78,0.08
422.32,0.28,0.72,0.15
423.73,0.28,0.72,0.15
496.05,0.28,0.78,0.15
494.67,0.38,0.56,0.15
528.02,0.46,0.44,0.23
551.13,0.51,0.4,0.15
532.24,0.56,0.38,0.23
530.93,0.56,0.38,0.23
557.71,0.59,0.34,0.15
538.92,0.59,0.34,0.23
501.34,0.59,0.31,0.15
525.3,0.59,0.34,0.23
510.64,0.59,0.31,0.15
545.4,0.56,0.34,0.15
528.02,0.49,0.57,0.15
492.48,0.46,0.57,0.08
466.48,0.46,0.57,0.15
473.06,0.41,0.62,0.08
431.72,0.36,0.72,0.15
382.59,0.38,0.68,0.15
358.28,0.38,0.68,0.08
344.88,0.36,0.72,0.08
345.26,0.33,0.79,0.23
355.68,0.33,0.79,0.23
380.98,0.36,0.79,0.31
390.38,0.36,0.79,0.31
429.5,0.36,0.72,0.31
450.51,0.38,0.68,0.31
483.86,0.41,0.62,0.23
486.69,0.41,0.68,0.23
512.14,0.41,0.68,0.31
485.36,0.41,0.68,0.31
470.71,0.38,0.74,0.38
530.93,0.38,0.74,0.46
514.96,0.38,0.79,0.23
540.33,0.36,0.79,0.31
575.1,0.36,0.86,0.31
575,0.36,0.86,0.23
590.94,0.36,0.86,0.38
600.37,0.33,0.93,0.31
580.17,0.33,0.93,0.38
512.05,0.33,0.93,0.31
415.75,0.33,0.93,0.23
374.41,0.33,0.93,0.23
365.08,0.33,0.85,0.31
359.09,0.33,0.93,0.23
346.28,0.33,0.93,0.23
368.48,0.36,0.86,0.23
381.05,0.36,0.86,0.15
386.37,0.36,0.86,0.15
408.87,0.36,0.86,0.23
450.51,0.36,0.86,0.15
474.5,0.36,0.86,0.23
499.74,0.36,0.93,0.31
515.66,0.38,0.86,0.31
463.3,0.38,0.86,0.31
463.3,0.38,0.86,0.38
446.44,0.38,0.79,0.31
414.35,0.38,0.79,0.31
486.31,0.38,0.79,0.38
