power,temperature,humidity,speed
401.79,0.16 ,0.24 ,0.45 
386.34,0.13 ,0.31 ,0.36 
372.25,0.13 ,0.31 ,0.45 
358.13,0.13 ,0.31 ,0.36 
372.31,0.10 ,0.35 ,0.45 
386.4,0.10 ,0.40 ,0.36 
398.58,0.10 ,0.35 ,0.45 
443.93,0.06 ,0.43 ,0.36 
442.1,0.13 ,0.28 ,0.45 
468.72,0.16 ,0.22 ,0.64 
498.27,0.19 ,0.22 ,0.55 
479.06,0.26 ,0.12 ,0.64 
490.87,0.29 ,0.10 ,0.82 
479.5,0.29 ,0.08 ,0.55 
454.71,0.26 ,0.10 ,0.64 
434.29,0.26 ,0.08 ,0.73 
436.95,0.26 ,0.10 ,0.55 
502.39,0.19 ,0.14 ,0.45 
498.35,0.16 ,0.22 ,0.27 
475.96,0.16 ,0.22 ,0.27 
482.89,0.16 ,0.22 ,0.27 
489.94,0.13 ,0.24 ,0.27 
458.02,0.13 ,0.24 ,0.27 
389.12,0.10 ,0.31 ,0.09 
367.98,0.10 ,0.43 ,0.09 
357.28,0.06 ,0.53 ,0.09 
343.19,0.06 ,0.48 ,0.09 
340.03,0.03 ,0.58 ,0.09 
372.31,0.03 ,0.58 ,0.09 
387.76,0.03 ,0.58 ,0.00 
394.81,0.00 ,0.64 ,0.00 
408.84,0.03 ,0.64 ,0.09 
424.29,0.13 ,0.49 ,0.00 
449.51,0.19 ,0.31 ,0.18 
466.33,0.26 ,0.22 ,0.27 
451.3,0.29 ,0.15 ,0.27 
445.84,0.32 ,0.13 ,0.27 
451.07,0.35 ,0.10 ,0.18 
435.13,0.39 ,0.07 ,0.27 
421.48,0.39 ,0.06 ,0.18 
444.02,0.35 ,0.10 ,0.27 
496.99,0.32 ,0.17 ,0.36 
481.07,0.29 ,0.20 ,0.27 
474.02,0.29 ,0.20 ,0.18 
449.34,0.26 ,0.26 ,0.18 
440.46,0.26 ,0.33 ,0.18 
407.73,0.26 ,0.41 ,0.27 
396.23,0.23 ,0.44 ,0.09 
342.22,0.16 ,0.59 ,0.18 
348.47,0.19 ,0.59 ,0.09 
348.47,0.19 ,0.53 ,0.18 
343.91,0.19 ,0.53 ,0.18 
350.23,0.19 ,0.49 ,0.00 
357.28,0.23 ,0.44 ,0.18 
390.95,0.16 ,0.53 ,0.09 
410.33,0.19 ,0.53 ,0.27 
419.2,0.23 ,0.55 ,0.27 
432.77,0.29 ,0.55 ,0.27 
446.86,0.32 ,0.50 ,0.45 
453.84,0.35 ,0.45 ,0.45 
431.34,0.42 ,0.27 ,0.55 
439.23,0.45 ,0.24 ,0.45 
415.89,0.48 ,0.22 ,0.45 
396.6,0.48 ,0.19 ,0.45 
438.44,0.45 ,0.28 ,0.36 
466.9,0.42 ,0.30 ,0.27 
466.94,0.35 ,0.37 ,0.27 
475.77,0.35 ,0.45 ,0.18 
460.21,0.32 ,0.55 ,0.27 
435.42,0.32 ,0.66 ,0.27 
426.18,0.29 ,0.72 ,0.18 
373.5,0.32 ,0.72 ,0.18 
339.54,0.29 ,0.78 ,0.09 
316.93,0.29 ,0.78 ,0.18 
343.6,0.26 ,0.78 ,0.00 
318.37,0.23 ,0.92 ,0.09 
351.15,0.19 ,0.85 ,0.00 
340.83,0.19 ,0.92 ,0.00 
358.58,0.16 ,0.92 ,0.09 
407.67,0.19 ,0.92 ,0.09 
451.05,0.26 ,0.92 ,0.09 
477.68,0.42 ,0.60 ,0.09 
482.89,0.52 ,0.38 ,0.18 
459.92,0.58 ,0.29 ,0.09 
456.27,0.61 ,0.20 ,0.09 
439.55,0.68 ,0.14 ,0.09 
463.32,0.68 ,0.09 ,0.18 
438.4,0.68 ,0.12 ,0.18 
460.36,0.68 ,0.09 ,0.18 
501.54,0.61 ,0.17 ,0.36 
525.82,0.55 ,0.17 ,0.18 
517.1,0.48 ,0.35 ,0.27 
491.87,0.45 ,0.42 ,0.27 
453.91,0.42 ,0.47 ,0.18 
437.09,0.42 ,0.47 ,0.27 
379.67,0.42 ,0.56 ,0.18 
332.99,0.42 ,0.60 ,0.18 
332.94,0.42 ,0.60 ,0.27 
335.82,0.42 ,0.72 ,0.45 
332.49,0.42 ,0.85 ,0.27 
348.41,0.42 ,0.93 ,0.27 
364.33,0.45 ,0.93 ,0.27 
387.3,0.48 ,0.93 ,0.55 
439,0.48 ,0.93 ,0.45 
445.83,0.48 ,1.00 ,0.36 
480.13,0.52 ,1.00 ,0.36 
501.13,0.61 ,0.63 ,0.55 
492.17,0.68 ,0.44 ,0.55 
499.73,0.74 ,0.30 ,0.55 
483.3,0.71 ,0.30 ,0.36 
465.55,0.71 ,0.30 ,0.27 
450.98,0.68 ,0.33 ,0.27 
440.28,0.65 ,0.29 ,0.27 
