power,temperature,humidity,speed
399.8,0.54,0.93,0.31
377.46,0.54,0.93,0.31
354.04,0.54,0.93,0.23
356.86,0.54,0.86,0.31
348.88,0.54,0.86,0.23
521.22,0.54,0.86,0.15
703.23,0.54,0.86,0.23
476.3,0.54,0.86,0.23
475.24,0.56,0.8,0.31
451.75,0.56,0.86,0.23
470.1,0.56,0.8,0.38
489.99,0.59,0.75,0.31
459.87,0.56,0.8,0.31
449.44,0.59,0.75,0.31
485.09,0.59,0.75,0.23
468.35,0.59,0.75,0.31
532.18,0.54,0.93,0.15
602.61,0.54,0.93,0.23
562.31,0.56,0.86,0.23
596.94,0.54,0.93,0.23
552.8,0.54,0.93,0.31
538,0.54,0.86,0.15
460.25,0.54,0.86,0.23
392.99,0.54,0.86,0.23
363.63,0.54,0.86,0.23
347.85,0.54,0.86,0.23
331.04,0.54,0.86,0.31
315.28,0.54,0.86,0.46
334.53,0.51,0.86,0.38
346.81,0.51,0.86,0.46
396.8,0.51,0.79,0.54
401.42,0.49,0.86,0.46
451.27,0.46,0.79,0.31
435.3,0.49,0.68,0.54
460.33,0.51,0.57,0.54
436.63,0.54,0.49,0.54
437.96,0.56,0.38,0.62
449.94,0.59,0.25,0.54
439.67,0.59,0.28,0.62
452.54,0.56,0.28,0.62
472.57,0.54,0.24,0.62
532.48,0.51,0.3,0.62
531.15,0.51,0.33,0.46
540.46,0.49,0.37,0.46
548.65,0.49,0.37,0.46
523.78,0.46,0.48,0.46
465.92,0.46,0.48,0.46
403.19,0.44,0.44,0.46
359.76,0.41,0.44,0.38
343.4,0.38,0.47,0.38
355.22,0.36,0.52,0.31
325.79,0.36,0.47,0.31
348.91,0.36,0.43,0.31
374.57,0.33,0.52,0.23
403.5,0.33,0.47,0.31
418.21,0.36,0.43,0.38
435.09,0.41,0.44,0.38
424.58,0.46,0.3,0.54
422.48,0.49,0.3,0.46
458.21,0.49,0.33,0.38
443.19,0.51,0.28,0.38
464.59,0.54,0.22,0.38
605.29,0.54,0.24,0.23
538.1,0.51,0.24,0.46
575.08,0.49,0.3,0.31
916.29,0.46,0.3,0.31
567.59,0.44,0.36,0.23
548.45,0.38,0.39,0.23
511.51,0.44,0.29,0.23
532.99,0.44,0.44,0.23
447.34,0.44,0.44,0.15
339.29,0.44,0.44,0.15
323.82,0.38,0.62,0.08
316.77,0.38,0.68,0.08
339.25,0.36,0.67,0
325.74,0.33,0.79,0
372.87,0.33,0.79,0
395.96,0.33,0.79,0
431.4,0.33,0.79,0
446.59,0.36,0.72,0
509.72,0.44,0.62,0.08
439.22,0.51,0.33,0.15
407.77,0.54,0.28,0.15
470.88,0.54,0.28,0.15
421.52,0.56,0.25,0.23
473.66,0.59,0.2,0.23
538.1,0.59,0.23,0.15
431.88,0.56,0.31,0.23
423.77,0.56,0.34,0.31
608.44,0.51,0.48,0.31
595.99,0.49,0.53,0.31
533.76,0.49,0.53,0.31
485.63,0.46,0.57,0.23
517.72,0.46,0.57,0.23
418.76,0.46,0.57,0.15
290.04,0.46,0.57,0.15
289.2,0.44,0.62,0.15
311.45,0.44,0.68,0.23
315.29,0.44,0.68,0.15
325.74,0.41,0.74,0.23
