power,temperature,humidity,speed
409.32,0.86 ,0.80 ,0.33 
377.42,0.83 ,0.87 ,0.33 
355.41,0.83 ,0.93 ,0.25 
363.39,0.83 ,0.93 ,0.33 
383.36,0.80 ,1.00 ,0.42 
540.56,0.80 ,0.93 ,0.25 
725.65,0.80 ,0.93 ,0.50 
758.74,0.80 ,0.93 ,0.42 
782.7,0.83 ,0.87 ,0.33 
790.68,0.86 ,0.80 ,0.42 
812.71,0.91 ,0.68 ,0.58 
827.23,0.91 ,0.68 ,0.67 
956.28,0.94 ,0.63 ,0.67 
964.69,0.94 ,0.68 ,0.50 
942.62,0.91 ,0.68 ,0.42 
926.46,0.89 ,0.74 ,0.33 
804.73,0.91 ,0.68 ,0.42 
816.64,0.89 ,0.68 ,0.42 
808.65,0.89 ,0.74 ,0.33 
828.62,0.86 ,0.80 ,0.42 
824.63,0.83 ,0.87 ,0.33 
830.62,0.83 ,0.79 ,0.33 
784.69,0.83 ,0.79 ,0.33 
661.02,0.80 ,0.87 ,0.42 
421.35,0.80 ,0.87 ,0.25 
401.33,0.80 ,0.87 ,0.25 
343.43,0.80 ,0.87 ,0.25 
353.82,0.80 ,0.87 ,0.25 
385.36,0.77 ,0.93 ,0.25 
708.82,0.77 ,0.93 ,0.17 
744.9,0.77 ,0.93 ,0.17 
790.68,0.80 ,0.93 ,0.25 
790.75,0.83 ,0.87 ,0.25 
1000.33,0.89 ,0.74 ,0.33 
986.36,0.89 ,0.68 ,0.42 
978.37,0.94 ,0.63 ,0.33 
1000.33,0.97 ,0.59 ,0.42 
976.37,0.97 ,0.59 ,0.50 
954.41,0.97 ,0.59 ,0.42 
921.03,1.00 ,0.54 ,0.33 
967.7,1.00 ,0.54 ,0.25 
886.33,0.97 ,0.59 ,0.25 
826.62,0.94 ,0.63 ,0.25 
846.59,0.91 ,0.68 ,0.25 
807.89,0.83 ,0.79 ,0.58 
800.67,0.80 ,0.93 ,0.25 
776.71,0.80 ,0.93 ,0.33 
714.87,0.80 ,0.87 ,0.25 
569.05,0.80 ,0.87 ,0.25 
391.35,0.80 ,0.87 ,0.17 
385.36,0.80 ,0.93 ,0.33 
385.41,0.80 ,0.87 ,0.42 
403.33,0.80 ,0.79 ,0.33 
533.11,0.77 ,0.93 ,0.25 
738.77,0.74 ,0.93 ,0.33 
788.69,0.74 ,0.93 ,0.25 
802.73,0.74 ,1.00 ,0.17 
790.68,0.77 ,0.93 ,0.17 
820.96,0.71 ,0.93 ,0.33 
832.61,0.77 ,0.87 ,0.33 
606.99,0.77 ,0.93 ,0.25 
782.7,0.77 ,0.93 ,0.17 
816.64,0.83 ,0.79 ,0.33 
784.69,0.80 ,0.79 ,0.25 
772.71,0.86 ,0.68 ,0.25 
792.75,0.83 ,0.68 ,0.17 
786.69,0.83 ,0.68 ,0.25 
812.65,0.80 ,0.73 ,0.17 
794.83,0.80 ,0.73 ,0.25 
804.53,0.80 ,0.73 ,0.58 
785.62,0.77 ,0.79 ,0.50 
729.35,0.74 ,0.85 ,0.25 
658.9,0.74 ,0.85 ,0.25 
626.78,0.71 ,0.79 ,0.33 
615.91,0.71 ,0.79 ,0.25 
593.52,0.69 ,0.85 ,0.25 
618.97,0.69 ,0.85 ,0.25 
646.92,0.69 ,0.85 ,0.33 
657.03,0.69 ,0.85 ,0.17 
764.73,0.71 ,0.85 ,0.25 
794.75,0.77 ,0.73 ,0.25 
794.68,0.80 ,0.73 ,0.25 
832.61,0.83 ,0.68 ,0.25 
816.64,0.83 ,0.62 ,0.25 
834.61,0.89 ,0.54 ,0.25 
814.64,0.86 ,0.57 ,0.33 
818.64,0.91 ,0.49 ,0.17 
782.7,0.89 ,0.49 ,0.25 
790.68,0.89 ,0.54 ,0.25 
792.23,0.86 ,0.57 ,0.25 
820.63,0.83 ,0.57 ,0.25 
840.6,0.86 ,0.57 ,0.33 
826.62,0.83 ,0.62 ,0.25 
790.68,0.80 ,0.68 ,0.33 
752.75,0.80 ,0.68 ,0.25 
636.94,0.77 ,0.73 ,0.25 
429.28,0.77 ,0.73 ,0.25 
395.39,0.77 ,0.79 ,0.17 
358.6,0.77 ,0.73 ,0.17 
349.42,0.77 ,0.79 ,0.17 
381.36,0.74 ,0.85 ,0.08 
515.14,0.74 ,0.85 ,0.08 
733.5,0.74 ,0.85 ,0.17 
790.68,0.77 ,0.79 ,0.25 
798.67,0.83 ,0.73 ,0.25 
833.61,0.89 ,0.54 ,0.25 
820.63,0.91 ,0.49 ,0.33 
862.73,0.91 ,0.49 ,0.33 
856.57,0.94 ,0.40 ,0.33 
828.62,0.94 ,0.45 ,0.33 
798.67,0.94 ,0.40 ,0.33 
822.63,0.94 ,0.45 ,0.33 
812.65,0.94 ,0.45 ,0.42 
820.63,0.89 ,0.59 ,0.42 
854.58,0.89 ,0.59 ,0.42 
818.71,0.86 ,0.63 ,0.50 
820.79,0.83 ,0.68 ,0.42 
812.65,0.83 ,0.68 ,0.42 
782.7,0.83 ,0.68 ,0.42 
741.66,0.83 ,0.73 ,0.42 
473.21,0.80 ,0.79 ,0.25 
369.38,0.80 ,0.79 ,0.25 
357.4,0.80 ,0.79 ,0.25 
357.46,0.80 ,0.87 ,0.25 
397.39,0.80 ,0.87 ,0.25 
722.8,0.80 ,0.87 ,0.25 
722.8,0.80 ,0.87 ,0.25 
784.69,0.80 ,0.87 ,0.25 
798.67,0.83 ,0.79 ,0.33 
802.66,0.89 ,0.63 ,0.33 
844.59,0.89 ,0.59 ,0.25 
822.63,0.91 ,0.59 ,0.25 
828.62,0.94 ,0.54 ,0.25 
822.84,0.91 ,0.54 ,0.33 
826.62,0.94 ,0.54 ,0.25 
924.46,0.94 ,0.49 ,0.33 
959.64,0.94 ,0.49 ,0.42 
930.45,0.91 ,0.54 ,0.42 
944.43,0.89 ,0.59 ,0.33 
896.51,0.86 ,0.63 ,0.33 
934.52,0.83 ,0.68 ,0.42 
920.47,0.83 ,0.68 ,0.33 
896.68,0.80 ,0.73 ,0.25 
736.77,0.80 ,0.73 ,0.25 
431.28,0.80 ,0.73 ,0.17 
361.4,0.80 ,0.73 ,0.08 
369.38,0.77 ,0.87 ,0.08 
355.41,0.77 ,0.87 ,0.17 
363.39,0.74 ,0.93 ,0.17 
599.05,0.74 ,0.93 ,0.17 
750.07,0.74 ,0.93 ,0.25 
762.88,0.80 ,0.87 ,0.17 
800.67,0.83 ,0.79 ,0.17 
786.69,0.86 ,0.74 ,0.17 
846.59,0.89 ,0.63 ,0.17 
816.64,0.94 ,0.59 ,0.33 
822.63,0.94 ,0.45 ,0.25 
818.64,0.94 ,0.49 ,0.25 
860.57,0.97 ,0.45 ,0.25 
910.55,0.94 ,0.45 ,0.25 
947.03,0.91 ,0.54 ,0.42 
956.41,0.89 ,0.63 ,0.33 
978.37,0.89 ,0.63 ,0.25 
986.55,0.86 ,0.63 ,0.33 
948.42,0.83 ,0.68 ,0.25 
919.37,0.83 ,0.68 ,0.25 
841.6,0.83 ,0.68 ,0.25 
735.24,0.80 ,0.73 ,0.25 
656.91,0.80 ,0.73 ,0.25 
626.96,0.77 ,0.79 ,0.17 
640.93,0.77 ,0.79 ,0.17 
626.96,0.77 ,0.79 ,0.08 
634.94,0.77 ,0.79 ,0.08 
657.04,0.77 ,0.79 ,0.17 
732.84,0.80 ,0.73 ,0.08 
742.76,0.80 ,0.79 ,0.08 
764.73,0.83 ,0.73 ,0.08 
682.86,0.86 ,0.68 ,0.17 
583.03,0.89 ,0.59 ,0.25 
770.72,0.91 ,0.54 ,0.25 
777.76,0.89 ,0.59 ,0.25 
802.66,0.89 ,0.59 ,0.17 
814.64,0.91 ,0.49 ,0.17 
782.76,0.91 ,0.49 ,0.08 
788.69,0.94 ,0.45 ,0.00 
800.67,0.91 ,0.54 ,0.17 
806.66,0.89 ,0.68 ,0.17 
826.62,0.89 ,0.54 ,0.25 
788.69,0.86 ,0.57 ,0.25 
810.8,0.83 ,0.62 ,0.33 
792.68,0.83 ,0.68 ,0.42 
633,0.83 ,0.62 ,0.33 
431.28,0.83 ,0.62 ,0.25 
374.52,0.80 ,0.73 ,0.33 
369.38,0.80 ,0.73 ,0.33 
349.42,0.80 ,0.73 ,0.25 
388.81,0.80 ,0.73 ,0.25 
540.71,0.80 ,0.73 ,0.25 
752.75,0.80 ,0.73 ,0.17 
772.71,0.80 ,0.73 ,0.33 
798.67,0.83 ,0.68 ,0.25 
808.65,0.83 ,0.68 ,0.33 
828.62,0.89 ,0.63 ,0.33 
840.6,0.91 ,0.54 ,0.25 
836.61,0.91 ,0.54 ,0.33 
812.65,0.97 ,0.45 ,0.25 
826.69,0.94 ,0.49 ,0.33 
774.71,0.91 ,0.59 ,0.25 
802.82,0.91 ,0.59 ,0.25 
808.65,0.91 ,0.54 ,0.42 
834.61,0.89 ,0.59 ,0.50 
879.54,0.86 ,0.63 ,0.42 
820.63,0.86 ,0.68 ,0.42 
812.65,0.83 ,0.68 ,0.33 
830.62,0.83 ,0.73 ,0.33 
756.83,0.83 ,0.73 ,0.25 
716.81,0.83 ,0.73 ,0.33 
492.64,0.80 ,0.79 ,0.33 
403.33,0.80 ,0.79 ,0.25 
368.21,0.80 ,0.79 ,0.25 
412.77,0.80 ,0.79 ,0.25 
744.76,0.80 ,0.79 ,0.25 
780.7,0.80 ,0.79 ,0.25 
818.71,0.83 ,0.68 ,0.33 
848.59,0.83 ,0.62 ,0.25 
838.76,0.86 ,0.52 ,0.33 
876.41,0.89 ,0.49 ,0.42 
861.71,0.89 ,0.54 ,0.42 
855.81,0.89 ,0.59 ,0.33 
844.59,0.89 ,0.59 ,0.33 
822.7,0.89 ,0.63 ,0.42 
842.6,0.86 ,0.63 ,0.33 
842.6,0.86 ,0.63 ,0.33 
860.57,0.86 ,0.63 ,0.33 
856.57,0.83 ,0.68 ,0.33 
834.76,0.83 ,0.68 ,0.33 
846.59,0.83 ,0.62 ,0.42 
830.62,0.80 ,0.68 ,0.33 
798.67,0.80 ,0.57 ,0.33 
637.01,0.80 ,0.52 ,0.33 
435.27,0.77 ,0.57 ,0.17 
411.4,0.80 ,0.52 ,0.33 
399.39,0.77 ,0.62 ,0.33 
383.36,0.77 ,0.62 ,0.33 
407.32,0.77 ,0.62 ,0.33 
483.19,0.77 ,0.62 ,0.25 
760.73,0.77 ,0.67 ,0.25 
832.61,0.77 ,0.73 ,0.25 
848.66,0.80 ,0.62 ,0.33 
854.58,0.83 ,0.57 ,0.33 
888.52,0.86 ,0.49 ,0.33 
894.51,0.86 ,0.49 ,0.25 
884.53,0.89 ,0.37 ,0.25 
914.65,0.89 ,0.33 ,0.33 
850.58,0.86 ,0.40 ,0.42 
834.61,0.89 ,0.33 ,0.33 
862.56,0.86 ,0.40 ,0.33 
870.62,0.86 ,0.37 ,0.33 
858.75,0.83 ,0.44 ,0.33 
898.5,0.83 ,0.44 ,0.33 
864.56,0.80 ,0.52 ,0.33 
862.56,0.80 ,0.57 ,0.42 
846.74,0.80 ,0.57 ,0.42 
716.81,0.77 ,0.67 ,0.33 
523.19,0.77 ,0.67 ,0.25 
441.26,0.77 ,0.67 ,0.33 
433.28,0.77 ,0.67 ,0.33 
443.26,0.77 ,0.73 ,0.33 
425.29,0.77 ,0.73 ,0.33 
465.22,0.77 ,0.73 ,0.25 
882.53,0.77 ,0.79 ,0.33 
938.44,0.80 ,0.73 ,0.33 
807.71,0.80 ,0.73 ,0.33 
656.98,0.80 ,0.73 ,0.42 
778.7,0.83 ,0.68 ,0.42 
890.52,0.83 ,0.68 ,0.42 
900.5,0.86 ,0.68 ,0.42 
988.35,0.86 ,0.63 ,0.42 
950.42,0.86 ,0.68 ,0.33 
898.5,0.89 ,0.63 ,0.25 
