reality,predict,mape
557.07,571.0361938476562,0.03
507.15,571.0031127929688,0.13
485.25,571.0382690429688,0.18
485.19,571.0607299804688,0.18
487.19,571.1611328125,0.17
543.09,571.1611328125,0.05
1018.3,571.8619384765625,0.44
1004.52,571.1593627929688,0.43
1021.18,571.1593627929688,0.44
681.69,571.1336669921875,0.16
936.44,571.0908813476562,0.39
1166.15,570.9951782226562,0.51
1106.16,570.9642333984375,0.48
991.44,571.0719604492188,0.42
676.87,571.0233154296875,0.16
676.87,571.3508911132812,0.16
1005.46,571.193359375,0.43
1281.95,571.193359375,0.55
1194.01,571.0050048828125,0.52
1064.23,570.9751586914062,0.46
712.81,571.018798828125,0.2
708.93,570.9672241210938,0.19
1098.17,570.9856567382812,0.48
956.41,571.0031127929688,0.4
790.68,571.0382690429688,0.28
483.19,571.0733642578125,0.18
461.29,571.0733642578125,0.24
399.33,571.1138305664062,0.43
429.28,571.1138305664062,0.33
946.62,571.0733642578125,0.4
880.53,571.1085205078125,0.35
944.43,571.050537109375,0.4
972.38,570.9642333984375,0.41
656.91,571.0233154296875,0.13
952.41,571.0377197265625,0.4
1114.23,571.1373291015625,0.49
1064.23,571.1699829101562,0.46
770.72,571.4485473632812,0.26
816.79,571.3508911132812,0.3
838.6,571.6304321289062,0.32
858.57,571.6304321289062,0.33
892.51,571.3508911132812,0.36
910.48,571.4425048828125,0.37
889.1,571.1436157226562,0.36
882.69,570.9642333984375,0.35
858.65,570.9642333984375,0.34
818.64,570.9642333984375,0.3
761.66,570.9686889648438,0.25
726.79,570.9683227539062,0.21
708.82,570.9683227539062,0.19
708.82,570.9683227539062,0.19
686.86,571.0046997070312,0.17
700.89,570.9683227539062,0.19
728.92,571.0164184570312,0.22
766.72,570.9683227539062,0.26
776.71,570.9642333984375,0.26
822.63,570.9642333984375,0.31
866.56,571.2315063476562,0.34
876.54,572.1393432617188,0.35
896.51,572.1536865234375,0.36
892.51,572.1536865234375,0.36
880.78,572.1536865234375,0.35
834.61,572.0884399414062,0.31
822.63,571.8391723632812,0.3
852.58,571.724609375,0.33
850.58,571.724609375,0.33
890.52,571.3936767578125,0.36
890.52,571.3936767578125,0.36
852.58,570.9642333984375,0.33
864.71,570.9642333984375,0.34
780.77,570.9642333984375,0.27
740.77,570.9663696289062,0.23
728.79,570.9642333984375,0.22
708.82,570.9686889648438,0.19
704.36,570.9686889648438,0.19
686.99,571.0242919921875,0.17
686.86,571.0242919921875,0.17
720.8,571.0242919921875,0.21
730.2,570.9642333984375,0.22
776.71,571.0382690429688,0.26
804.66,570.9951782226562,0.29
796.67,570.9951782226562,0.28
832.61,570.9856567382812,0.31
852.74,570.9642333984375,0.33
840.6,570.9642333984375,0.32
816.64,570.9642333984375,0.3
790.76,570.9642333984375,0.28
808.65,570.9642333984375,0.29
824.63,570.9642333984375,0.31
832.61,570.9642333984375,0.31
858.57,570.9642333984375,0.33
890.68,570.9913940429688,0.36
858.57,570.9913940429688,0.33
828.62,571.0906372070312,0.31
792.68,571.111328125,0.28
740.83,571.1469116210938,0.23
716.81,571.1101684570312,0.2
686.86,570.9883422851562,0.17
664.89,571.0665893554688,0.14
666.89,571.0665893554688,0.14
675.01,571.0908813476562,0.15
702.83,571.0704345703125,0.19
714.81,571.0234985351562,0.2
772.79,570.9653930664062,0.26
606.99,570.9763793945312,0.06
545.8,570.9763793945312,0.05
559.15,570.9652099609375,0.02
549.08,570.9961547851562,0.04
659.09,571.011962890625,0.13
824.7,570.9642333984375,0.31
786.69,570.9642333984375,0.27
790.68,570.9652099609375,0.28
828.62,570.9642333984375,0.31
850.58,570.9744873046875,0.33
