reality,predict,mape
381.42,514.0292358398438,0.35
379.37,514.0292358398438,0.35
381.36,517.724853515625,0.36
373.38,512.976806640625,0.37
373.38,517.4226684570312,0.39
417.36,514.0292358398438,0.23
417.3,514.0292358398438,0.23
483.19,516.4307861328125,0.07
533.19,525.4188232421875,0.01
551.08,534.8458251953125,0.03
589.02,544.267822265625,0.08
706.82,552.0169067382812,0.22
910.48,556.8396606445312,0.39
519.13,567.0867919921875,0.09
479.27,576.5761108398438,0.2
491.18,566.7847900390625,0.15
868.72,561.7127075195312,0.35
782.7,561.4441528320312,0.28
896.51,552.8378295898438,0.38
894.51,543.4329833984375,0.39
684.86,534.1301879882812,0.22
650.92,538.6491088867188,0.17
555.07,538.6491088867188,0.03
505.23,538.6491088867188,0.07
391.4,534.1301879882812,0.36
367.79,538.6491088867188,0.46
355.41,538.8287353515625,0.52
369.38,534.3252563476562,0.45
377.37,534.3252563476562,0.42
383.77,534.3252563476562,0.39
411.43,538.9202270507812,0.31
445.26,548.3216552734375,0.23
455.24,553.1129150390625,0.21
493.18,558.0756225585938,0.13
529.12,557.0444946289062,0.05
525.12,540.477294921875,0.03
503.16,531.057373046875,0.06
519.21,535.5892944335938,0.03
529.12,544.379638671875,0.03
543.09,540.477294921875,0.0
880.61,540.477294921875,0.39
1014.31,540.477294921875,0.47
692.85,535.8380126953125,0.23
1016.31,531.531494140625,0.48
1086.19,531.531494140625,0.51
686.86,552.2386474609375,0.2
543.17,534.5216674804688,0.02
481.2,529.8054809570312,0.1
407.32,534.0725708007812,0.31
425.35,526.0733642578125,0.24
387.35,526.0733642578125,0.36
648.92,521.6145629882812,0.2
499.17,521.6145629882812,0.04
503.16,526.0733642578125,0.05
413.36,521.6145629882812,0.26
448.92,524.85595703125,0.17
461.3,529.3539428710938,0.15
491.18,533.7457885742188,0.09
505.16,543.2695922851562,0.08
531.11,538.650634765625,0.01
514.56,548.0634765625,0.07
483.19,552.0169067382812,0.14
457.24,561.4441528320312,0.23
469.22,561.7127075195312,0.2
493.18,561.6113891601562,0.14
501.16,561.350830078125,0.12
515.22,548.3638305664062,0.06
543.09,539.48876953125,0.01
525.19,521.0955810546875,0.01
537.1,525.8601684570312,0.02
