power,temperature,humidity,speed
381.42,0.12 ,0.85 ,0.23 
379.37,0.12 ,0.85 ,0.23 
381.36,0.12 ,0.85 ,0.31 
373.38,0.12 ,0.77 ,0.23 
373.38,0.12 ,0.77 ,0.31 
417.36,0.12 ,0.85 ,0.23 
417.3,0.12 ,0.85 ,0.23 
483.19,0.15 ,0.77 ,0.23 
533.19,0.19 ,0.71 ,0.31 
551.08,0.31 ,0.59 ,0.23 
589.02,0.35 ,0.54 ,0.31 
706.82,0.38 ,0.50 ,0.38 
910.48,0.42 ,0.40 ,0.38 
519.13,0.50 ,0.37 ,0.38 
479.27,0.50 ,0.28 ,0.54 
491.18,0.46 ,0.41 ,0.46 
868.72,0.42 ,0.45 ,0.46 
782.7,0.38 ,0.50 ,0.54 
896.51,0.31 ,0.59 ,0.54 
894.51,0.27 ,0.65 ,0.46 
684.86,0.19 ,0.78 ,0.46 
650.92,0.19 ,0.78 ,0.54 
555.07,0.19 ,0.78 ,0.54 
505.23,0.19 ,0.78 ,0.54 
391.4,0.19 ,0.78 ,0.46 
367.79,0.19 ,0.78 ,0.54 
355.41,0.19 ,0.85 ,0.54 
369.38,0.19 ,0.85 ,0.46 
377.37,0.19 ,0.85 ,0.46 
383.77,0.19 ,0.85 ,0.46 
411.43,0.23 ,0.78 ,0.46 
445.26,0.27 ,0.78 ,0.54 
455.24,0.31 ,0.72 ,0.54 
493.18,0.35 ,0.72 ,0.54 
529.12,0.38 ,0.65 ,0.46 
525.12,0.35 ,0.85 ,0.23 
503.16,0.27 ,0.92 ,0.23 
519.21,0.27 ,0.92 ,0.31 
529.12,0.31 ,0.92 ,0.38 
543.09,0.35 ,0.85 ,0.23 
880.61,0.35 ,0.85 ,0.23 
1014.31,0.35 ,0.85 ,0.23 
692.85,0.31 ,0.92 ,0.23 
1016.31,0.31 ,1.00 ,0.15 
1086.19,0.31 ,1.00 ,0.15 
686.86,0.23 ,0.92 ,0.69 
543.17,0.19 ,0.92 ,0.46 
481.2,0.15 ,0.92 ,0.46 
407.32,0.15 ,0.85 ,0.54 
425.35,0.12 ,0.85 ,0.46 
387.35,0.12 ,0.85 ,0.46 
648.92,0.12 ,0.85 ,0.38 
499.17,0.12 ,0.85 ,0.38 
503.16,0.12 ,0.85 ,0.46 
413.36,0.12 ,0.85 ,0.38 
448.92,0.15 ,0.77 ,0.38 
461.3,0.15 ,0.77 ,0.46 
491.18,0.19 ,0.65 ,0.46 
505.16,0.27 ,0.59 ,0.46 
531.11,0.27 ,0.59 ,0.38 
514.56,0.31 ,0.54 ,0.46 
483.19,0.38 ,0.50 ,0.38 
457.24,0.38 ,0.50 ,0.54 
469.22,0.42 ,0.45 ,0.46 
493.18,0.42 ,0.40 ,0.46 
501.16,0.38 ,0.45 ,0.54 
515.22,0.35 ,0.54 ,0.38 
543.09,0.31 ,0.59 ,0.31 
525.19,0.23 ,0.72 ,0.15 
537.1,0.23 ,0.78 ,0.23 
738.77,0.23 ,0.78 ,0.15 
417.3,0.23 ,0.78 ,0.15 
399.33,0.19 ,0.78 ,0.15 
397.34,0.19 ,0.78 ,0.00 
363.39,0.15 ,0.85 ,0.08 
369.44,0.15 ,0.85 ,0.08 
397.39,0.15 ,0.85 ,0.00 
437.27,0.12 ,0.92 ,0.15 
419.3,0.15 ,0.92 ,0.08 
475.21,0.19 ,0.92 ,0.08 
493.18,0.27 ,0.72 ,0.15 
537.1,0.35 ,0.60 ,0.38 
606.99,0.42 ,0.45 ,0.46 
1044.26,0.42 ,0.36 ,0.62 
822.78,0.46 ,0.22 ,0.54 
535.18,0.42 ,0.18 ,0.62 
493.47,0.42 ,0.09 ,0.54 
473.21,0.38 ,0.12 ,0.54 
511.15,0.35 ,0.06 ,0.54 
545.09,0.31 ,0.01 ,0.46 
832.61,0.23 ,0.19 ,0.38 
812.52,0.19 ,0.35 ,0.38 
610.98,0.19 ,0.23 ,0.31 
601,0.15 ,0.19 ,0.38 
495.17,0.19 ,0.15 ,0.23 
583.03,0.15 ,0.15 ,0.31 
597,0.15 ,0.19 ,0.15 
441.26,0.12 ,0.22 ,0.15 
443.26,0.08 ,0.37 ,0.15 
445.32,0.04 ,0.47 ,0.15 
451.3,0.04 ,0.47 ,0.15 
463.23,0.08 ,0.37 ,0.15 
429.28,0.08 ,0.37 ,0.15 
477.2,0.15 ,0.29 ,0.23 
503.16,0.19 ,0.10 ,0.31 
505.16,0.27 ,0.08 ,0.31 
533.11,0.31 ,0.06 ,0.31 
537.1,0.35 ,0.09 ,0.31 
570.17,0.38 ,0.09 ,0.31 
513.22,0.42 ,0.06 ,0.38 
504.97,0.42 ,0.04 ,0.31 
481.2,0.42 ,0.00 ,0.38 
521.13,0.38 ,0.01 ,0.38 
537.1,0.35 ,0.01 ,0.38 
525.12,0.31 ,0.04 ,0.38 
527.35,0.27 ,0.08 ,0.31 
570.9,0.23 ,0.19 ,0.46 
579.11,0.19 ,0.29 ,0.31 
531.11,0.19 ,0.38 ,0.31 
493.18,0.19 ,0.44 ,0.38 
796.74,0.19 ,0.44 ,0.38 
543.09,0.15 ,0.47 ,0.38 
451.25,0.15 ,0.53 ,0.31 
405.32,0.15 ,0.59 ,0.31 
451.25,0.15 ,0.59 ,0.31 
461.23,0.15 ,0.59 ,0.23 
461.23,0.15 ,0.64 ,0.23 
529.12,0.19 ,0.59 ,0.23 
551.08,0.23 ,0.54 ,0.23 
555.15,0.27 ,0.54 ,0.15 
577.04,0.31 ,0.44 ,0.23 
644.93,0.42 ,0.32 ,0.23 
816.64,0.42 ,0.36 ,0.23 
569.05,0.46 ,0.32 ,0.08 
527.12,0.46 ,0.28 ,0.15 
525.12,0.46 ,0.32 ,0.15 
581.03,0.42 ,0.45 ,0.38 
628.95,0.38 ,0.50 ,0.38 
912.48,0.35 ,0.54 ,0.38 
694.84,0.31 ,0.59 ,0.38 
583.19,0.27 ,0.54 ,0.38 
573.04,0.27 ,0.59 ,0.38 
511.15,0.23 ,0.65 ,0.31 
437.27,0.19 ,0.78 ,0.23 
399.33,0.19 ,0.78 ,0.23 
367.39,0.15 ,0.85 ,0.15 
375.37,0.15 ,0.77 ,0.23 
367.85,0.12 ,0.85 ,0.15 
369.38,0.12 ,0.92 ,0.00 
419.35,0.12 ,0.92 ,0.08 
435.27,0.15 ,0.85 ,0.15 
499.17,0.19 ,0.78 ,0.23 
928.82,0.27 ,0.65 ,0.23 
770.72,0.31 ,0.65 ,0.23 
587.87,0.38 ,0.55 ,0.23 
668.89,0.42 ,0.50 ,0.15 
652.91,0.50 ,0.37 ,0.15 
622.96,0.54 ,0.33 ,0.15 
591.01,0.58 ,0.33 ,0.15 
613.07,0.50 ,0.41 ,0.46 
608.99,0.46 ,0.41 ,0.46 
878.54,0.42 ,0.45 ,0.38 
976.46,0.38 ,0.40 ,0.31 
678.87,0.35 ,0.31 ,0.31 
670.88,0.31 ,0.31 ,0.38 
555.07,0.27 ,0.31 ,0.31 
962.4,0.27 ,0.35 ,0.31 
537.18,0.23 ,0.54 ,0.31 
505.16,0.19 ,0.65 ,0.31 
411.31,0.19 ,0.65 ,0.38 
405.32,0.19 ,0.65 ,0.23 
405.32,0.19 ,0.65 ,0.31 
419.36,0.19 ,0.65 ,0.31 
427.29,0.19 ,0.65 ,0.23 
421.3,0.19 ,0.65 ,0.31 
517.14,0.27 ,0.54 ,0.38 
571.12,0.31 ,0.49 ,0.46 
745.26,0.42 ,0.36 ,0.62 
988.35,0.46 ,0.32 ,0.46 
656.99,0.50 ,0.28 ,0.62 
714.81,0.42 ,0.32 ,0.62 
682.86,0.38 ,0.36 ,0.54 
670.75,0.38 ,0.40 ,0.62 
676.87,0.35 ,0.40 ,0.46 
694.84,0.35 ,0.45 ,0.38 
626.96,0.23 ,0.65 ,0.46 
1010.32,0.19 ,0.78 ,0.46 
820.63,0.19 ,0.85 ,0.38 
642.93,0.15 ,0.85 ,0.31 
654.99,0.15 ,0.92 ,0.23 
575.12,0.15 ,0.92 ,0.31 
447.25,0.19 ,0.85 ,0.15 
413.31,0.19 ,0.85 ,0.15 
407.32,0.19 ,0.85 ,0.15 
379.37,0.19 ,0.85 ,0.15 
373.38,0.19 ,0.85 ,0.23 
393.34,0.19 ,0.85 ,0.15 
399.33,0.19 ,0.92 ,0.23 
429.28,0.19 ,0.92 ,0.31 
471.35,0.19 ,0.85 ,0.23 
471.21,0.19 ,0.85 ,0.31 
509.15,0.19 ,0.85 ,0.31 
561.06,0.19 ,0.85 ,0.31 
543.09,0.23 ,0.78 ,0.23 
557.07,0.31 ,0.65 ,0.23 
535.11,0.35 ,0.54 ,0.23 
531.11,0.31 ,0.59 ,0.31 
1000.33,0.35 ,0.54 ,0.38 
710.57,0.31 ,0.59 ,0.31 
704.83,0.31 ,0.59 ,0.31 
616.97,0.27 ,0.59 ,0.38 
668.89,0.23 ,0.65 ,0.38 
658.9,0.19 ,0.71 ,0.31 
639.33,0.19 ,0.71 ,0.23 
585.1,0.15 ,0.77 ,0.31 
810.65,0.15 ,0.77 ,0.31 
583.09,0.15 ,0.77 ,0.31 
483.19,0.12 ,0.85 ,0.31 
469.22,0.12 ,0.85 ,0.15 
441.26,0.12 ,0.85 ,0.23 
455.24,0.12 ,0.77 ,0.23 
483.19,0.12 ,0.77 ,0.23 
780.85,0.12 ,0.85 ,0.31 
758.74,0.15 ,0.77 ,0.38 
553.08,0.23 ,0.59 ,0.38 
579.03,0.27 ,0.54 ,0.38 
595.01,0.35 ,0.40 ,0.46 
535.18,0.38 ,0.36 ,0.46 
513.14,0.42 ,0.36 ,0.46 
519.13,0.38 ,0.36 ,0.54 
505.23,0.42 ,0.36 ,0.46 
880.53,0.38 ,0.40 ,0.46 
756.74,0.35 ,0.45 ,0.46 
754.74,0.31 ,0.54 ,0.46 
740.77,0.27 ,0.65 ,0.46 
744.76,0.23 ,0.72 ,0.46 
720.89,0.23 ,0.72 ,0.54 
628.95,0.23 ,0.72 ,0.46 
585.61,0.23 ,0.78 ,0.31 
507.15,0.23 ,0.78 ,0.54 
449.25,0.23 ,0.78 ,0.54 
415.31,0.23 ,0.78 ,0.46 
385.36,0.23 ,0.85 ,0.46 
385.42,0.19 ,0.92 ,0.38 
403.05,0.19 ,0.92 ,0.38 
437.27,0.19 ,0.92 ,0.38 
449.25,0.23 ,0.92 ,0.46 
535.11,0.23 ,0.92 ,0.38 
535.11,0.23 ,0.92 ,0.46 
579.03,0.27 ,0.92 ,0.38 
654.91,0.27 ,0.92 ,0.31 
1088.19,0.31 ,0.92 ,0.38 
780.83,0.31 ,0.92 ,0.38 
587.02,0.38 ,0.85 ,0.38 
579.11,0.27 ,0.85 ,0.92 
595.01,0.15 ,0.92 ,0.69 
636.94,0.15 ,0.85 ,0.46 
700.83,0.15 ,0.85 ,0.46 
960.4,0.12 ,0.92 ,0.62 
854.58,0.08 ,0.92 ,0.46 
649.01,0.08 ,0.85 ,0.54 
636.94,0.08 ,0.77 ,0.54 
575.04,0.08 ,0.77 ,0.46 
549.08,0.08 ,0.77 ,0.46 
581.03,0.08 ,0.77 ,0.38 
650.98,0.04 ,0.85 ,0.38 
419.3,0.00 ,0.92 ,0.23 
427.29,0.00 ,0.92 ,0.31 
427.29,0.00 ,0.85 ,0.31 
439.3,0.00 ,0.85 ,0.15 
467.22,0.00 ,0.85 ,0.23 
551.08,0.12 ,0.64 ,0.31 
503.16,0.19 ,0.47 ,0.46 
505.16,0.27 ,0.38 ,0.54 
533.11,0.35 ,0.36 ,0.54 
649.02,0.38 ,0.28 ,0.62 
650.92,0.42 ,0.21 ,0.62 
652.91,0.50 ,0.13 ,0.77 
640.93,0.50 ,0.15 ,0.62 
622.96,0.50 ,0.10 ,0.69 
620.97,0.50 ,0.05 ,0.62 
630.95,0.50 ,0.05 ,0.62 
618.97,0.46 ,0.09 ,0.38 
630.95,0.38 ,0.12 ,0.31 
639.11,0.31 ,0.23 ,0.15 
644.93,0.27 ,0.31 ,0.15 
583.03,0.23 ,0.38 ,0.15 
521.13,0.23 ,0.38 ,0.08 
946.42,0.15 ,0.47 ,0.15 
604.99,0.15 ,0.47 ,0.23 
483.19,0.12 ,0.59 ,0.23 
483.19,0.12 ,0.59 ,0.23 
491.25,0.08 ,0.64 ,0.23 
533.11,0.08 ,0.71 ,0.15 
483.26,0.15 ,0.71 ,0.23 
1016.31,0.27 ,0.54 ,0.23 
648.92,0.42 ,0.28 ,0.31 
708.82,0.46 ,0.24 ,0.38 
1134.11,0.54 ,0.15 ,0.46 
978.55,0.58 ,0.10 ,0.46 
700.94,0.62 ,0.09 ,0.46 
608.99,0.58 ,0.17 ,0.54 
581.11,0.62 ,0.09 ,0.62 
812.65,0.62 ,0.14 ,0.62 
1096.17,0.58 ,0.19 ,0.54 
889.1,0.58 ,0.26 ,0.54 
676.87,0.50 ,0.37 ,0.38 
627.05,0.46 ,0.45 ,0.38 
597,0.42 ,0.55 ,0.38 
1054.24,0.42 ,0.50 ,0.38 
920.47,0.42 ,0.50 ,0.54 
858.57,0.42 ,0.55 ,0.31 
555.07,0.42 ,0.55 ,0.31 
521.2,0.38 ,0.60 ,0.23 
483.19,0.38 ,0.60 ,0.23 
367.85,0.38 ,0.60 ,0.15 
369.38,0.38 ,0.60 ,0.23 
419.35,0.38 ,0.60 ,0.23 
435.27,0.35 ,0.72 ,0.31 
499.17,0.38 ,0.65 ,0.31 
928.82,0.42 ,0.65 ,0.31 
650.92,0.42 ,0.65 ,0.54 
888.52,0.42 ,0.72 ,0.31 
1184.03,0.50 ,0.60 ,0.46 
1054.54,0.58 ,0.56 ,0.31 
726.79,0.54 ,0.62 ,0.54 
692.85,0.54 ,0.62 ,0.54 
1104.16,0.54 ,0.62 ,0.46 
1154.26,0.50 ,0.60 ,0.46 
874.54,0.50 ,0.67 ,0.31 
706.58,0.46 ,0.67 ,0.31 
668.89,0.42 ,0.72 ,0.38 
734.87,0.42 ,0.72 ,0.38 
1152.08,0.38 ,0.78 ,0.31 
962.4,0.38 ,0.78 ,0.23 
537.18,0.38 ,0.78 ,0.23 
478.55,0.38 ,0.78 ,0.23 
439.33,0.38 ,0.78 ,0.23 
425.29,0.35 ,0.85 ,0.15 
419.3,0.35 ,0.85 ,0.15 
425.29,0.35 ,0.85 ,0.23 
475.21,0.35 ,0.85 ,0.23 
964.39,0.38 ,0.78 ,0.23 
778.84,0.42 ,0.72 ,0.15 
585.02,0.46 ,0.67 ,0.15 
954.41,0.46 ,0.67 ,0.23 
1084.27,0.42 ,0.78 ,0.23 
694.84,0.38 ,0.85 ,0.08 
692.85,0.38 ,0.85 ,0.08 
968.39,0.35 ,0.92 ,0.31 
1036.27,0.38 ,0.92 ,0.15 
968.39,0.38 ,0.92 ,0.08 
718.65,0.38 ,0.92 ,0.15 
626.96,0.38 ,0.92 ,0.15 
1010.32,0.38 ,0.92 ,0.23 
1114.14,0.27 ,0.92 ,0.31 
948.42,0.27 ,0.92 ,0.23 
710.82,0.23 ,1.00 ,0.38 
660.9,0.23 ,1.00 ,0.54 
585.11,0.19 ,0.92 ,0.46 
744.08,0.19 ,0.92 ,0.38 
692.85,0.15 ,1.00 ,0.38 
483.19,0.15 ,1.00 ,0.46 
483.19,0.15 ,0.92 ,0.38 
497.17,0.15 ,0.85 ,0.31 
525.12,0.15 ,0.85 ,0.31 
487.03,0.15 ,0.92 ,0.31 
519.13,0.19 ,0.85 ,0.31 
682.86,0.23 ,0.72 ,0.31 
984.36,0.31 ,0.40 ,0.31 
872.62,0.35 ,0.31 ,0.23 
626.96,0.35 ,0.21 ,0.38 
587.02,0.38 ,0.14 ,0.46 
595.1,0.38 ,0.21 ,0.38 
593.01,0.42 ,0.15 ,0.23 
656.91,0.46 ,0.13 ,0.31 
1044.26,0.42 ,0.15 ,0.23 
960.4,0.38 ,0.18 ,0.23 
932.45,0.38 ,0.12 ,0.23 
700.83,0.31 ,0.14 ,0.31 
652.99,0.27 ,0.19 ,0.31 
670.88,0.23 ,0.19 ,0.23 
633.04,0.23 ,0.31 ,0.15 
485.19,0.19 ,0.38 ,0.23 
459.23,0.19 ,0.44 ,0.15 
419.3,0.19 ,0.44 ,0.15 
407.32,0.15 ,0.53 ,0.23 
415.31,0.15 ,0.47 ,0.23 
421.3,0.15 ,0.47 ,0.15 
435.27,0.15 ,0.59 ,0.23 
443.32,0.19 ,0.54 ,0.23 
501.53,0.19 ,0.59 ,0.31 
768.72,0.27 ,0.49 ,0.31 
918.47,0.31 ,0.35 ,0.31 
656.91,0.38 ,0.32 ,0.31 
608.99,0.38 ,0.14 ,0.46 
593.08,0.42 ,0.15 ,0.38 
852,0.46 ,0.03 ,0.38 
880.71,0.46 ,0.13 ,0.38 
587.02,0.42 ,0.12 ,0.46 
604.99,0.42 ,0.24 ,0.54 
754.74,0.38 ,0.36 ,0.46 
972.38,0.35 ,0.49 ,0.38 
676.87,0.31 ,0.49 ,0.38 
