year,month,day,hour,power consumption,temperature,humidity,speed(KM/H)
2013,9,1,0,796.67,25,83,10.8
2013,9,1,1,758.81,25,83,10.8
2013,9,1,2,720.8,25,83,10.8
2013,9,1,3,708.82,25,83,7.2
2013,9,1,4,726.79,24,83,7.2
2013,9,1,5,758.74,24,89,7.2
2013,9,1,6,780.7,24,89,7.2
2013,9,1,7,830.77,25,83,7.2
2013,9,1,8,872.55,27,74,10.8
2013,9,1,9,864.56,28,70,14.4
2013,9,1,10,900.58,30,62,10.8
2013,9,1,11,968.39,30,58,10.8
2013,9,1,12,1136.11,31,55,3.6
2013,9,1,13,1100.17,31,58,7.2
2013,9,1,14,1006.32,31,55,14.4
2013,9,1,15,1052.25,31,58,21.6
2013,9,1,16,892.68,30,58,21.6
2013,9,1,17,892.51,30,58,18.0
2013,9,1,18,911.87,29,62,14.4
2013,9,1,19,903.33,28,70,14.4
2013,9,1,20,926.55,27,74,14.4
2013,9,1,21,890.52,27,74,10.8
2013,9,1,22,822.63,26,83,7.2
2013,9,1,23,768.72,26,83,10.8
2013,9,2,0,750.75,26,83,10.8
2013,9,2,1,716.94,26,89,7.2
2013,9,2,2,712.77,26,89,7.2
2013,9,2,3,684.86,26,83,7.2
2013,9,2,4,728.79,26,83,7.2
2013,9,2,5,742.81,25,89,3.6
2013,9,2,6,758.74,26,83,0
2013,9,2,7,816.79,26,89,10.8
2013,9,2,8,884.53,26,89,10.8
2013,9,2,9,954.41,28,79,10.8
2013,9,2,10,962.4,29,74,7.2
2013,9,2,11,1160.14,31,66,10.8
2013,9,2,12,1190.02,31,62,18.0
2013,9,2,13,1198,32,55,21.6
2013,9,2,14,1164.06,32,55,18.0
2013,9,2,15,1100.17,31,55,10.8
2013,9,2,16,946.61,31,52,10.8
2013,9,2,17,958.4,29,66,14.4
2013,9,2,18,972.38,28,70,14.4
2013,9,2,19,920.47,28,70,7.2
2013,9,2,20,898.59,28,70,7.2
2013,9,2,21,854.58,27,79,7.2
2013,9,2,22,796.67,27,79,7.2
2013,9,2,23,750.75,26,83,7.2
2013,9,3,0,764.47,25,61,18.0
2013,9,3,1,724.85,25,61,21.6
2013,9,3,2,724.85,25,61,18.0
2013,9,3,3,732.78,25,61,21.6
2013,9,3,4,724.79,24,61,18.0
2013,9,3,5,750.9,24,65,14.4
2013,9,3,6,784.75,24,65,18.0
2013,9,3,7,864.56,25,65,21.6
2013,9,3,8,887.35,27,54,32.4
2013,9,3,9,937.36,27,54,28.8
2013,9,3,10,954.41,28,48,28.8
2013,9,3,11,886.08,29,40,36.0
2013,9,3,12,886.16,29,40,32.4
2013,9,3,13,882.53,30,37,28.8
2013,9,3,14,848.07,29,40,28.8
2013,9,3,15,830.25,29,40,28.8
2013,9,3,16,866.56,28,42,25.2
2013,9,3,17,872.55,27,39,32.4
2013,9,3,18,896.58,26,42,28.8
2013,9,3,19,752.75,25,50,28.8
2013,9,3,20,577.04,25,54,25.2
2013,9,3,21,577.62,24,57,18.0
2013,9,3,22,555.42,24,53,14.4
2013,9,3,23,531.8,23,53,18.0
2013,9,4,0,833.96,23,57,18.0
2013,9,4,1,498.52,22,60,14.4
2013,9,4,2,428.32,22,64,10.8
2013,9,4,3,444.29,21,68,10.8
2013,9,4,4,604.99,21,68,10.8
2013,9,4,5,842.66,21,68,10.8
2013,9,4,6,830.52,21,68,10.8
2013,9,4,7,831.62,23,61,10.8
2013,9,4,8,882.66,24,57,10.8
2013,9,4,9,919.71,27,39,21.6
2013,9,4,10,910.48,26,42,25.2
2013,9,4,11,916.42,28,39,25.2
2013,9,4,12,900.67,28,35,21.6
2013,9,4,13,927.77,28,32,21.6
2013,9,4,14,924.54,29,33,21.6
2013,9,4,15,881.46,28,35,18.0
2013,9,4,16,849.51,28,35,18.0
2013,9,4,17,862.12,27,34,21.6
2013,9,4,18,836.48,26,32,18.0
2013,9,4,19,606.99,25,39,18.0
2013,9,4,20,590.66,25,39,18.0
2013,9,4,21,764.68,25,44,10.8
2013,9,4,22,971.92,25,47,14.4
2013,9,4,23,805.02,25,47,14.4
2013,9,5,0,640.66,25,50,7.2
2013,9,5,1,435.88,24,57,10.8
2013,9,5,2,437.56,24,57,7.2
2013,9,5,3,427.26,24,57,3.6
2013,9,5,4,443.86,24,57,3.6
2013,9,5,5,615.49,23,65,3.6
2013,9,5,6,864.29,23,65,0
2013,9,5,7,837.15,24,65,10.8
2013,9,5,8,880.64,25,57,10.8
2013,9,5,9,899.06,25,57,7.2
2013,9,5,10,878.67,25,54,3.6
2013,9,5,11,863.98,25,57,10.8
2013,9,5,12,822.39,24,65,10.8
2013,9,5,13,566.19,23,78,14.4
2013,9,5,14,532.56,24,73,14.4
2013,9,5,15,856.9,24,73,14.4
2013,9,5,16,908.49,23,78,18.0
2013,9,5,17,852.58,23,78,21.6
2013,9,5,18,565.14,22,83,18.0
2013,9,5,19,591.01,22,83,14.4
2013,9,5,20,577.54,23,78,18.0
2013,9,5,21,561.06,23,78,14.4
2013,9,5,22,824.63,22,78,21.6
2013,9,5,23,746.76,20,88,18.0
2013,9,6,0,438.05,20,88,21.6
2013,9,6,1,421.35,20,88,10.8
2013,9,6,2,425.38,20,88,10.8
2013,9,6,3,405.32,20,94,7.2
2013,9,6,4,437.34,20,88,10.8
2013,9,6,5,679.27,20,94,10.8
2013,9,6,6,787.72,20,94,10.8
2013,9,6,7,509.4,20,94,14.4
2013,9,6,8,517.09,20,94,14.4
2013,9,6,9,560.38,21,88,14.4
2013,9,6,10,911.8,21,83,14.4
2013,9,6,11,965.95,21,88,14.4
2013,9,6,12,927.69,21,88,14.4
2013,9,6,13,911.9,22,83,10.8
2013,9,6,14,873.47,22,83,14.4
2013,9,6,15,751.56,22,83,7.2
2013,9,6,16,554,22,83,10.8
2013,9,6,17,495.25,22,83,7.2
2013,9,6,18,725.91,21,88,14.4
2013,9,6,19,879.64,21,88,10.8
2013,9,6,20,780.18,21,88,10.8
2013,9,6,21,822.11,21,88,3.6
2013,9,6,22,748.96,21,88,7.2
2013,9,6,23,690.85,21,88,7.2
2013,9,7,0,439.27,21,88,10.8
2013,9,7,1,419.3,21,88,7.2
2013,9,7,2,395.39,21,88,7.2
2013,9,7,3,387.35,21,88,7.2
2013,9,7,4,409.38,21,88,7.2
2013,9,7,5,407.32,21,88,7.2
2013,9,7,6,746.53,21,94,7.2
2013,9,7,7,779.73,21,88,7.2
2013,9,7,8,555.76,21,94,10.8
2013,9,7,9,525.49,22,83,10.8
2013,9,7,10,565.42,23,78,10.8
2013,9,7,11,619.58,23,78,10.8
2013,9,7,12,940.92,25,69,10.8
2013,9,7,13,899.11,24,73,14.4
2013,9,7,14,828.91,25,65,7.2
2013,9,7,15,814.62,25,61,14.4
2013,9,7,16,838.65,25,65,10.8
2013,9,7,17,914.74,24,69,18.0
2013,9,7,18,629.32,24,69,10.8
2013,9,7,19,580.13,23,73,7.2
2013,9,7,20,594.84,23,73,7.2
2013,9,7,21,554.87,23,73,7.2
2013,9,7,22,693.52,23,73,3.6
2013,9,7,23,834.33,22,78,7.2
2013,9,8,0,618.04,23,78,7.2
2013,9,8,1,416.23,23,78,0
2013,9,8,2,410.31,23,78,0
2013,9,8,3,398.33,23,78,7.2
2013,9,8,4,427.13,22,83,3.6
2013,9,8,5,535.11,22,83,7.2
2013,9,8,6,870.55,23,83,7.2
2013,9,8,7,762.14,24,78,0
